Date,Ticker,Forecast,Days_Ahead
14/03/2025,ABRA.TA,340.0123676,1
15/03/2025,ABRA.TA,339.6661669,2
16/03/2025,ABRA.TA,364.3432726,3
17/03/2025,ABRA.TA,365.9841721,4
18/03/2025,ABRA.TA,361.7639391,5
19/03/2025,ABRA.TA,356.9508919,6
20/03/2025,ABRA.TA,358.1586823,7
21/03/2025,ABRA.TA,369.8456062,8
22/03/2025,ABRA.TA,372.6883597,9
23/03/2025,ABRA.TA,379.2366211,10
24/03/2025,ABRA.TA,383.5604347,11
25/03/2025,ABRA.TA,392.8439735,12
26/03/2025,ABRA.TA,395.8012368,13
27/03/2025,ABRA.TA,422.2112265,14
28/03/2025,ABRA.TA,428.645546,15
29/03/2025,ABRA.TA,430.8268448,16
30/03/2025,ABRA.TA,421.6009166,17
31/03/2025,ABRA.TA,435.3654117,18
01/04/2025,ABRA.TA,440.3291699,19
02/04/2025,ABRA.TA,440.4691711,20
03/04/2025,ABRA.TA,436.1255921,21
04/04/2025,ABRA.TA,434.6732638,22
05/04/2025,ABRA.TA,440.6474471,23
06/04/2025,ABRA.TA,446.70374,24
07/04/2025,ABRA.TA,441.2404591,25
08/04/2025,ABRA.TA,436.1524315,26
09/04/2025,ABRA.TA,441.5038516,27
10/04/2025,ABRA.TA,445.3438799,28
11/04/2025,ABRA.TA,439.9359685,29
12/04/2025,ABRA.TA,437.8339082,30
14/03/2025,ACCL.TA,170.3823323,1
15/03/2025,ACCL.TA,174.5023802,2
16/03/2025,ACCL.TA,175.0825739,3
17/03/2025,ACCL.TA,156.6082782,4
18/03/2025,ACCL.TA,155.2654245,5
19/03/2025,ACCL.TA,153.5384665,6
20/03/2025,ACCL.TA,153.9824813,7
21/03/2025,ACCL.TA,157.9609892,8
22/03/2025,ACCL.TA,158.5192229,9
23/03/2025,ACCL.TA,155.2317602,10
24/03/2025,ACCL.TA,153.6905367,11
25/03/2025,ACCL.TA,158.675994,12
26/03/2025,ACCL.TA,156.5671233,13
27/03/2025,ACCL.TA,161.567581,14
28/03/2025,ACCL.TA,159.7085059,15
29/03/2025,ACCL.TA,160.7527931,16
30/03/2025,ACCL.TA,162.0348475,17
31/03/2025,ACCL.TA,168.3232395,18
01/04/2025,ACCL.TA,172.9398011,19
02/04/2025,ACCL.TA,172.1943168,20
03/04/2025,ACCL.TA,177.1439979,21
04/04/2025,ACCL.TA,175.3796991,22
05/04/2025,ACCL.TA,183.5350003,23
06/04/2025,ACCL.TA,184.9846554,24
07/04/2025,ACCL.TA,185.9174666,25
08/04/2025,ACCL.TA,181.7744522,26
09/04/2025,ACCL.TA,177.6184044,27
10/04/2025,ACCL.TA,178.5140703,28
11/04/2025,ACCL.TA,185.4420026,29
12/04/2025,ACCL.TA,185.9957755,30
14/03/2025,ACKR.TA,702.036111,1
15/03/2025,ACKR.TA,729.4832408,2
16/03/2025,ACKR.TA,725.4429382,3
17/03/2025,ACKR.TA,729.4256697,4
18/03/2025,ACKR.TA,769.9128168,5
19/03/2025,ACKR.TA,763.7996716,6
20/03/2025,ACKR.TA,765.0802871,7
21/03/2025,ACKR.TA,771.9015968,8
22/03/2025,ACKR.TA,784.4810684,9
23/03/2025,ACKR.TA,774.8867266,10
24/03/2025,ACKR.TA,778.9360814,11
25/03/2025,ACKR.TA,787.2231901,12
26/03/2025,ACKR.TA,788.6815404,13
27/03/2025,ACKR.TA,785.0052103,14
28/03/2025,ACKR.TA,772.4681282,15
29/03/2025,ACKR.TA,779.7657247,16
30/03/2025,ACKR.TA,760.6023298,17
31/03/2025,ACKR.TA,759.2390235,18
01/04/2025,ACKR.TA,771.6121366,19
02/04/2025,ACKR.TA,751.2942649,20
03/04/2025,ACKR.TA,748.1243706,21
04/04/2025,ACKR.TA,746.6078433,22
05/04/2025,ACKR.TA,746.7022655,23
06/04/2025,ACKR.TA,743.8739302,24
07/04/2025,ACKR.TA,749.4361425,25
08/04/2025,ACKR.TA,749.5309224,26
09/04/2025,ACKR.TA,744.9211309,27
10/04/2025,ACKR.TA,720.2855842,28
11/04/2025,ACKR.TA,727.9487096,29
12/04/2025,ACKR.TA,768.3538773,30
14/03/2025,ACRO.TA,5338.583417,1
15/03/2025,ACRO.TA,5269.390245,2
16/03/2025,ACRO.TA,5125.190095,3
17/03/2025,ACRO.TA,5224.019551,4
18/03/2025,ACRO.TA,5366.439626,5
19/03/2025,ACRO.TA,5438.31049,6
20/03/2025,ACRO.TA,5323.474963,7
21/03/2025,ACRO.TA,5315.641894,8
22/03/2025,ACRO.TA,5293.19291,9
23/03/2025,ACRO.TA,5318.476781,10
24/03/2025,ACRO.TA,5255.692298,11
25/03/2025,ACRO.TA,5144.712943,12
26/03/2025,ACRO.TA,5035.280499,13
27/03/2025,ACRO.TA,5036.799472,14
28/03/2025,ACRO.TA,5013.451198,15
29/03/2025,ACRO.TA,5093.483061,16
30/03/2025,ACRO.TA,5320.635173,17
31/03/2025,ACRO.TA,5340.824105,18
01/04/2025,ACRO.TA,5315.383724,19
02/04/2025,ACRO.TA,5463.202757,20
03/04/2025,ACRO.TA,5314.96383,21
04/04/2025,ACRO.TA,5425.528839,22
05/04/2025,ACRO.TA,5451.444836,23
06/04/2025,ACRO.TA,5481.388605,24
07/04/2025,ACRO.TA,5540.00094,25
08/04/2025,ACRO.TA,5599.240015,26
09/04/2025,ACRO.TA,5447.309843,27
10/04/2025,ACRO.TA,5474.312439,28
11/04/2025,ACRO.TA,5561.701227,29
12/04/2025,ACRO.TA,5716.370266,30
14/03/2025,ADGR.TA,496.4839282,1
15/03/2025,ADGR.TA,490.8384585,2
16/03/2025,ADGR.TA,504.1705296,3
17/03/2025,ADGR.TA,497.7425571,4
18/03/2025,ADGR.TA,501.1353801,5
19/03/2025,ADGR.TA,502.2947812,6
20/03/2025,ADGR.TA,511.2775969,7
21/03/2025,ADGR.TA,505.7141524,8
22/03/2025,ADGR.TA,523.698435,9
23/03/2025,ADGR.TA,522.6040218,10
24/03/2025,ADGR.TA,515.9410297,11
25/03/2025,ADGR.TA,512.94688,12
26/03/2025,ADGR.TA,512.4895607,13
27/03/2025,ADGR.TA,518.1253322,14
28/03/2025,ADGR.TA,517.8682788,15
29/03/2025,ADGR.TA,521.6572064,16
30/03/2025,ADGR.TA,516.6757859,17
31/03/2025,ADGR.TA,506.3293986,18
01/04/2025,ADGR.TA,508.6123981,19
02/04/2025,ADGR.TA,506.972829,20
03/04/2025,ADGR.TA,498.4269135,21
04/04/2025,ADGR.TA,490.2166712,22
05/04/2025,ADGR.TA,489.7796172,23
06/04/2025,ADGR.TA,493.5584902,24
07/04/2025,ADGR.TA,498.4874899,25
08/04/2025,ADGR.TA,515.6948925,26
09/04/2025,ADGR.TA,511.5252035,27
10/04/2025,ADGR.TA,510.7837752,28
11/04/2025,ADGR.TA,518.5644666,29
12/04/2025,ADGR.TA,518.0154504,30
14/03/2025,ARDM.TA,46.81711093,1
15/03/2025,ARDM.TA,45.77361781,2
16/03/2025,ARDM.TA,48.72552146,3
17/03/2025,ARDM.TA,46.86418659,4
18/03/2025,ARDM.TA,47.22074494,5
19/03/2025,ARDM.TA,46.39800668,6
20/03/2025,ARDM.TA,45.98297033,7
21/03/2025,ARDM.TA,45.07358814,8
22/03/2025,ARDM.TA,43.22791376,9
23/03/2025,ARDM.TA,41.45781611,10
24/03/2025,ARDM.TA,41.39812995,11
25/03/2025,ARDM.TA,42.81540246,12
26/03/2025,ARDM.TA,43.94485937,13
27/03/2025,ARDM.TA,44.41927489,14
28/03/2025,ARDM.TA,42.85779303,15
29/03/2025,ARDM.TA,43.0122121,16
30/03/2025,ARDM.TA,42.89888807,17
31/03/2025,ARDM.TA,42.31331922,18
01/04/2025,ARDM.TA,40.75660966,19
02/04/2025,ARDM.TA,40.37208511,20
03/04/2025,ARDM.TA,41.06635899,21
04/04/2025,ARDM.TA,42.67144382,22
05/04/2025,ARDM.TA,40.31936171,23
06/04/2025,ARDM.TA,38.83600998,24
07/04/2025,ARDM.TA,40.73258926,25
08/04/2025,ARDM.TA,39.8247123,26
09/04/2025,ARDM.TA,39.69128131,27
10/04/2025,ARDM.TA,40.94112119,28
11/04/2025,ARDM.TA,40.21806112,29
12/04/2025,ARDM.TA,40.16015982,30
14/03/2025,AFHL.TA,18734.559,1
15/03/2025,AFHL.TA,18838.32841,2
16/03/2025,AFHL.TA,19263.48427,3
17/03/2025,AFHL.TA,19338.6205,4
18/03/2025,AFHL.TA,19482.85663,5
19/03/2025,AFHL.TA,19411.67132,6
20/03/2025,AFHL.TA,19519.47622,7
21/03/2025,AFHL.TA,19572.16691,8
22/03/2025,AFHL.TA,20881.42652,9
23/03/2025,AFHL.TA,21011.53774,10
24/03/2025,AFHL.TA,22142.25026,11
25/03/2025,AFHL.TA,21663.80764,12
26/03/2025,AFHL.TA,21722.28672,13
27/03/2025,AFHL.TA,21780.92366,14
28/03/2025,AFHL.TA,21803.12312,15
29/03/2025,AFHL.TA,24192.80265,16
30/03/2025,AFHL.TA,25811.15484,17
31/03/2025,AFHL.TA,25880.82923,18
01/04/2025,AFHL.TA,25536.08321,19
02/04/2025,AFHL.TA,25395.01526,20
03/04/2025,AFHL.TA,25577.26785,21
04/04/2025,AFHL.TA,25449.20034,22
05/04/2025,AFHL.TA,25546.67782,23
06/04/2025,AFHL.TA,25418.76347,24
07/04/2025,AFHL.TA,25608.34805,25
08/04/2025,AFHL.TA,25628.93752,26
09/04/2025,AFHL.TA,25574.45176,27
10/04/2025,AFHL.TA,25747.1611,28
11/04/2025,AFHL.TA,25867.87513,29
12/04/2025,AFHL.TA,25841.02214,30
14/03/2025,AFPR.TA,17236.52198,1
15/03/2025,AFPR.TA,17041.85404,2
16/03/2025,AFPR.TA,17481.92992,3
17/03/2025,AFPR.TA,17751.6057,4
18/03/2025,AFPR.TA,17760.63941,5
19/03/2025,AFPR.TA,16887.3915,6
20/03/2025,AFPR.TA,17033.62505,7
21/03/2025,AFPR.TA,16957.60531,8
22/03/2025,AFPR.TA,17167.64724,9
23/03/2025,AFPR.TA,17333.91866,10
24/03/2025,AFPR.TA,17151.89786,11
25/03/2025,AFPR.TA,17322.46569,12
26/03/2025,AFPR.TA,17009.71574,13
27/03/2025,AFPR.TA,16931.73082,14
28/03/2025,AFPR.TA,16740.50517,15
29/03/2025,AFPR.TA,16676.86321,16
30/03/2025,AFPR.TA,16842.70703,17
31/03/2025,AFPR.TA,16918.0058,18
01/04/2025,AFPR.TA,17168.54354,19
02/04/2025,AFPR.TA,17011.93599,20
03/04/2025,AFPR.TA,17333.38676,21
04/04/2025,AFPR.TA,17200.44306,22
05/04/2025,AFPR.TA,17763.6182,23
06/04/2025,AFPR.TA,17876.05611,24
07/04/2025,AFPR.TA,17712.99479,25
08/04/2025,AFPR.TA,17861.66279,26
09/04/2025,AFPR.TA,17316.55384,27
10/04/2025,AFPR.TA,17549.78389,28
11/04/2025,AFPR.TA,17483.06531,29
12/04/2025,AFPR.TA,17348.97361,30
14/03/2025,AFRE.TA,24798.0546,1
15/03/2025,AFRE.TA,25678.93843,2
16/03/2025,AFRE.TA,25470.4701,3
17/03/2025,AFRE.TA,25360.5474,4
18/03/2025,AFRE.TA,25014.95817,5
19/03/2025,AFRE.TA,23952.66887,6
20/03/2025,AFRE.TA,24469.9023,7
21/03/2025,AFRE.TA,24622.96692,8
22/03/2025,AFRE.TA,24412.21212,9
23/03/2025,AFRE.TA,24649.51424,10
24/03/2025,AFRE.TA,24653.07295,11
25/03/2025,AFRE.TA,24855.94058,12
26/03/2025,AFRE.TA,24089.9224,13
27/03/2025,AFRE.TA,23590.89307,14
28/03/2025,AFRE.TA,24564.82551,15
29/03/2025,AFRE.TA,24466.82099,16
30/03/2025,AFRE.TA,23747.61844,17
31/03/2025,AFRE.TA,23574.26064,18
01/04/2025,AFRE.TA,24064.14132,19
02/04/2025,AFRE.TA,23917.04394,20
03/04/2025,AFRE.TA,23506.59725,21
04/04/2025,AFRE.TA,23939.71814,22
05/04/2025,AFRE.TA,23599.75883,23
06/04/2025,AFRE.TA,24571.22744,24
07/04/2025,AFRE.TA,24867.92726,25
08/04/2025,AFRE.TA,24846.56268,26
09/04/2025,AFRE.TA,25362.8822,27
10/04/2025,AFRE.TA,25966.47696,28
11/04/2025,AFRE.TA,26017.6998,29
12/04/2025,AFRE.TA,27264.5458,30
14/03/2025,ARPT.TA,5485.963061,1
15/03/2025,ARPT.TA,5554.233298,2
16/03/2025,ARPT.TA,5555.384022,3
17/03/2025,ARPT.TA,5586.531611,4
18/03/2025,ARPT.TA,5833.107262,5
19/03/2025,ARPT.TA,5730.051747,6
20/03/2025,ARPT.TA,5611.002815,7
21/03/2025,ARPT.TA,5709.114426,8
22/03/2025,ARPT.TA,5671.722284,9
23/03/2025,ARPT.TA,5702.268501,10
24/03/2025,ARPT.TA,5773.230557,11
25/03/2025,ARPT.TA,5874.178814,12
26/03/2025,ARPT.TA,5741.240016,13
27/03/2025,ARPT.TA,5622.845138,14
28/03/2025,ARPT.TA,5626.728769,15
29/03/2025,ARPT.TA,5499.390024,16
30/03/2025,ARPT.TA,5385.982536,17
31/03/2025,ARPT.TA,5389.290392,18
01/04/2025,ARPT.TA,5350.732369,19
02/04/2025,ARPT.TA,5271.036191,20
03/04/2025,ARPT.TA,5449.037219,21
04/04/2025,ARPT.TA,5516.84793,22
05/04/2025,ARPT.TA,5534.309296,23
06/04/2025,ARPT.TA,5574.556527,24
07/04/2025,ARPT.TA,5581.124212,25
08/04/2025,ARPT.TA,5565.07669,26
09/04/2025,ARPT.TA,5661.263081,27
10/04/2025,ARPT.TA,5646.821201,28
11/04/2025,ARPT.TA,5594.765218,29
12/04/2025,ARPT.TA,5600.464644,30
14/03/2025,ARTS.TA,82.03234208,1
15/03/2025,ARTS.TA,75.83632734,2
16/03/2025,ARTS.TA,73.87698617,3
17/03/2025,ARTS.TA,68.82176327,4
18/03/2025,ARTS.TA,89.86892417,5
19/03/2025,ARTS.TA,72.80789441,6
20/03/2025,ARTS.TA,62.44904578,7
21/03/2025,ARTS.TA,67.65099642,8
22/03/2025,ARTS.TA,72.65528626,9
23/03/2025,ARTS.TA,64.9790957,10
24/03/2025,ARTS.TA,41.06124022,11
25/03/2025,ARTS.TA,44.68604317,12
26/03/2025,ARTS.TA,44.55021234,13
27/03/2025,ARTS.TA,44.68106156,14
28/03/2025,ARTS.TA,47.31858199,15
29/03/2025,ARTS.TA,47.12064514,16
30/03/2025,ARTS.TA,37.42885344,17
31/03/2025,ARTS.TA,52.81139702,18
01/04/2025,ARTS.TA,56.29444758,19
02/04/2025,ARTS.TA,61.26660406,20
03/04/2025,ARTS.TA,54.5663684,21
04/04/2025,ARTS.TA,43.34313759,22
05/04/2025,ARTS.TA,46.46052697,23
06/04/2025,ARTS.TA,46.26617942,24
07/04/2025,ARTS.TA,41.37805596,25
08/04/2025,ARTS.TA,41.7778041,26
09/04/2025,ARTS.TA,39.47113637,27
10/04/2025,ARTS.TA,37.29182613,28
11/04/2025,ARTS.TA,43.28318372,29
12/04/2025,ARTS.TA,51.13491355,30
14/03/2025,ALAR.TA,268.6810626,1
15/03/2025,ALAR.TA,250.4382373,2
16/03/2025,ALAR.TA,244.79304,3
17/03/2025,ALAR.TA,247.7790518,4
