Date,Ticker,Forecast,Days_Ahead
2024-12-31,ABRA.TA,[299.71454],1
2025-01-01,ABRA.TA,[308.21317],2
2025-01-02,ABRA.TA,[300.24103],3
2025-01-03,ABRA.TA,[306.38675],4
2025-01-04,ABRA.TA,[301.81934],5
2025-01-05,ABRA.TA,[281.6457],6
2025-01-06,ABRA.TA,[298.0527],7
2025-01-07,ABRA.TA,[296.79846],8
2025-01-08,ABRA.TA,[304.03903],9
2025-01-09,ABRA.TA,[311.4947],10
2025-01-10,ABRA.TA,[306.30075],11
2025-01-11,ABRA.TA,[316.87408],12
2025-01-12,ABRA.TA,[303.08618],13
2025-01-13,ABRA.TA,[307.42526],14
2025-01-14,ABRA.TA,[306.37674],15
2025-01-15,ABRA.TA,[316.0809],16
2025-01-16,ABRA.TA,[326.00308],17
2025-01-17,ABRA.TA,[343.85144],18
2025-01-18,ABRA.TA,[343.97043],19
2025-01-19,ABRA.TA,[345.89417],20
2025-01-20,ABRA.TA,[334.25647],21
2025-01-21,ABRA.TA,[333.97592],22
2025-01-22,ABRA.TA,[335.50693],23
2025-01-23,ABRA.TA,[354.5682],24
2025-01-24,ABRA.TA,[362.3391],25
2025-01-25,ABRA.TA,[349.11334],26
2025-01-26,ABRA.TA,[352.00143],27
2025-01-27,ABRA.TA,[357.74075],28
2025-01-28,ABRA.TA,[363.85974],29
2025-01-29,ABRA.TA,[369.93787],30
2024-12-31,ACCL.TA,[135.29834],1
2025-01-01,ACCL.TA,[133.0434],2
2025-01-02,ACCL.TA,[139.36674],3
2025-01-03,ACCL.TA,[137.75438],4
2025-01-04,ACCL.TA,[140.43423],5
2025-01-05,ACCL.TA,[134.6364],6
2025-01-06,ACCL.TA,[134.03876],7
2025-01-07,ACCL.TA,[131.33044],8
2025-01-08,ACCL.TA,[127.34669],9
2025-01-09,ACCL.TA,[129.78587],10
2025-01-10,ACCL.TA,[130.55663],11
2025-01-11,ACCL.TA,[128.01677],12
2025-01-12,ACCL.TA,[128.71394],13
2025-01-13,ACCL.TA,[126.652306],14
2025-01-14,ACCL.TA,[126.594215],15
2025-01-15,ACCL.TA,[126.80481],16
2025-01-16,ACCL.TA,[126.70696],17
2025-01-17,ACCL.TA,[126.76354],18
2025-01-18,ACCL.TA,[125.17094],19
2025-01-19,ACCL.TA,[126.29696],20
2025-01-20,ACCL.TA,[125.93619],21
2025-01-21,ACCL.TA,[126.75602],22
2025-01-22,ACCL.TA,[126.33825],23
2025-01-23,ACCL.TA,[125.793655],24
2025-01-24,ACCL.TA,[125.4942],25
2025-01-25,ACCL.TA,[122.979836],26
2025-01-26,ACCL.TA,[122.69448],27
2025-01-27,ACCL.TA,[124.48828],28
2025-01-28,ACCL.TA,[125.986145],29
2025-01-29,ACCL.TA,[129.4552],30
2024-12-31,ACKR.TA,[734.6289],1
2025-01-01,ACKR.TA,[729.2846],2
2025-01-02,ACKR.TA,[716.0243],3
2025-01-03,ACKR.TA,[708.1387],4
2025-01-04,ACKR.TA,[710.7311],5
2025-01-05,ACKR.TA,[713.3464],6
2025-01-06,ACKR.TA,[706.6059],7
2025-01-07,ACKR.TA,[699.8106],8
2025-01-08,ACKR.TA,[702.8002],9
2025-01-09,ACKR.TA,[680.63184],10
2025-01-10,ACKR.TA,[708.9974],11
2025-01-11,ACKR.TA,[706.70087],12
2025-01-12,ACKR.TA,[692.4016],13
2025-01-13,ACKR.TA,[687.12225],14
2025-01-14,ACKR.TA,[690.0505],15
2025-01-15,ACKR.TA,[681.9491],16
2025-01-16,ACKR.TA,[678.7549],17
2025-01-17,ACKR.TA,[688.2871],18
2025-01-18,ACKR.TA,[680.4861],19
2025-01-19,ACKR.TA,[681.10266],20
2025-01-20,ACKR.TA,[665.3437],21
2025-01-21,ACKR.TA,[658.5737],22
2025-01-22,ACKR.TA,[679.2107],23
2025-01-23,ACKR.TA,[694.3511],24
2025-01-24,ACKR.TA,[695.17633],25
2025-01-25,ACKR.TA,[688.518],26
2025-01-26,ACKR.TA,[669.3616],27
2025-01-27,ACKR.TA,[657.4629],28
2025-01-28,ACKR.TA,[649.7896],29
2025-01-29,ACKR.TA,[661.1592],30
2024-12-31,ACRO.TA,[5659.4424],1
2025-01-01,ACRO.TA,[5942.2085],2
2025-01-02,ACRO.TA,[5997.8926],3
2025-01-03,ACRO.TA,[5975.9634],4
2025-01-04,ACRO.TA,[6230.1377],5
2025-01-05,ACRO.TA,[6131.8887],6
2025-01-06,ACRO.TA,[6249.0205],7
2025-01-07,ACRO.TA,[6461.548],8
2025-01-08,ACRO.TA,[6496.9404],9
2025-01-09,ACRO.TA,[6422.7134],10
2025-01-10,ACRO.TA,[6448.2744],11
2025-01-11,ACRO.TA,[6677.7896],12
2025-01-12,ACRO.TA,[6908.353],13
2025-01-13,ACRO.TA,[7099.337],14
2025-01-14,ACRO.TA,[7118.8525],15
2025-01-15,ACRO.TA,[7148.8237],16
2025-01-16,ACRO.TA,[7314.8403],17
2025-01-17,ACRO.TA,[7812.1],18
2025-01-18,ACRO.TA,[7693.882],19
2025-01-19,ACRO.TA,[7747.7544],20
2025-01-20,ACRO.TA,[7813.613],21
2025-01-21,ACRO.TA,[7732.714],22
2025-01-22,ACRO.TA,[7974.867],23
2025-01-23,ACRO.TA,[7987.1426],24
2025-01-24,ACRO.TA,[8132.4307],25
2025-01-25,ACRO.TA,[8168.4023],26
2025-01-26,ACRO.TA,[7986.1147],27
2025-01-27,ACRO.TA,[8104.0034],28
2025-01-28,ACRO.TA,[7885.098],29
2025-01-29,ACRO.TA,[7862.9927],30
2024-12-31,ADGR.TA,[582.21075],1
2025-01-01,ADGR.TA,[574.9099],2
2025-01-02,ADGR.TA,[574.6255],3
2025-01-03,ADGR.TA,[592.92786],4
2025-01-04,ADGR.TA,[595.8339],5
2025-01-05,ADGR.TA,[605.1151],6
2025-01-06,ADGR.TA,[623.3126],7
2025-01-07,ADGR.TA,[613.41785],8
2025-01-08,ADGR.TA,[608.008],9
2025-01-09,ADGR.TA,[611.7347],10
2025-01-10,ADGR.TA,[611.7912],11
2025-01-11,ADGR.TA,[611.6767],12
2025-01-12,ADGR.TA,[607.81335],13
2025-01-13,ADGR.TA,[594.6824],14
2025-01-14,ADGR.TA,[599.45874],15
2025-01-15,ADGR.TA,[621.5984],16
2025-01-16,ADGR.TA,[623.67255],17
2025-01-17,ADGR.TA,[636.472],18
2025-01-18,ADGR.TA,[641.85065],19
2025-01-19,ADGR.TA,[632.6089],20
2025-01-20,ADGR.TA,[654.34204],21
2025-01-21,ADGR.TA,[653.1552],22
2025-01-22,ADGR.TA,[666.9923],23
2025-01-23,ADGR.TA,[686.0645],24
2025-01-24,ADGR.TA,[698.2821],25
2025-01-25,ADGR.TA,[702.4123],26
2025-01-26,ADGR.TA,[716.99817],27
2025-01-27,ADGR.TA,[722.21686],28
2025-01-28,ADGR.TA,[723.2418],29
2025-01-29,ADGR.TA,[748.5247],30
2024-12-31,ARDM.TA,[57.518444],1
2025-01-01,ARDM.TA,[58.442154],2
2025-01-02,ARDM.TA,[58.053432],3
2025-01-03,ARDM.TA,[57.457058],4
2025-01-04,ARDM.TA,[65.90761],5
2025-01-05,ARDM.TA,[59.298687],6
2025-01-06,ARDM.TA,[57.716454],7
2025-01-07,ARDM.TA,[65.34611],8
2025-01-08,ARDM.TA,[65.319214],9
2025-01-09,ARDM.TA,[60.616756],10
2025-01-10,ARDM.TA,[72.25909],11
2025-01-11,ARDM.TA,[66.05656],12
2025-01-12,ARDM.TA,[70.66696],13
2025-01-13,ARDM.TA,[71.9826],14
2025-01-14,ARDM.TA,[70.83239],15
2025-01-15,ARDM.TA,[66.39244],16
2025-01-16,ARDM.TA,[65.61625],17
2025-01-17,ARDM.TA,[66.535805],18
2025-01-18,ARDM.TA,[62.823647],19
2025-01-19,ARDM.TA,[61.44507],20
2025-01-20,ARDM.TA,[64.96186],21
2025-01-21,ARDM.TA,[72.76699],22
2025-01-22,ARDM.TA,[76.202095],23
2025-01-23,ARDM.TA,[69.110016],24
2025-01-24,ARDM.TA,[56.528797],25
2025-01-25,ARDM.TA,[59.810802],26
2025-01-26,ARDM.TA,[58.483616],27
2025-01-27,ARDM.TA,[53.556038],28
2025-01-28,ARDM.TA,[52.949512],29
2025-01-29,ARDM.TA,[47.688885],30
2024-12-31,AFHL.TA,[15488.905],1
2025-01-01,AFHL.TA,[15651.124],2
2025-01-02,AFHL.TA,[15698.205],3
2025-01-03,AFHL.TA,[15650.379],4
2025-01-04,AFHL.TA,[16174.873],5
2025-01-05,AFHL.TA,[16442.156],6
2025-01-06,AFHL.TA,[16159.733],7
2025-01-07,AFHL.TA,[16105.135],8
2025-01-08,AFHL.TA,[15722.302],9
2025-01-09,AFHL.TA,[15610.21],10
2025-01-10,AFHL.TA,[15598.151],11
2025-01-11,AFHL.TA,[16316.215],12
2025-01-12,AFHL.TA,[16700.707],13
2025-01-13,AFHL.TA,[16652.055],14
2025-01-14,AFHL.TA,[16236.524],15
2025-01-15,AFHL.TA,[16264.878],16
2025-01-16,AFHL.TA,[16285.079],17
2025-01-17,AFHL.TA,[16097.343],18
2025-01-18,AFHL.TA,[16663.479],19
2025-01-19,AFHL.TA,[16203.345],20
2025-01-20,AFHL.TA,[15663.91],21
2025-01-21,AFHL.TA,[15527.165],22
2025-01-22,AFHL.TA,[15476.982],23
2025-01-23,AFHL.TA,[15178.801],24
2025-01-24,AFHL.TA,[15354.612],25
2025-01-25,AFHL.TA,[15143.204],26
2025-01-26,AFHL.TA,[15316.031],27
2025-01-27,AFHL.TA,[15642.852],28
2025-01-28,AFHL.TA,[16471.81],29
2025-01-29,AFHL.TA,[16934.168],30
2024-12-31,AFPR.TA,[16537.03],1
2025-01-01,AFPR.TA,[16723.824],2
2025-01-02,AFPR.TA,[16965.654],3
2025-01-03,AFPR.TA,[16848.76],4
2025-01-04,AFPR.TA,[16977.182],5
2025-01-05,AFPR.TA,[17021.508],6
2025-01-06,AFPR.TA,[16522.46],7
2025-01-07,AFPR.TA,[16430.54],8
2025-01-08,AFPR.TA,[16068.377],9
2025-01-09,AFPR.TA,[16264.3],10
2025-01-10,AFPR.TA,[16875.912],11
2025-01-11,AFPR.TA,[16708.443],12
2025-01-12,AFPR.TA,[16612.766],13
2025-01-13,AFPR.TA,[16215.043],14
2025-01-14,AFPR.TA,[16550.367],15
2025-01-15,AFPR.TA,[16911.912],16
2025-01-16,AFPR.TA,[16983.44],17
2025-01-17,AFPR.TA,[17297.494],18
2025-01-18,AFPR.TA,[17203.602],19
2025-01-19,AFPR.TA,[17310.361],20
2025-01-20,AFPR.TA,[17310.455],21
2025-01-21,AFPR.TA,[17400.8],22
2025-01-22,AFPR.TA,[17649.414],23
2025-01-23,AFPR.TA,[17825.32],24
2025-01-24,AFPR.TA,[17738.004],25
2025-01-25,AFPR.TA,[17793.611],26
2025-01-26,AFPR.TA,[18107.295],27
2025-01-27,AFPR.TA,[18709.441],28
2025-01-28,AFPR.TA,[18716.906],29
2025-01-29,AFPR.TA,[18624.377],30
2024-12-31,AFRE.TA,[26129.209],1
2025-01-01,AFRE.TA,[25053.46],2
2025-01-02,AFRE.TA,[25805.008],3
2025-01-03,AFRE.TA,[26185.887],4
2025-01-04,AFRE.TA,[25890.379],5
2025-01-05,AFRE.TA,[26030.541],6
2025-01-06,AFRE.TA,[25510.066],7
2025-01-07,AFRE.TA,[25763.771],8
2025-01-08,AFRE.TA,[26274.38],9
2025-01-09,AFRE.TA,[27233.291],10
2025-01-10,AFRE.TA,[27223.504],11
2025-01-11,AFRE.TA,[26696.646],12
2025-01-12,AFRE.TA,[27193.44],13
2025-01-13,AFRE.TA,[26643.54],14
2025-01-14,AFRE.TA,[25937.63],15
2025-01-15,AFRE.TA,[25914.188],16
2025-01-16,AFRE.TA,[26798.248],17
2025-01-17,AFRE.TA,[26595.824],18
2025-01-18,AFRE.TA,[27069.156],19
2025-01-19,AFRE.TA,[27981.826],20
2025-01-20,AFRE.TA,[28117.322],21
2025-01-21,AFRE.TA,[28224.049],22
2025-01-22,AFRE.TA,[28367.723],23
2025-01-23,AFRE.TA,[28367.773],24
2025-01-24,AFRE.TA,[28306.729],25
2025-01-25,AFRE.TA,[28250.598],26
2025-01-26,AFRE.TA,[27837.572],27
2025-01-27,AFRE.TA,[27324.943],28
2025-01-28,AFRE.TA,[26731.816],29
2025-01-29,AFRE.TA,[26002.312],30
2024-12-31,ARPT.TA,[6025.2734],1
2025-01-01,ARPT.TA,[6086.2783],2
2025-01-02,ARPT.TA,[6153.02],3
2025-01-03,ARPT.TA,[6149.7607],4
2025-01-04,ARPT.TA,[6232.3276],5
2025-01-05,ARPT.TA,[6340.043],6
2025-01-06,ARPT.TA,[6311.9795],7
2025-01-07,ARPT.TA,[6283.6567],8
2025-01-08,ARPT.TA,[6233.234],9
2025-01-09,ARPT.TA,[6283.586],10
2025-01-10,ARPT.TA,[6198.5317],11
2025-01-11,ARPT.TA,[6322.9443],12
2025-01-12,ARPT.TA,[6382.3667],13
2025-01-13,ARPT.TA,[6556.171],14
2025-01-14,ARPT.TA,[6462.413],15
2025-01-15,ARPT.TA,[6628.0947],16
2025-01-16,ARPT.TA,[6761.346],17
2025-01-17,ARPT.TA,[6763.796],18
2025-01-18,ARPT.TA,[6399.2754],19
2025-01-19,ARPT.TA,[6412.1357],20
2025-01-20,ARPT.TA,[6373.349],21
2025-01-21,ARPT.TA,[6523.6626],22
2025-01-22,ARPT.TA,[6781.8086],23
2025-01-23,ARPT.TA,[6683.9375],24
2025-01-24,ARPT.TA,[6907.5967],25
2025-01-25,ARPT.TA,[6964.543],26
2025-01-26,ARPT.TA,[7017.433],27
2025-01-27,ARPT.TA,[7141.183],28
2025-01-28,ARPT.TA,[7252.8145],29
2025-01-29,ARPT.TA,[7186.013],30
2024-12-31,ARTS.TA,[42.962418],1
2025-01-01,ARTS.TA,[41.080357],2
2025-01-02,ARTS.TA,[35.33879],3
2025-01-03,ARTS.TA,[43.625916],4
2025-01-04,ARTS.TA,[40.79624],5
2025-01-05,ARTS.TA,[51.615353],6
2025-01-06,ARTS.TA,[61.992172],7
2025-01-07,ARTS.TA,[74.91967],8
2025-01-08,ARTS.TA,[79.3406],9
2025-01-09,ARTS.TA,[67.64135],10
2025-01-10,ARTS.TA,[69.49899],11
2025-01-11,ARTS.TA,[76.17635],12
2025-01-12,ARTS.TA,[82.483],13
2025-01-13,ARTS.TA,[77.710625],14
2025-01-14,ARTS.TA,[81.03598],15
2025-01-15,ARTS.TA,[74.17273],16
2025-01-16,ARTS.TA,[82.37786],17
2025-01-17,ARTS.TA,[87.20401],18
2025-01-18,ARTS.TA,[91.03395],19
2025-01-19,ARTS.TA,[115.62703],20
2025-01-20,ARTS.TA,[129.58794],21
2025-01-21,ARTS.TA,[142.84448],22
2025-01-22,ARTS.TA,[168.95976],23
2025-01-23,ARTS.TA,[141.90144],24
2025-01-24,ARTS.TA,[139.04076],25
2025-01-25,ARTS.TA,[125.61805],26
