Date,Ticker,Forecast,Days_Ahead
31/12/2024,ABRA.TA,284.70293,1
01/01/2025,ABRA.TA,265.9966629,2
02/01/2025,ABRA.TA,269.3546021,3
03/01/2025,ABRA.TA,266.8208799,4
04/01/2025,ABRA.TA,269.1175937,5
05/01/2025,ABRA.TA,265.5163374,6
06/01/2025,ABRA.TA,260.3225426,7
07/01/2025,ABRA.TA,259.9616256,8
08/01/2025,ABRA.TA,259.2066597,9
09/01/2025,ABRA.TA,265.0293549,10
10/01/2025,ABRA.TA,265.3537575,11
11/01/2025,ABRA.TA,263.5155548,12
12/01/2025,ABRA.TA,272.3601215,13
13/01/2025,ABRA.TA,282.2729099,14
14/01/2025,ABRA.TA,276.414677,15
15/01/2025,ABRA.TA,274.2571202,16
16/01/2025,ABRA.TA,267.4521393,17
17/01/2025,ABRA.TA,272.9741441,18
18/01/2025,ABRA.TA,276.5805385,19
19/01/2025,ABRA.TA,283.7672687,20
20/01/2025,ABRA.TA,287.2996798,21
21/01/2025,ABRA.TA,292.2095638,22
22/01/2025,ABRA.TA,282.5854917,23
23/01/2025,ABRA.TA,279.7637926,24
24/01/2025,ABRA.TA,281.2691699,25
25/01/2025,ABRA.TA,269.4363736,26
26/01/2025,ABRA.TA,261.2495097,27
27/01/2025,ABRA.TA,264.5462368,28
28/01/2025,ABRA.TA,263.9967788,29
29/01/2025,ABRA.TA,267.2688126,30
31/12/2024,ACCL.TA,135.4676052,1
01/01/2025,ACCL.TA,133.0806239,2
02/01/2025,ACCL.TA,136.9324061,3
03/01/2025,ACCL.TA,135.442674,4
04/01/2025,ACCL.TA,131.4412835,5
05/01/2025,ACCL.TA,131.6694994,6
06/01/2025,ACCL.TA,139.9044938,7
07/01/2025,ACCL.TA,135.7230331,8
08/01/2025,ACCL.TA,138.4612312,9
09/01/2025,ACCL.TA,141.9813691,10
10/01/2025,ACCL.TA,148.614703,11
11/01/2025,ACCL.TA,150.2214863,12
12/01/2025,ACCL.TA,155.3694118,13
13/01/2025,ACCL.TA,159.642188,14
14/01/2025,ACCL.TA,159.404965,15
15/01/2025,ACCL.TA,159.3199557,16
16/01/2025,ACCL.TA,156.1154235,17
17/01/2025,ACCL.TA,154.2207033,18
18/01/2025,ACCL.TA,155.6198928,19
19/01/2025,ACCL.TA,156.3737275,20
20/01/2025,ACCL.TA,161.5244936,21
21/01/2025,ACCL.TA,163.141036,22
22/01/2025,ACCL.TA,164.4570193,23
23/01/2025,ACCL.TA,167.9266976,24
24/01/2025,ACCL.TA,167.4084164,25
25/01/2025,ACCL.TA,165.1697036,26
26/01/2025,ACCL.TA,169.8324692,27
27/01/2025,ACCL.TA,168.3107805,28
28/01/2025,ACCL.TA,177.5120219,29
29/01/2025,ACCL.TA,181.1027997,30
31/12/2024,ACKR.TA,721.7441594,1
01/01/2025,ACKR.TA,706.344365,2
02/01/2025,ACKR.TA,695.9643963,3
03/01/2025,ACKR.TA,681.1793569,4
04/01/2025,ACKR.TA,679.6444742,5
05/01/2025,ACKR.TA,672.6095234,6
06/01/2025,ACKR.TA,666.7539044,7
07/01/2025,ACKR.TA,650.3835767,8
08/01/2025,ACKR.TA,663.628441,9
09/01/2025,ACKR.TA,642.8761995,10
10/01/2025,ACKR.TA,644.8509297,11
11/01/2025,ACKR.TA,647.3833329,12
12/01/2025,ACKR.TA,640.2329799,13
13/01/2025,ACKR.TA,626.4950679,14
14/01/2025,ACKR.TA,626.1931041,15
15/01/2025,ACKR.TA,624.5652281,16
16/01/2025,ACKR.TA,615.4303391,17
17/01/2025,ACKR.TA,597.1359271,18
18/01/2025,ACKR.TA,605.8442906,19
19/01/2025,ACKR.TA,581.2793713,20
20/01/2025,ACKR.TA,576.9893081,21
21/01/2025,ACKR.TA,597.4906856,22
22/01/2025,ACKR.TA,586.8427148,23
23/01/2025,ACKR.TA,603.4446233,24
24/01/2025,ACKR.TA,610.291143,25
25/01/2025,ACKR.TA,619.3921908,26
26/01/2025,ACKR.TA,628.9722657,27
27/01/2025,ACKR.TA,618.8811471,28
28/01/2025,ACKR.TA,618.391589,29
29/01/2025,ACKR.TA,603.1246023,30
31/12/2024,ACRO.TA,4742.043286,1
01/01/2025,ACRO.TA,4703.870095,2
02/01/2025,ACRO.TA,4743.795802,3
03/01/2025,ACRO.TA,4706.137946,4
04/01/2025,ACRO.TA,4658.553632,5
05/01/2025,ACRO.TA,4627.947726,6
06/01/2025,ACRO.TA,4600.706554,7
07/01/2025,ACRO.TA,4668.942812,8
08/01/2025,ACRO.TA,4647.153321,9
09/01/2025,ACRO.TA,4611.538308,10
10/01/2025,ACRO.TA,4572.166467,11
11/01/2025,ACRO.TA,4671.991193,12
12/01/2025,ACRO.TA,4690.077131,13
13/01/2025,ACRO.TA,4792.021304,14
14/01/2025,ACRO.TA,4867.215009,15
15/01/2025,ACRO.TA,4890.113412,16
16/01/2025,ACRO.TA,4830.979345,17
17/01/2025,ACRO.TA,4847.576761,18
18/01/2025,ACRO.TA,4849.399043,19
19/01/2025,ACRO.TA,4835.193497,20
20/01/2025,ACRO.TA,4805.24258,21
21/01/2025,ACRO.TA,4810.470491,22
22/01/2025,ACRO.TA,4728.625603,23
23/01/2025,ACRO.TA,4658.082769,24
24/01/2025,ACRO.TA,4613.971985,25
25/01/2025,ACRO.TA,4611.374245,26
26/01/2025,ACRO.TA,4649.589652,27
27/01/2025,ACRO.TA,4647.75907,28
28/01/2025,ACRO.TA,4583.16389,29
29/01/2025,ACRO.TA,4556.259253,30
31/12/2024,ADGR.TA,549.3646564,1
01/01/2025,ADGR.TA,552.0239115,2
02/01/2025,ADGR.TA,546.9947342,3
03/01/2025,ADGR.TA,564.3194087,4
04/01/2025,ADGR.TA,562.8623378,5
05/01/2025,ADGR.TA,567.7251406,6
06/01/2025,ADGR.TA,581.9504326,7
07/01/2025,ADGR.TA,582.4409817,8
08/01/2025,ADGR.TA,590.9213174,9
09/01/2025,ADGR.TA,605.9152484,10
10/01/2025,ADGR.TA,611.1302815,11
11/01/2025,ADGR.TA,610.651262,12
12/01/2025,ADGR.TA,615.1418496,13
13/01/2025,ADGR.TA,611.6690131,14
14/01/2025,ADGR.TA,607.029954,15
15/01/2025,ADGR.TA,613.0665482,16
16/01/2025,ADGR.TA,613.8577577,17
17/01/2025,ADGR.TA,623.9020567,18
18/01/2025,ADGR.TA,630.3898381,19
19/01/2025,ADGR.TA,631.3958428,20
20/01/2025,ADGR.TA,641.4850478,21
21/01/2025,ADGR.TA,647.754836,22
22/01/2025,ADGR.TA,648.3802221,23
23/01/2025,ADGR.TA,662.6334081,24
24/01/2025,ADGR.TA,669.1306982,25
25/01/2025,ADGR.TA,674.9889612,26
26/01/2025,ADGR.TA,666.7121188,27
27/01/2025,ADGR.TA,672.2874428,28
28/01/2025,ADGR.TA,673.3920404,29
29/01/2025,ADGR.TA,678.3831273,30
31/12/2024,ARDM.TA,68.69743224,1
01/01/2025,ARDM.TA,66.37308362,2
02/01/2025,ARDM.TA,59.8639968,3
03/01/2025,ARDM.TA,60.89536544,4
04/01/2025,ARDM.TA,68.82379173,5
05/01/2025,ARDM.TA,67.82498845,6
06/01/2025,ARDM.TA,71.72613859,7
07/01/2025,ARDM.TA,77.8590172,8
08/01/2025,ARDM.TA,76.8668446,9
09/01/2025,ARDM.TA,77.11139903,10
10/01/2025,ARDM.TA,63.71835969,11
11/01/2025,ARDM.TA,58.2875319,12
12/01/2025,ARDM.TA,52.01841656,13
13/01/2025,ARDM.TA,60.65978278,14
14/01/2025,ARDM.TA,70.64814738,15
15/01/2025,ARDM.TA,66.64601713,16
