Ticker,MSE,MAE,MAPE,R2
ABRA.TA,3.259394705,1.396106245,0.004550417,0.995150983
ACCL.TA,6.197781321,1.207527753,0.008176471,0.988393554
ACKR.TA,4517.481989,59.80022297,0.071377208,0.279020249
ACRO.TA,1062.296893,24.62342315,0.004101068,0.989834749
ADGR.TA,15.34308034,3.362046633,0.006579888,0.993341454
ARDM.TA,11.08145099,2.589354091,0.040192995,0.968139648
AFHL.TA,12987.61027,92.36366698,0.00638669,0.999262895
AFPR.TA,16565.17417,101.5384071,0.00594888,0.935557809
AFRE.TA,93699.19995,229.3850478,0.0085549,0.97300885
ARPT.TA,155.564491,9.598274318,0.001654193,0.99831894
ARTS.TA,284.0513462,8.832428782,0.126325959,0.675641559
ALAR.TA,277.4939157,14.0641479,0.039410695,0.966352235
ALBA.TA,1192.922755,29.1714041,0.015808812,0.966212604
ALMD.TA,0.088251188,0.24055041,0.006843664,0.988311157
ALLT.TA,9896.501283,82.70669806,0.040678823,0.977309296
ALMY.TA,51684.14431,203.6466603,1.698561294,0.368953077
AMDA.TA,56.52957635,6.571153688,0.041397302,0.570801858
ALMA.TA,285.9408099,9.251657609,0.00922915,0.975511965
ALHE.TA,636.5870726,20.95835851,0.006757943,0.987506752
ALRPR.TA,53374.8286,191.9080545,0.010732338,0.990047605
ALUMA.TA,4.873815517,1.166552393,0.025508107,0.78775727
AMAN.TA,60.39290326,5.839685365,0.003608067,0.99588118
AMD.TA,124.2501759,7.724690514,0.008359736,0.898434909
AMRK.TA,362.5763526,13.4030312,0.004550875,0.986073646
AMOT.TA,394.5886875,17.8977338,0.009197255,0.990310826
AMRM.TA,11791.80031,87.51742161,0.027969315,-1.245106892
ANGL.TA,5042.471678,56.25317303,0.01790973,0.940443027
APLP.TA,475.8945555,16.97675389,0.052306003,0.925330272
AQUA.TA,1034.328621,24.58120099,0.160842262,0.322696834
ARD.TA,91.75812618,6.047272339,0.001188838,0.99729141
ARAD.TA,4494743.476,1043.477564,5.237848478,0.875920916
ARAN.TA,275.1727757,15.0558459,0.007868038,0.896139245
ARBE.TA,71763.6544,226.9386386,0.450836866,-1.477739958
ARGO.TA,9696.112419,57.47206437,0.005591809,0.975319029
ARIN.TA,74.99255692,4.320334,0.019505948,0.836124682
ARYT.TA,152336.0315,258.2983498,0.191200164,0.244867717
ARF.TA,64090.10385,210.0597748,0.031678697,0.21897882
ASHO.TA,384214.6485,521.0426262,0.100405374,-0.151052996
ASHG.TA,3404.824118,31.53204281,0.005161237,0.989830111
ASGR.TA,48.06263569,5.76218207,0.008399777,0.993261505
AUDC.TA,3642.708997,48.8107043,0.013843718,0.960593106
AUGN.TA,4967.598443,55.71917534,0.132291965,0.65437932
AURA.TA,10791.71194,79.5451753,0.036961846,0.853025611
AUSA-M.TA,1388.122762,23.2822706,3.705730078,0.693192281
AUIS.TA,3879.950554,36.1370997,0.09327644,0.842485944
AMX.TA,2.027900435,0.910905936,0.038465883,0.88018631
AVER.TA,1219.22488,27.58307869,0.026083441,0.934978809
AVGD.TA,43569.17341,155.8619154,0.064048339,0.643158821
AVGL.TA,1.826900345,1.063043412,0.007382588,0.983784829
AVIA.TA,20015.81705,43.71025671,0.472618243,0.498988789
AVIV.TA,535.5044349,19.46207201,0.01019397,0.990258542
AVRT.TA,353.2228589,9.282138768,14.44117035,-0.174242741
AILN.TA,326.9366355,13.8994455,0.313691004,-7.372592992
AYAL.TA,33077.53802,104.4107013,0.027004111,0.947516008
AZRM.TA,763.6226548,23.45084402,0.011231868,0.977716064
AZRG.TA,56559.11501,172.9603764,0.006116837,0.986151118
BCOM.TA,658.5330482,15.67776907,0.009353676,0.993626818
BKFR.TA,70.14398233,6.755486774,0.004654942,0.984216677
BVGG.TA,74.21939049,5.910792564,0.006751135,0.960168994
BRAN.TA,4937.389574,60.75506555,0.041763263,0.736999543
BRKT.TA,10.09999784,2.67964864,0.012635929,0.956093076
BVC.TA,5.94013402,1.582800732,0.018378631,0.896009388
ORL.TA,0.761807168,0.751144799,0.007550485,0.98007801
BHNY.TA,74440.43732,152.2563174,0.714715199,-37.94421302
BSEN.TA,46036955.59,4848.496265,0.121750762,0.34957789
BEZQ.TA,18.52059138,3.577667504,0.006523182,0.99472199
BIG.TA,89732.87437,220.1970792,0.004288076,0.997295971
BIGT.TA,53.70194695,5.534952927,0.041978728,0.820575833
BKRY.TA,29.09454264,4.008733805,0.011673615,0.887120373
BIOV.TA,1451.073115,31.46509223,1.082975166,-346.2020755
BOLT.TA,74.942391,6.381852119,0.012110115,0.991812819
BLRX.TA,31.18020288,2.43059525,0.758118225,-0.237320416
BIMT.TA,0.844696813,0.65543032,0.02323939,0.966904288
BIRM.TA,1109.873898,23.30827609,0.019951063,0.978309368
BLRN.TA,2624.301371,40.91706289,0.768743335,-61.50296542
BLITZ-M.TA,36172.41427,133.822513,0.348112563,-1.360301232
BLSR.TA,367713.4981,493.7417281,0.014743981,0.944808619
BOTI.TA,3241.67409,45.06558479,0.010839486,0.993628949
BONS.TA,0.411793856,0.382599268,0.028268303,0.956013635
BCNV-M.TA,1748959.151,790.9775384,0.850005155,0.984679085
BWAY.TA,739.5385382,21.04681478,0.01150814,0.955459704
BRAM.TA,16.71758305,2.240655045,0.014193106,0.912190949
BRND.TA,19.71069913,3.942891628,0.014019242,0.976856363
BRIL.TA,1346.461212,29.08091241,0.013711338,0.987398869
BRMG.TA,1200.171288,30.56926609,0.019270299,0.983070375
BBLS.TA,90.87282498,6.648288355,0.190124557,-4.550655708
BLGO.TA,15.87270929,2.20003536,0.002909335,0.98617591
BULL-M.TA,405.348268,6.992531171,6.109799234,-173.7565974
CISY.TA,375033.1161,325.8636713,0.130053715,0.30065029
CLAB.TA,526.0816604,12.27979132,0.010638709,0.88926557
CAMT.TA,553891.2588,600.3057027,0.019979652,0.930314284
CANF.TA,0.04646691,0.138413188,0.062984778,0.77352086
CNGL.TA,787.3020593,20.60197246,0.018518128,0.884239829
CNTC.TA,14546569.12,1810.329593,3.124183211,-98.92269497
CNZN.TA,1225.166659,29.12422322,0.890346857,0.475418589
