Date,Ticker,Forecast,Days_Ahead
31/12/2024,ABRA.TA,296.4432,1
01/01/2025,ABRA.TA,301.39688,2
02/01/2025,ABRA.TA,304.69223,3
03/01/2025,ABRA.TA,295.50366,4
04/01/2025,ABRA.TA,296.00662,5
05/01/2025,ABRA.TA,293.84763,6
06/01/2025,ABRA.TA,297.72958,7
07/01/2025,ABRA.TA,294.5594,8
08/01/2025,ABRA.TA,296.06894,9
09/01/2025,ABRA.TA,302.6144,10
10/01/2025,ABRA.TA,308.1005,11
11/01/2025,ABRA.TA,312.8923,12
12/01/2025,ABRA.TA,308.4412,13
13/01/2025,ABRA.TA,308.22043,14
14/01/2025,ABRA.TA,311.34805,15
15/01/2025,ABRA.TA,300.6949,16
16/01/2025,ABRA.TA,297.89093,17
17/01/2025,ABRA.TA,302.93652,18
18/01/2025,ABRA.TA,296.96298,19
19/01/2025,ABRA.TA,292.26898,20
20/01/2025,ABRA.TA,291.7246,21
21/01/2025,ABRA.TA,291.02078,22
22/01/2025,ABRA.TA,295.899,23
23/01/2025,ABRA.TA,298.0506,24
24/01/2025,ABRA.TA,303.2489,25
25/01/2025,ABRA.TA,301.26364,26
26/01/2025,ABRA.TA,301.1864,27
27/01/2025,ABRA.TA,292.95038,28
28/01/2025,ABRA.TA,293.89398,29
29/01/2025,ABRA.TA,296.32587,30
31/12/2024,ACCL.TA,128.82008,1
01/01/2025,ACCL.TA,132.98514,2
02/01/2025,ACCL.TA,135.91144,3
03/01/2025,ACCL.TA,131.54498,4
04/01/2025,ACCL.TA,129.70563,5
05/01/2025,ACCL.TA,131.94368,6
06/01/2025,ACCL.TA,133.11162,7
07/01/2025,ACCL.TA,135.75226,8
08/01/2025,ACCL.TA,134.26013,9
09/01/2025,ACCL.TA,132.7472,10
10/01/2025,ACCL.TA,132.69771,11
11/01/2025,ACCL.TA,132.70355,12
12/01/2025,ACCL.TA,132.29285,13
13/01/2025,ACCL.TA,130.60605,14
14/01/2025,ACCL.TA,130.60274,15
15/01/2025,ACCL.TA,126.40154,16
16/01/2025,ACCL.TA,127.67065,17
17/01/2025,ACCL.TA,132.07382,18
18/01/2025,ACCL.TA,133.33507,19
19/01/2025,ACCL.TA,134.43819,20
20/01/2025,ACCL.TA,136.02486,21
21/01/2025,ACCL.TA,140.82231,22
22/01/2025,ACCL.TA,143.09186,23
23/01/2025,ACCL.TA,147.98701,24
24/01/2025,ACCL.TA,150.65617,25
25/01/2025,ACCL.TA,154.11374,26
26/01/2025,ACCL.TA,152.41493,27
27/01/2025,ACCL.TA,148.02052,28
28/01/2025,ACCL.TA,148.50227,29
29/01/2025,ACCL.TA,144.97435,30
31/12/2024,ACKR.TA,763.5763,1
01/01/2025,ACKR.TA,775.74304,2
02/01/2025,ACKR.TA,771.7933,3
03/01/2025,ACKR.TA,753.7152,4
04/01/2025,ACKR.TA,754.2965,5
05/01/2025,ACKR.TA,809.6733,6
06/01/2025,ACKR.TA,865.70386,7
07/01/2025,ACKR.TA,883.44556,8
08/01/2025,ACKR.TA,889.3611,9
09/01/2025,ACKR.TA,916.2845,10
10/01/2025,ACKR.TA,918.879,11
11/01/2025,ACKR.TA,931.3965,12
12/01/2025,ACKR.TA,922.57733,13
13/01/2025,ACKR.TA,951.38245,14
14/01/2025,ACKR.TA,958.70026,15
15/01/2025,ACKR.TA,984.2282,16
16/01/2025,ACKR.TA,1013.64417,17
17/01/2025,ACKR.TA,1031.5302,18
18/01/2025,ACKR.TA,1005.62836,19
19/01/2025,ACKR.TA,988.2319,20
20/01/2025,ACKR.TA,1020.3569,21
21/01/2025,ACKR.TA,960.98175,22
22/01/2025,ACKR.TA,987.4979,23
23/01/2025,ACKR.TA,981.611,24
24/01/2025,ACKR.TA,969.7473,25
25/01/2025,ACKR.TA,1004.7662,26
26/01/2025,ACKR.TA,1004.5219,27
27/01/2025,ACKR.TA,1012.80237,28
28/01/2025,ACKR.TA,1067.8948,29
29/01/2025,ACKR.TA,1123.1316,30
31/12/2024,ACRO.TA,5338.3027,1
01/01/2025,ACRO.TA,5274.1504,2
02/01/2025,ACRO.TA,5275.9487,3
03/01/2025,ACRO.TA,5302.443,4
04/01/2025,ACRO.TA,5400.263,5
05/01/2025,ACRO.TA,5447.9272,6
06/01/2025,ACRO.TA,5567.958,7
07/01/2025,ACRO.TA,5781.247,8
08/01/2025,ACRO.TA,5782.3594,9
09/01/2025,ACRO.TA,5773.698,10
10/01/2025,ACRO.TA,5689.754,11
