Date,Ticker,Forecast,Days_Ahead
31/12/2024,ABRA.TA,296.7356878,1
01/01/2025,ABRA.TA,300.2473321,2
02/01/2025,ABRA.TA,290.9420898,3
03/01/2025,ABRA.TA,300.2468677,4
04/01/2025,ABRA.TA,289.1752682,5
05/01/2025,ABRA.TA,290.0426755,6
06/01/2025,ABRA.TA,292.0522646,7
07/01/2025,ABRA.TA,293.8970968,8
08/01/2025,ABRA.TA,299.8569224,9
09/01/2025,ABRA.TA,303.6937513,10
10/01/2025,ABRA.TA,309.3424776,11
11/01/2025,ABRA.TA,308.7452661,12
12/01/2025,ABRA.TA,303.6604335,13
13/01/2025,ABRA.TA,306.4806771,14
14/01/2025,ABRA.TA,307.2067447,15
15/01/2025,ABRA.TA,315.536852,16
16/01/2025,ABRA.TA,317.9817489,17
17/01/2025,ABRA.TA,314.1058852,18
18/01/2025,ABRA.TA,312.5768117,19
19/01/2025,ABRA.TA,307.9847961,20
20/01/2025,ABRA.TA,302.415044,21
21/01/2025,ABRA.TA,301.9032172,22
22/01/2025,ABRA.TA,298.6949125,23
23/01/2025,ABRA.TA,290.2605577,24
24/01/2025,ABRA.TA,286.1498476,25
25/01/2025,ABRA.TA,297.5469318,26
26/01/2025,ABRA.TA,299.4909239,27
27/01/2025,ABRA.TA,299.6003873,28
28/01/2025,ABRA.TA,290.2173218,29
29/01/2025,ABRA.TA,297.5221583,30
31/12/2024,ACCL.TA,131.1596645,1
01/01/2025,ACCL.TA,131.3766533,2
02/01/2025,ACCL.TA,124.5980569,3
03/01/2025,ACCL.TA,124.5981227,4
04/01/2025,ACCL.TA,121.3545147,5
05/01/2025,ACCL.TA,118.1208205,6
06/01/2025,ACCL.TA,119.5933575,7
07/01/2025,ACCL.TA,118.8596919,8
08/01/2025,ACCL.TA,122.4244049,9
09/01/2025,ACCL.TA,128.9326282,10
10/01/2025,ACCL.TA,125.3546805,11
11/01/2025,ACCL.TA,126.0164444,12
12/01/2025,ACCL.TA,127.5252398,13
13/01/2025,ACCL.TA,127.3958322,14
14/01/2025,ACCL.TA,126.7976898,15
15/01/2025,ACCL.TA,127.608199,16
16/01/2025,ACCL.TA,133.1524684,17
17/01/2025,ACCL.TA,132.9268498,18
18/01/2025,ACCL.TA,141.7165214,19
19/01/2025,ACCL.TA,148.7999164,20
20/01/2025,ACCL.TA,153.0500205,21
21/01/2025,ACCL.TA,159.2179986,22
22/01/2025,ACCL.TA,157.6448651,23
23/01/2025,ACCL.TA,163.1754665,24
24/01/2025,ACCL.TA,164.1332462,25
25/01/2025,ACCL.TA,170.7627841,26
26/01/2025,ACCL.TA,157.4383335,27
27/01/2025,ACCL.TA,158.8027359,28
28/01/2025,ACCL.TA,163.0004113,29
29/01/2025,ACCL.TA,163.3489328,30
31/12/2024,ACKR.TA,667.8565931,1
01/01/2025,ACKR.TA,665.6564942,2
02/01/2025,ACKR.TA,658.8555151,3
03/01/2025,ACKR.TA,659.660485,4
04/01/2025,ACKR.TA,669.0501985,5
05/01/2025,ACKR.TA,678.0050853,6
06/01/2025,ACKR.TA,683.6829475,7
07/01/2025,ACKR.TA,692.4060185,8
08/01/2025,ACKR.TA,678.1334951,9
09/01/2025,ACKR.TA,697.3974698,10
10/01/2025,ACKR.TA,701.5421195,11
11/01/2025,ACKR.TA,711.5797508,12
12/01/2025,ACKR.TA,721.3205022,13
13/01/2025,ACKR.TA,715.7799248,14
14/01/2025,ACKR.TA,706.5598821,15
15/01/2025,ACKR.TA,709.2685634,16
16/01/2025,ACKR.TA,709.2185921,17
17/01/2025,ACKR.TA,723.5527464,18
18/01/2025,ACKR.TA,742.6194877,19
19/01/2025,ACKR.TA,743.320513,20
20/01/2025,ACKR.TA,728.255941,21
21/01/2025,ACKR.TA,739.8717241,22
22/01/2025,ACKR.TA,727.1301971,23
23/01/2025,ACKR.TA,737.5557339,24
24/01/2025,ACKR.TA,720.3866123,25
