Ticker,MSE,MAE,MAPE,R2
ABRA.TA,2.847641572,1.35783501,0.004455152,0.99576355
ACCL.TA,8.12948577,2.350645561,0.015805669,0.984776094
ACKR.TA,2484.195737,44.22340098,0.052912483,0.603528065
ACRO.TA,1671.764819,30.37921715,0.005031118,0.984002674
ADGR.TA,6.329996714,1.964351776,0.003693457,0.997252926
ARDM.TA,2.128667301,1.031755337,0.015527986,0.993879855
AFHL.TA,12917.61514,68.57480816,0.004814363,0.999266868
AFPR.TA,4422.812865,50.77278243,0.00297261,0.98279428
AFRE.TA,159963.1784,325.5210067,0.011971424,0.953920736
ARPT.TA,945.3868192,27.04353031,0.00455412,0.989783969
ARTS.TA,162.9103534,8.598547113,0.156615785,0.813972548
ALAR.TA,277.8613673,15.0828146,0.037762875,0.966307679
ALBA.TA,3036.089728,41.79609534,0.022519358,0.914008206
ALMD.TA,0.140983002,0.311401291,0.009017527,0.981326845
ALLT.TA,12337.17943,95.97359459,0.055582573,0.971713307
ALMY.TA,100207.8247,275.014678,0.884844337,-0.22350559
AMDA.TA,18.6751183,3.547947925,0.022082265,0.858210045
ALMA.TA,706.40373,21.57415795,0.021071295,0.939503425
ALHE.TA,326.7859741,13.14304296,0.00418646,0.993586709
ALRPR.TA,9757.195548,76.99921077,0.004349475,0.998180651
ALUMA.TA,13.40700671,1.909266608,0.041425852,0.41615769
AMAN.TA,23.87721077,3.50178413,0.002151162,0.998371565
AMD.TA,79.38226622,6.618527712,0.00720522,0.93511102
AMRK.TA,474.5134244,18.10260501,0.006139494,0.981774206
AMOT.TA,15.25637818,3.024095087,0.001644116,0.999625378
AMRM.TA,11461.5668,86.05565114,0.027505848,-1.182231884
ANGL.TA,482.1628829,15.19859851,0.004733677,0.994305142
APLP.TA,618.749059,19.30507596,0.055402019,0.902915838
AQUA.TA,4630.913084,53.9475032,0.335843456,-2.032432854
ARD.TA,353.1065256,15.42779705,0.003014018,0.989576719
ARAD.TA,6241062.511,1010.773447,5.423419417,0.827713122
ARAN.TA,486.1706888,18.64530815,0.009761052,0.816500544
ARBE.TA,71039.38925,226.4001642,0.449037301,-1.452733697
ARGO.TA,46021.12332,70.64004821,0.006976239,0.882855524
ARIN.TA,21.94644983,2.509002636,0.010917228,0.952042155
ARYT.TA,134398.6685,236.5273313,0.17194994,0.333783528
ARF.TA,69122.01263,218.4351089,0.032933849,0.157658474
ASHO.TA,269092.7279,434.3494997,0.082779288,0.193836071
ASHG.TA,5642.260315,48.90849768,0.007983471,0.9831471
ASGR.TA,62.1867358,6.776366454,0.009886161,0.991281272
AUDC.TA,23917.93661,52.51140238,0.014932279,0.741255314
AUGN.TA,8812.760853,78.21480704,0.175803854,0.386852131
AURA.TA,6627.054451,63.71554182,0.029448841,0.909744878
AUSA-M.TA,1337.095953,25.9189972,6.108131389,0.704470404
AUIS.TA,4428.390265,55.73002264,0.105085167,0.820220979
