Company,MSE,MAE,R2,MAPE
ABRA.TA,2.847641572,1.35783501,0.99576355,0.004455152
ACCL.TA,8.12948577,2.350645561,0.984776094,0.015805669
ACKR.TA,2484.195737,44.22340098,0.603528065,0.052912483
ACRO.TA,1671.764819,30.37921715,0.984002674,0.005031118
ADGR.TA,6.329996714,1.964351776,0.997252926,0.003693457
ARDM.TA,2.128667301,1.031755337,0.993879855,0.015527986
AFHL.TA,12917.61514,68.57480816,0.999266868,0.004814363
AFPR.TA,4422.812865,50.77278243,0.98279428,0.00297261
AFRE.TA,159963.1784,325.5210067,0.953920736,0.011971424
ARPT.TA,945.3868192,27.04353031,0.989783969,0.00455412
ARTS.TA,162.9103534,8.598547113,0.813972548,0.156615785
ALAR.TA,277.8613673,15.0828146,0.966307679,0.037762875
ALBA.TA,3036.089728,41.79609534,0.914008206,0.022519358
ALMD.TA,0.140983002,0.311401291,0.981326845,0.009017527
ALLT.TA,12337.17943,95.97359459,0.971713307,0.055582573
ALMY.TA,100207.8247,275.014678,-0.22350559,0.884844337
AMDA.TA,18.6751183,3.547947925,0.858210045,0.022082265
ALMA.TA,706.40373,21.57415795,0.939503425,0.021071295
ALHE.TA,326.7859741,13.14304296,0.993586709,0.00418646
ALRPR.TA,9757.195548,76.99921077,0.998180651,0.004349475
ALUMA.TA,13.40700671,1.909266608,0.41615769,0.041425852
AMAN.TA,23.87721077,3.50178413,0.998371565,0.002151162
AMD.TA,79.38226622,6.618527712,0.93511102,0.00720522
AMRK.TA,474.5134244,18.10260501,0.981774206,0.006139494
AMOT.TA,15.25637818,3.024095087,0.999625378,0.001644116
AMRM.TA,11461.5668,86.05565114,-1.182231884,0.027505848
ANGL.TA,482.1628829,15.19859851,0.994305142,0.004733677
APLP.TA,618.749059,19.30507596,0.902915838,0.055402019
AQUA.TA,4630.913084,53.9475032,-2.032432854,0.335843456
ARD.TA,353.1065256,15.42779705,0.989576719,0.003014018
ARAD.TA,6241062.511,1010.773447,0.827713122,5.423419417
ARAN.TA,486.1706888,18.64530815,0.816500544,0.009761052
ARBE.TA,71039.38925,226.4001642,-1.452733697,0.449037301
ARGO.TA,46021.12332,70.64004821,0.882855524,0.006976239
ARIN.TA,21.94644983,2.509002636,0.952042155,0.010917228
ARYT.TA,134398.6685,236.5273313,0.333783528,0.17194994
ARF.TA,69122.01263,218.4351089,0.157658474,0.032933849
ASHO.TA,269092.7279,434.3494997,0.193836071,0.082779288
ASHG.TA,5642.260315,48.90849768,0.9831471,0.007983471
ASGR.TA,62.1867358,6.776366454,0.991281272,0.009886161
AUDC.TA,23917.93661,52.51140238,0.741255314,0.014932279
AUGN.TA,8812.760853,78.21480704,0.386852131,0.175803854
AURA.TA,6627.054451,63.71554182,0.909744878,0.029448841
AUSA-M.TA,1337.095953,25.9189972,0.704470404,6.108131389
AUIS.TA,4428.390265,55.73002264,0.820220979,0.105085167
AMX.TA,5.551214171,1.212802799,0.672019669,0.052453198
AVER.TA,299.7372217,13.37525863,0.984015032,0.013328486
AVGD.TA,43070.5934,162.8423366,0.647242302,0.068115643
AVGL.TA,1.696999655,1.020106466,0.984937799,0.007231131
AVIA.TA,13082.95713,39.81422585,0.672523576,0.410136109
AVIV.TA,254.2717008,12.55723792,0.995374497,0.006560184
AVRT.TA,355.611639,9.51640821,-0.182183925,14.45994751
AILN.TA,256.8273318,12.1676917,-5.577148246,0.270736843
AYAL.TA,46201.32695,134.9477889,0.926692547,0.034724025
AZRM.TA,284.0835789,12.71502443,0.99170991,0.00627296
AZRG.TA,30177.97372,111.4223745,0.992610719,0.003964632
BCOM.TA,1228.928605,29.47630275,0.988106617,0.017295383
BKFR.TA,998.5829875,30.03723312,0.775305628,0.020769846
BVGG.TA,11.12491607,2.530850447,0.994029638,0.002926513
BRAN.TA,12444.3126,95.79688691,0.337127475,0.065682445
BRKT.TA,1.464231714,0.881201849,0.993634661,0.004350587
BVC.TA,1.127399682,0.841561175,0.980263243,0.009625344
ORL.TA,0.326674373,0.429391729,0.991457151,0.004291171
BHNY.TA,48823.40129,147.505293,-24.54242034,0.70576107
BSEN.TA,58991782.24,5462.035949,0.166548722,0.13616647
BEZQ.TA,9.354782074,2.61721229,0.997334068,0.005066774
BIG.TA,459557.7269,566.849748,0.986151593,0.010854329
BIGT.TA,8.769119926,2.391099348,0.970701397,0.017603306
BKRY.TA,23.1575269,3.786452763,0.910154525,0.011042774
BIOV.TA,716.9716519,22.40870009,-170.5516903,0.782756294
BOLT.TA,2004.905172,43.23266313,0.78097146,0.079391655
BLRX.TA,49.22914357,3.016700138,-0.953554461,1.012533835
BIMT.TA,0.324050834,0.420838034,0.9873035,0.015768343
BIRM.TA,508.7498864,16.50991617,0.990057333,0.014120899
BLRN.TA,317.5582069,13.78698113,-6.563281353,0.26296671
BLITZ-M.TA,11899.31399,72.86945018,0.223552919,0.178252959
BLSR.TA,268136.8798,456.1053609,0.959754415,0.013948294
BOTI.TA,4120.798765,46.50522862,0.991901154,0.010092668
BONS.TA,1.012593475,0.70495549,0.891838343,0.047939471
BCNV-M.TA,1156245.428,650.0492338,0.989871268,0.881713026
BWAY.TA,439.7355999,15.29697475,0.97351598,0.00843789
BRAM.TA,10.39651538,1.727073434,0.945392337,0.011112015
BRND.TA,2.318229679,1.102667828,0.997278013,0.004016421
BRIL.TA,732.5377534,21.15077511,0.993144396,0.010038916
BRMG.TA,856.4894063,18.72484225,0.987918354,0.011757319
BBLS.TA,66.77703843,4.951702863,-3.078847,0.137870812
BLGO.TA,95.84267745,4.247825725,0.916527305,0.005588011
BULL-M.TA,38.57387012,3.87028128,-15.6302383,6.744996058
CISY.TA,309693.0613,268.4725205,0.422494326,0.095970011
CLAB.TA,221.4728486,9.332411587,0.95338239,0.008089754
CAMT.TA,207497.9128,367.3779602,0.973894442,0.012229139
CANF.TA,0.026827772,0.102338613,0.869241772,0.0475149
CNGL.TA,2633.943016,45.66051014,0.612720824,0.041609883
CNTC.TA,2614215.749,762.2314345,-16.95746342,1.249646107
CNZN.TA,2723.937734,47.31144648,-0.166312428,4.503934734
CPTP.TA,2.501464702,0.783968879,0.98004134,0.280297332
CRSM.TA,2195.662132,23.19458962,0.990612437,0.007897394
CRSR.TA,1857.366407,35.48288646,0.973932343,0.009422463
CRML.TA,863.5347934,25.09360956,0.977108919,0.012059911
CRMT.TA,974.127488,18.45847615,0.988039588,0.270417544
CAST.TA,19145.30285,98.17923528,0.992291837,0.009460078
CEL.TA,299.0617493,11.31335686,0.997417468,0.005022654
CILO.TA,1331013.691,925.006453,-65.72367395,2.966226423
CION.TA,1.769148464,1.121427932,-2910.601756,0.032477089
CPIA.TA,0.467306027,0.551694936,0.911356906,0.011917048
CTPL1.TA,187935184.8,10724.10606,-0.048799051,12.95383032
CTPL5.TA,2315288970,32937.75644,-0.0556309,1.931388077
CBI.TA,0.670875878,0.672822545,0.820456272,0.018590575
CLIS.TA,2963.109149,37.0902665,0.998635366,0.004367057
CFX.TA,5.769896621,1.899704608,0.990045987,0.004947984
CDEV.TA,681218.5843,522.9845735,0.881815121,0.032138626
CGEN.TA,410.9369703,12.73873067,0.960928223,0.019792293
CMDR.TA,60578.86735,192.0574133,0.997589734,0.005507615
CNTL-M.TA,120.5078611,7.633370105,0.868809966,3.083030874
CMCT.TA,118254031.2,8721.253943,-243.3880961,22.97134779
DANH.TA,28331.6345,99.51421547,-2.145065516,0.04263251
DANE.TA,102304.2207,260.9976017,0.992921428,0.006588245
DNYA.TA,108300.4895,269.7072272,0.905587632,0.022575243
DLEA.TA,2666.942863,44.27724888,0.984072284,0.015557669
DLEKG.TA,698717.0194,662.1809939,0.980839867,0.013155673
DLTI.TA,6570.32555,43.77505476,0.966226784,0.00633214
