Company,Model,MSE,MAE,R2,MAPE,Final_Score,,,,
ABRA.TA,LSTM,2.847641572,1.35783501,0.99576355,0.004455152,-1.024401075,,,LSTM,234
ACCL.TA,GRU,6.197781321,1.207527753,0.988393554,0.008176471,-1.363739426,,,GRU,155
ACKR.TA,LSTM,2484.195737,44.22340098,0.603528065,0.052912483,-1.526987985,,,XGBoost,65
ACRO.TA,GRU,1062.296893,24.62342315,0.989834749,0.004101068,-1.052200329,,,LightGBM,44
ADGR.TA,LSTM,6.329996714,1.964351776,0.997252926,0.003693457,-1.666066115,,,,
AFHL.TA,LSTM,12917.61514,68.57480816,0.999266868,0.004814363,-1,,,Final Score = wMSE​×ZMSE​+wMAE​×ZMAE​+wMAPE​×ZMAPE​−wR2​×ZR2​,
AFPR.TA,LSTM,4422.812865,50.77278243,0.98279428,0.00297261,-1.501446613,,,,
AFRE.TA,GRU,93699.19995,229.3850478,0.97300885,0.0085549,-0.7507688563,,,,
AICS-M.TA,XGBoost,49307.62588,83.79922302,-0.111182188,1.502476251,-1,,,,
AILN.TA,LSTM,256.8273318,12.1676917,-5.577148246,0.270736843,-0.7038443999,,,,
ALAR.TA,GRU,277.4939157,14.0641479,0.966352235,0.039410695,-0.2,,,,
ALBA.TA,GRU,1192.922755,29.1714041,0.966212604,0.015808812,-1.053985083,,,,
ALHE.TA,LSTM,326.7859741,13.14304296,0.993586709,0.00418646,-0.8643643047,,,,
ALLT.TA,GRU,9896.501283,82.70669806,0.977309296,0.040678823,-1,,,,
ALMA.TA,GRU,285.9408099,9.251657609,0.975511965,0.00922915,-1.240760219,,,,
ALMD.TA,LightGBM,0.439502766,0.508806925,0.974562526,0.013958407,-1,,,,
ALMY.TA,LSTM,100207.8247,275.014678,-0.22350559,0.884844337,-0.527690611,,,,
ALRPR.TA,LSTM,9757.195548,76.99921077,0.998180651,0.004349475,-1.411321069,,,,
ALUMA.TA,XGBoost,6.952763215,2.291533046,0.571960479,0.07056957424,-1,,,,
AMAN.TA,LSTM,23.87721077,3.50178413,0.998371565,0.002151162,-1.190549053,,,,
AMD.TA,LSTM,79.38226622,6.618527712,0.93511102,0.00720522,-1,,,,
AMDA.TA,LSTM,18.6751183,3.547947925,0.858210045,0.022082265,-0.3822317778,,,,
AMOT.TA,LSTM,15.25637818,3.024095087,0.999625378,0.001644116,-1.247516812,,,,
AMRK.TA,GRU,362.5763526,13.4030312,0.986073646,0.004550875,-1.222869633,,,,
AMX.TA,GRU,2.027900435,0.910905936,0.88018631,0.038465883,-1,,,,
ANGL.TA,LSTM,482.1628829,15.19859851,0.994305142,0.004733677,-1.473259131,,,,
APLP.TA,GRU,475.8945555,16.97675389,0.925330272,0.052306003,-0.8579333552,,,,
AQUA.TA,GRU,1034.328621,24.58120099,0.322696834,0.160842262,-1.065492585,,,,
ARAD.TA,GRU,4494743.476,1043.477564,0.875920916,5.237848478,-0.1654383081,,,,
ARAN.TA,XGBoost,161.7314756,8.437016203,0.986345732,0.004160280112,-1.043402548,,,,
ARD.TA,GRU,91.75812618,6.047272339,0.99729141,0.001188838,-1,,,,
