,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
ACCL.TA,109.76,150.43,150.0,109.41,106.98,66.54,85.67,41.16,-5.74,166.72,,,,,
ADGR.TA,-48.91,-457.44,-385.71,,,-18.8,-55.36,-4.3,-71.98,,791.07,101.92,,,
AFRE.TA,224118.75,2199900.0,,223174.33,232225.26,,,96904.23,94961.37,101989.79,,,25357.92,99993.84,
ARPT.TA,10.53,189.5,250.0,93823.63,,,,98621.68,99675.85,97671.1,,,,72190.57,
ASGR.TA,111.32,-15.38,,112.82,,,,-0.98,,,,,,,
AVRT.TA,86.18,-119.27,-130.0,103.37,87.57,0.0,1.76,0.0,0.0,-3.66,208.51,,,,
AYAL.TA,,97.25,,,,99.9,-99.54,-88.94,-88.2,-95.2,,,,,
AZRG.TA,,-78.49,-170.13,,,,,2.06,,-1.01,,0.0,,,0.0
BIOV.TA,0.0,-120.28,-122.22,0.0,-114.96,-19.03,-311.26,2.57,-16.64,15.4,0.0,,,,
BONS.TA,,0.0,0.0,,-6.37,16.04,0.0,-83.81,1.82,-22.2,-46.7,,,,
BRIL.TA,-99.8,99.93,,-99.8,100.0,99.89,-100.32,-99.91,-99.91,-99.9,-99.14,,,,
CANF.TA,,,,,,,,,,,,,,,
CRSM.TA,-99.76,-99.87,23.33,-99.83,-99.84,99.98,-99.81,-99.87,-99.86,-99.89,-99.86,,,,
CAST.TA,,,,,,,,-99.93,-99.9,-99.95,,,,,
CBI.TA,,20370.32,15700.0,,,,-3746.15,-55.83,,20.71,12.92,,,,
CLIS.TA,,134.58,,,,,,3478.13,,-132.93,,,,,
CDEV.TA,71.15,24.87,24.68,,70.07,0.0,34.88,-19.57,-64.55,11.11,63.66,-197.68,,,
DLEA.TA,60.24,141.34,151.16,49.78,42.28,,,-1.54,-43.09,43.43,,,-9.09,7.13,
DIMRI.TA,116.41,50.6,,93.55,,-253594.56,-8.55,18.66,-11.99,2.24,,33.33,-11.37,,
DISI.TA,104.88,252.53,,,,-78.95,43.62,0.24,-19.77,13840.04,296.54,,4.26,-22.39,
DRAL.TA,,,,,,,,-8.85,-12.38,5.07,,,,,
ELAL.TA,-99.85,99.83,,99.88,99.97,100.03,-100.11,-99.91,,99.83,,,,,
ELCO.TA,-99.8,-99.79,97.04,-99.8,-99.79,,,-99.9,-99.91,-99.89,,,,,
ELTR.TA,-26.03,52.57,,136.63,31.09,44.06,-149.5,-54.37,-58.97,-42.14,,253.15,,,
EMDV.TA,96181.97,195928.05,,98595.83,199307.59,-324900.0,-399900.0,42225.67,51200.56,100800.29,258874.36,,,,0.0
FIBI.TA,,98.25,,,,,,2.13,11.83,1.99,,,,,
