,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
ACCL.TA,137.41,-2145.45,-6900.0,222.42,-3.25,-87.26,5780.26,656.0,3.03,,,,,,
AFPR.TA,,213.72,,,-1.97,,,,1.86,,,,,,
ARPT.TA,,0.83,0.0,0.0,0.0,0.0,,,1.37,,,,,,
ALBA.TA,102.34,31.05,33.44,87.68,21.69,32.53,,,1.46,63.4,,,,,
ALLT.TA,13.16,-0.53,0.0,13.31,-0.64,-0.97,,,-0.43,-0.98,-37.22,95.61,-41.76,1.14,
ALMA.TA,163.45,0.0,80.0,419.59,9.95,99.6,72.47,-15.46,16.97,191.36,0.0,,,,0.0
AMOT.TA,,92.93,,,1.72,12.41,1.27,0.28,1.98,,,,,0.43,
APLP.TA,122.78,,-175.0,22.11,9.28,-11.17,,,24.58,,-157.02,-200.0,68883.78,,
ASHO.TA,83.28,0.0,0.0,208.23,1.53,0.0,,,0.0,58.14,,,,,
ASHG.TA,297.39,3161.27,,335.93,9.16,,,,16.62,436.51,,,,,
ASGR.TA,-99.8,-99.52,230.77,-99.79,-99.9,-99.66,-99.9,-99.9,-99.9,,,,,,
AUDC.TA,2.99,-17.94,-17.24,4.44,1.78,0.52,-33.33,,2.66,0.09,31.34,-102.6,54.22,-0.34,3.73
AVGL.TA,116.67,379.75,100.0,145.42,0.9,-0.03,5.97,-1.1,2.69,436.72,,,,0.0,
AVIV.TA,329.21,225.11,,239.67,0.66,1.87,,,-1.46,0.0,,,,,
AVRT.TA,95.43,209.38,100.0,90.8,-13.44,-19.88,,,0.36,,99.41,,,,
AYAL.TA,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,
AZRM.TA,17698.93,60.25,-55.83,4145.2,211.71,354.74,25703.61,86.19,94.15,,,,,,
BKRY.TA,0.0,0.0,0.0,0.0,0.2,-18.5,,-99.1,0.0,-53.79,13.34,-222.95,93.09,,
BIOV.TA,78.36,6.45,16.67,86.44,14.36,43.73,,,4.03,,400.0,-57.83,116.31,,
BOLT.TA,,,,,,,,,,,,,,,
BONS.TA,,,14.29,,635.87,0.2,,,323.63,,,-408.0,549.06,,
BCNV-M.TA,,191.67,0.0,,-2.35,-0.65,,,1.19,,,,,,
BRAM.TA,144.31,-216.77,650.0,14.94,0.0,-21.84,155.19,552.24,-166.85,63.52,,1257.9,-347.37,,
CISY.TA,-46.83,-27.29,0.0,-41.61,0.0,46.47,,,0.0,-27.63,0.58,26.4,-90.38,5.39,200.0
CAMT.TA,17.69,17.51,16.67,20.79,11.49,27.46,,,7.09,18.06,637.04,,,0.88,
CRSM.TA,118.57,130.92,,122.1,-8.21,-13.25,-25.6,,4.98,,73.52,-90.27,-101.17,,0.0
CEL.TA,-2.9,-300.0,0.0,4.55,-4.72,-6.05,,,-1.06,-34.0,,,,,
