,Revenue,Net Income,Earnings Per Share (EPS),Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Gross Profit,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Operating Cash Flow,Number of Outstanding Shares
ACRO.TA,85.59,34.72,-1.04,68.53,4.72,6.91,-14.23,0.0,,,,,,,
ADGR.TA,,,,,3.2,3.22,4.25,296.03,,,,,,,
ALMA.TA,101.0,-28.46,,,-3.49,-6.87,12.97,0.0,131.24,,,,,,
ALHE.TA,,,,,,,,,,,,,,,
ALUMA.TA,3328.54,4501.33,0.0,0.0,-6.23,-48.24,-0.42,,,-90.2,293.46,,,,
AMRK.TA,0.61,176452.7,334.07,105.62,12.01,41.83,99785.58,0.0,0.0,,,20.9,9.69,,
AURA.TA,99.89,64.26,64.27,82.42,30.16,18.82,4.75,-200.0,104.18,-33.88,131.43,5.54,10.46,2041.3,
AVIV.TA,148.64,-18.47,-17.54,18.04,9.7,18.33,-2.54,,-17.28,-169.27,78.62,-37.52,-3.26,,0.0
BKFR.TA,277.9,2634.06,2833.33,,-10.16,0.0,-14.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BIOV.TA,68.06,-102.75,-56.25,,1.9,1.03,2.32,,74.11,-585.19,-103.14,,,286.24,
BOTI.TA,,,,,0.95,-3.56,21.27,,,,,,,,
BRIL.TA,126.98,241.01,240.98,191.68,8.78,7.29,12.37,0.0,134.4,94.42,-137.66,-20.08,20.54,-53.89,
BULL-M.TA,,0.0,0.0,,60.58,0.0,0.0,,,,,,,,
CAST.TA,155.68,118.28,509.38,177.81,3.28,2.39,5.38,,174.98,72.37,-73.53,,127263.52,,
CEL.TA,1.33,39.29,0.0,30.14,-2.81,-3.66,-0.48,,-7.69,,,,,,
DLEA.TA,87.65,96.22,95.4,87.14,3.5,5.74,-0.02,100.23,90.79,-276.31,-13.55,40.1,-3.08,51.19,
DLEKG.TA,,,,,,,,,,,,,,,
DIMRI.TA,,,,,-99.88,,-99.9,-99.9,,,,,,,
DIPL.TA,107.68,238.03,203.77,78.84,3.31,4.08,-12.12,,109.42,-239.24,-223.95,,0.43,225.23,
DSCT.TA,-31.09,-25.89,,,16.28,16.79,12.87,,,,,,32.14,,
DISI.TA,,55002.04,,,67.69,-3.44,2323.64,,,,,,,,
DRAL.TA,108.88,53.04,48.57,,-24.73,-32.54,9.59,,,-46.15,-94.64,,,-96.25,0.0
ELAL.TA,82.56,251.44,251.28,,-77.19,-36.84,18.82,,722.98,,361.44,,,655.33,0.43
ELTR.TA,-99.61,100.02,,100.04,-99.99,-99.99,-100.0,100.59,,,,,,,
ECP.TA,,,,,,,,,,,,,,,
ELCP.TA,-74.37,3840.09,,803.06,-88.41,-88.37,-88.51,,,-587.12,-373.54,,-89.67,27502.5,
ELLO.TA,,,,,,,,,,,,,,,
ENRG.TA,-23.86,4.79,,,0.0,0.0,0.0,,,,,,,,
EVGN.TA,131.65,-107.12,-110.0,-99.4,-15.28,-7.28,-17.05,,67.57,14.7,-369.0,,,,0.02
FORTY.TA,,,,,,,,,,,,,,,
FOX.TA,,,,,,,,,,,,,,,
GCT.TA,,-23.05,-20.2,,,,2.1,100.0,,,,,,402.9,2.45
GVYM.TA,4.61,148.58,,,2.3,4.02,2.29,300.0,142.87,89.88,-1423.48,,,31.14,
GNRS.TA,,0.0,0.0,,-3.26,-3.45,-3.13,0.0,,0.0,0.0,,,0.0,
GRIN.TA,100.26,172.08,0.0,124.58,-3.97,-1.45,-3.72,200.0,106.81,78.88,-2012.76,-0.69,-55.94,114.71,
G107.TA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,
HLAN.TA,115.77,93.56,,100.56,20.5,,18.06,,105.28,,,41.84,-4.7,,
HLMS.TA,0.0,0.0,0.0,,0.0,0.18,-2.02,,0.0,0.0,0.0,,,0.0,
HUMX.TA,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,,,
ILX.TA,72.76,0.13,0.25,,-0.68,57.79,-19.43,-200.0,48.84,,,-88.12,,,
ISCN.TA,214.95,28.29,,110.16,-2.31,0.0,2.56,0.0,,,,,,,
ISRA.TA,161.24,138.9,139.19,,-1.22,-8.5,12.79,,,-132.36,29.48,,,73.61,0.0
ISRO.TA,179.1,1188.58,1185.71,29723.74,5.62,1.88,9.61,,565.96,,,-19.38,10.36,,
KAFR.TA,0.0,0.0,0.0,0.0,0.0,8.32,0.0,,0.0,,,0.0,0.0,,
KMDA.TA,83.97,-214.5,-225.0,-932.52,0.34,54.65,-2.04,,64.06,-132.16,-132.91,19.44,-6.82,199.21,
KRUR.TA,140.84,295.72,-75.97,373.14,0.0,52.1,0.0,,143.35,0.0,0.0,,,0.0,
KSTN.TA,,,,,-0.27,104.95,-37.0,200.0,,,,,,,
LAHAV.TA,,4485.14,,,0.0,0.0,-0.1,,,122.8,-55.64,1581.2,,-70.99,
MTRN.TA,-0.58,-4.94,,-9.23,-23.64,-36.96,5.79,0.0,-3.13,,,-56.98,-19.69,,
MDPR.TA,227.75,0.0,0.0,,0.0,2.25,-13.38,,,0.0,0.0,,,0.0,0.0
MNIN.TA,102.2,41.82,0.0,111.2,19.28,23.25,21.29,0.0,108.43,-2.26,1935.31,224.52,-6.63,-36.83,
MNRT.TA,,440.46,500.0,,0.13,-1.01,1.01,53.12,,48.48,50.12,231.73,-19.41,94.09,
MGRT.TA,,,,,,,,,,,,,,,
MDIN.TA,106.02,677.64,,,0.0,13.1,70.61,,,,,,,86.68,
NFTA.TA,115.79,217.93,268.31,129.44,5.18,-0.16,11.15,,117.61,,,,,,
NVPT.TA,99.76,181.33,509.43,92.19,3.94,-1.53,13.2,,96.41,,,,,,
NYAX.TA,120.74,-105.82,-105.35,-97.1,5.35,20.18,-6.4,,107.74,-29.79,-28.35,,-68.19,-517.35,
NTML.TA,-99.63,-99.52,340.45,,-99.9,-99.88,-99.91,,-99.58,100.11,99.71,-99.9,,-99.89,-99.9
NXFR.TA,188.1,-258.76,,,12.26,6.65,14.74,,76.92,0.0,31357.14,,,,
NICE.TA,0.6,13.22,13.79,17.05,-0.81,-4.03,1.26,,1.46,-266.12,55.7,-13.61,0.09,-91.7,-0.87
NISA.TA,300.4,-83.45,-73.68,73.94,-6.66,-38.78,-2.06,-0.08,168.64,-85.9,299.47,-11.81,6.82,-37.41,
NOFR.TA,,,,,0.44,34.41,-3.52,,,,,-0.6,0.0,,
NSTR.TA,,76.47,76.86,,0.24,,3.01,,,,,,,397.83,
ORMP.TA,98.81,,145.45,,-11.05,-21.3,-10.06,,,,,,,,1.26
ORIN.TA,92.42,323.8,236.0,,-4.58,-34.06,18.0,,110.51,25.45,-818.88,-18.55,-37.08,627.92,0.0
PAZ.TA,19.74,,,10.38,-12.13,-33.93,-7.17,,17.54,,,,,,
