,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
ACCL.TA,,,,,,,,,,,,,,,
ACRO.TA,-99.81,-99.82,-99.82,-99.81,99.92,-99.96,-99.9,-99.9,-99.9,-99.9,,,,,
ADGR.TA,0.0,436.77,,,-72.53,-48.77,1.04,-0.85,-0.84,0.0,258.25,10.65,1.36,,
AFHL.TA,-99.8,-99.84,-99.82,-99.83,99.99,99.84,-99.9,-99.9,-99.9,,,,,,
AFRE.TA,40.85,74.06,45.53,61.07,,,-0.9,-2.32,1.7,22.22,,-74.97,2.51,0.0,
ALBA.TA,106.45,466.67,98.0,55.93,0.98,-331.67,-3.31,-3.3,3.35,,,8.56,-14.82,,975.0
ALLT.TA,18.71,-82.47,28.68,-81.12,9.67,,-11.29,-19.11,0.0,,-28.66,,,0.86,-83.33
ALMA.TA,,,,,,,,,,,,,,,
AMD.TA,120.7,2162.8,126.22,454.55,46.72,-27.94,0.23,13.53,15.48,,-152.55,,169.64,-0.03,0.0
AMRK.TA,-99.97,-99.6,-99.97,-99.78,-101.98,99.09,-99.89,-99.99,-99.9,-99.9,-99.76,,-99.93,,184.62
AMOT.TA,70.36,192.33,,,,,1.24,,1.03,0.0,,,,,102.36
ASHG.TA,161.53,91.3,64.74,86.11,-167.27,1369.39,3.92,5.08,2.03,0.0,,-5.99,13.05,,
AZRG.TA,-99.78,-99.79,-99.92,,99.93,99.86,-99.9,-99.9,-99.9,-99.9,,-99.87,-99.91,0.0,112.54
BCOM.TA,99.61,0.0,,63.95,,,4.25,1.41,3.02,,,,,,
BSEN.TA,13.55,49.6,24.43,37.64,-155.94,-27.64,0.27,221.3,2.17,,180.14,-0.05,-8.03,,50.0
BKRY.TA,-99.59,-99.52,-99.6,-99.56,-99.9,99.78,-99.9,-99.97,-99.9,,-99.83,-99.91,-99.89,,340.0
BONS.TA,,,,,-1323.76,873.55,12.13,5.57,14.44,,-89.74,,,,
BCNV-M.TA,0.0,-5644.24,,-1655.41,265.13,-124.53,0.5,1.31,-17.28,,,-92.22,-16.55,,
BLGO.TA,85.26,0.0,,,0.0,0.0,0.0,-80.39,18.49,,0.0,,,,0.0
CISY.TA,269.78,163.06,243.04,183.99,-63.18,-1797.62,-7.96,-39.22,-5.03,0.0,-30.99,,,,925.0
CAMT.TA,1.79,7.78,3.27,5.2,,,3.85,1.59,5.4,,-8.24,,,100296.4,5.56
CANF.TA,106.32,-65.49,,-65.78,,,-18.21,72.33,-19.06,,,,,1.97,
CLIS.TA,0.0,-41.0,,,,,0.98,0.98,-0.94,,,,0.26,,
CDEV.TA,-42.43,-26.05,,,90.37,,-11.29,428.51,-13.87,-197.68,108.05,,,,-26.14
CGEN.TA,,0.67,,,,,-8.61,0.76,-10.42,,,,,0.64,0.0
DANE.TA,-96.8,-141.92,-97.09,-85.4,99.86,99.62,-96.84,-97.74,-100.0,-100.23,,,,,-7.14
DNYA.TA,-99.57,-99.56,-99.58,-99.59,-99.89,100.0,-99.89,-99.96,-99.76,-100.2,-98.6,,,,339.06
DELG.TA,100.25,499.17,103.57,232.1,-209.43,246.59,0.4,1.99,-5.05,,699.32,-45.53,-96.72,,134.62
DSCT.TA,-99.55,-99.93,,,,,-99.9,,-99.9,,,,,,-30.66
DISI.TA,,109.72,,,,,12.53,,1.98,0.0,,,,,
ESLT.TA,4.33,0.53,2.96,8.2,-245.81,370.77,1.0,143.23,0.57,,,205.95,-46.89,0.01,0.0
ELTR.TA,97693.92,114069.35,100281.46,192768.75,,,101172.65,101772.93,103759.32,,,,,,
ELCP.TA,-97.93,-102.21,,-99.91,-354.65,316.76,-96.88,-99.6,-99.63,,56.23,,-99.85,,
ELCRE.TA,227.03,,,,,,0.0,-5.27,1.17,199.85,,,,,
ELWS.TA,167.17,410.86,96.96,115.73,-204.47,-52.85,16.48,-1.79,19.23,,,,,,0.0
ELLO.TA,112.15,62.96,267.28,479.79,18.02,-7.07,-2.16,-3.88,2.66,,276.5,543.48,78.05,,59.26
ENRG.TA,42.09,20.36,,,,,,,,,,,,,
ENLT.TA,74554.2,66566.67,60728.07,85666.24,-210609.47,-899.21,99661.78,98903.03,101110.29,,70242.51,103223.5,662840.66,11.31,-45.45
ENLV.TA,,5.9,,1.98,-8.62,13.21,-11.65,-7.99,-12.34,,-121.42,,-7.33,0.37,5.13
FIBI.TA,-99.92,-99.81,,,,,-99.9,-99.9,-99.89,-99.82,,,,,106.23
FIBIH.TA,,126136.56,,,,,4344.64,4129.2,19944.02,,,,112.08,35452540.0,-83.44
FORTY.TA,-2.24,8.39,-0.61,-1.33,,,-1.61,-31.19,2.07,,,,,0.11,9.9
FOX.TA,-99.79,102.33,-99.78,-98.54,99.87,99.26,-99.9,-99.9,-99.9,-99.9,,,,,1958.54
GCT.TA,-3.15,99.92,,586.05,,,,,6.51,,,,,,18.12
GSFI.TA,129.76,88.22,101.76,86.85,-306.27,253.04,-35.82,-37.52,1.87,,111.24,,,,88.24
GAON-M.TA,5.98,-1804.28,83.36,,,,7.66,24.18,-8.68,,,,-34.37,,
GNRS.TA,,,,,,,-99.89,-99.89,-99.89,,,,,,
GILT.TA,14.63,-22.49,3.45,-22.3,-16.23,,-3.37,-14.67,2.03,,,,,0.01,-20.0
GLTL.TA,111.58,103.36,100.71,120.82,-19.85,-8.15,0.32,-0.34,2.69,,-65.92,-100.0,4.42,99900.0,105.71
GOLF.TA,-5.43,24.25,3.82,201.81,,,-4.24,111.26,1.6,,,-11.79,-1.01,,23.08
HAMAT.TA,89.54,57.49,86.36,120.37,86.12,-145.21,0.0,0.0,0.0,,-14.73,,,,
HARL.TA,,60987.95,,60987.95,,-99900.0,94514.54,100200.5,-88399.68,,,,94678.35,,
HLAN.TA,102.76,100.36,98.41,102.74,-94.5,-305.7,-1.21,-14.8,6.17,0.0,,,,,
HIPR.TA,-99.78,-99.79,-99.77,-99.74,96.06,100.32,-99.9,-99.87,-99.93,,,,,,
HRON.TA,93.37,98.1,104.46,,,,6.24,-76.74,5.69,0.0,,-12.81,,,
HUMX.TA,0.0,0.0,0.0,0.0,99900.0,-99900.0,0.0,-85.41,20.37,,-99900.0,,,,0.0
ICL.TA,-12.67,-41.79,-22.1,-35.48,-0.49,-640.43,-3.83,-7.69,-3.87,0.0,2.36,-4.26,-7.07,-0.01,-40.91
ICON.TA,-3.39,64.37,88.38,76.88,,,-22.15,-19.02,187.95,0.0,,-15.75,-3.45,,65.0
IDIN.TA,,1022000100.0,,,,,1293354.22,,103769607.8,,,,,,
ILX.TA,2.2,19.27,-9.23,-14.85,-60.09,-277.1,6.69,95.7,1.59,0.0,,,,,18.75
INRM.TA,-4.82,-21.53,-10.1,-18.95,52.46,-1259.42,1.47,-2.7,2.95,46.71,114.91,,,,-21.43
ISRG.TA,99900.0,99900.0,99900.0,99900.0,-99900.0,-153473.12,107834.19,99900.0,99900.0,,,99900.0,99900.0,,0.0
ISRA.TA,99.62,106.01,,,-245.19,-330.93,3.42,7.51,-1.55,562.95,,5.65,8.15,0.0,105.41
ISRO.TA,-99.74,-92.87,-99.44,-97.8,99.84,97.88,-99.9,-99.9,-99.9,,,-98.52,-99.21,,7800.0
JBNK.TA,,-95.27,,,,,-85.79,-84.99,-97.59,,,,,,
KMDA.TA,122.15,100.17,122.15,910.38,-95.88,-203.23,-0.76,-53.62,1.11,,163.14,0.0,-9.37,,100.0
KRDI.TA,2441.34,-16.43,1786.26,31812.38,,,713.68,153.01,2873.75,,,,,,
KEN.TA,,,,,,,,,,,,,,,
KLIL.TA,81.12,35.95,84.75,221.8,1498.53,298.19,0.1,362.46,0.7,,44.31,,,,35.69
KNFM.TA,,-30.93,0.0,54.97,,,0.0,-54.44,-3.72,,,,,0.0,0.0
LPHL.TA,53610.84,49944.02,,,,,103888.28,103644.03,99900.0,199900.0,,,,,115.85
LEOF.TA,,53.24,240.0,-67.74,-918.4,222.51,0.0,0.0,3.3,,-513.6,271.57,-0.38,,-50.0
LEVI.TA,-77.56,-63.97,-99.92,,95.0,-54.33,2.1,,2.73,-99.9,,-99.9,-99.9,,0.0
LBRA.TA,110.4,-44.59,,,-47.15,-1.31,2.42,2.69,-1.44,,180.65,,,,
LCTX.TA,35.16,-18.14,36.66,24.36,124.2,562899900.0,-1.34,-8.51,3.25,,-55.76,,,100173.33,0.0
LPSN.TA,-9.42,162.12,,111.22,-298.49,-0.01,-6.19,-9.45,38.68,,-341.14,,0.1,1.49,160.87
MLTM.TA,100.21,-38.37,-6.32,-14.14,-119.93,,-0.22,,-1.04,,,,,0.0,-42.22
MTRX.TA,99.66,96.14,98.1,96.25,-21.28,-235.3,-2.73,182.88,9.07,,,,,,
MTRN.TA,39.07,4.95,27.51,10.99,-28.4,-85.89,-7.97,-17.58,13.0,0.0,,,,,
MDTR.TA,101.11,73.42,90.37,47.5,-28.4,-13.87,0.23,-1.15,4.19,0.0,,,,,116.22
MLSR.TA,,189.41,105.2,141.38,-31.67,-77.55,17.04,79.05,16.29,,,,24.09,0.01,
MNIN.TA,-99.81,-99.83,-99.81,-99.83,99.83,99.86,-99.9,-99.9,-99.9,-99.9,-99.83,-99.76,-99.91,,64.52
MNIF.TA,0.0,-67.37,,,-468733.33,-73.7,0.0,0.0,-7.43,-111.76,,0.0,0.0,0.0,-67.53
MNRT.TA,254.67,,,,-676.61,-61.26,-11.54,-14.83,1.34,0.0,,,1.31,,950.0
MMHD.TA,,99900.0,,,100.0,99.86,99955.89,100242.28,-100.02,-100.0,,,,,566.41
MCLL.TA,210906.67,205882.74,,,,,369423.9,109861.24,112830.82,,,,,,
MGDL.TA,73.36,-0.26,,,,,0.08,0.08,-0.09,,,,,,
MLD.TA,0.0,-173.1,-354.04,-39.95,-17.69,-444.12,-32.03,-13.56,-64.46,,-25.22,0.0,,,
MZTF.TA,,180.0,,,,,6.01,9.92,0.95,,,,,,
MDIN.TA,,,,,,,,,,,,,,,
NFTA.TA,98.53,539.62,-0.88,70.91,,,6.01,8.43,3.35,0.0,,,,,
NVPT.TA,79.59,65.87,70.13,53.87,,,8.78,-0.04,2.51,,,-18.97,15.02,,
NTO.TA,,,,,-94.74,-223.53,-1.22,-3.85,2.26,,1055.56,,,,
NXTM.TA,121.63,210.01,119.26,186.51,-42.4,-777.71,2.46,-46.35,4.77,,387.33,,18.47,0.53,211.11
NICE.TA,-99.9,-99.89,-99.9,-99.89,99.9,99.9,-99.9,-99.83,-99.9,,-99.97,-99.91,-99.9,-99.9,13.91
NISA.TA,97.23,-10.76,142.21,275.68,-84.03,-80.73,-0.77,3.52,3.52,,44.56,,,,40.0
NOFR.TA,-4.17,-81.94,,-36.44,-475.9,710.87,8.73,79.02,-31.28,,,,,,
OPCE.TA,115.8,-50.63,-51.65,129.91,,,-91.03,-90.26,-89.05,,,,-92.39,,
ORMP.TA,101.2,-45.04,,-72.79,-111.41,0.0,-2.17,-2.17,-0.21,,-47.47,,,0.44,-37.5
ORIN.TA,-11.32,5.52,-28.39,41.78,4.52,-811.26,5.69,1.85,2.8,,,-58.17,10.36,,0.0
ORON.TA,106.9,-78.02,-72.67,-70.37,-152.16,-29.53,21.66,28.07,1.98,,,,-0.24,,
OVRS.TA,101.78,96.62,100.54,,-34.6,-79.48,0.46,2.42,1.38,45.45,55.07,0.06,4.67,,
PLRM.TA,109.34,204.78,31.11,205.12,-58.94,,-2.0,-16.58,5.94,5.0,,,,,196.34
PAYT.TA,105.2,92.43,99.0,89.71,-19.49,,0.0,901.28,-35.57,53.75,,,,,-54.89
PAZ.TA,-99.91,-99.85,-99.9,-99.9,99.99,-100.01,-99.9,-99.93,-99.89,,-99.95,-99.64,-99.92,,
PCBT.TA,-74.48,-8000.0,-76.89,-338.69,86.71,-169.72,0.0,0.0,0.0,,58.16,0.0,,,
PLSN.TA,98.58,108.04,105.14,103.5,-14.71,-136.23,0.54,31.04,6.26,,,-4.72,-7.77,,108.39
PPIL.TA,200915.69,498268.3,204795.37,109623.52,-687734.55,1914831.24,108667.57,179457.03,101414.42,,180351.87,127386.06,100252.02,99900.0,366.67
POLI.TA,,-99.97,,,,,-98.58,-98.48,-99.91,,,,,,
PMVM.TA,111.21,-141.86,849.44,-146.36,22.61,88.63,9.31,188.51,-115.81,,,,44.55,,
PRTC.TA,,,,,,,-99.9,-99.9,-99.9,,,,-99.83,,
RMN.TA,,,,,,,-15.11,821.35,-4.4,0.0,,,0.0,,
RIT1.TA,,,,,,,-99.9,-99.91,-99.9,,,,,-100.0,165.73
AZRT.TA,,,,,,,-99.87,-99.94,-99.91,,,-99.72,-99.98,0.0,
RTEN.TA,279.0,352.13,317.83,290.66,-218.64,320.4,-3.67,185.24,-76.49,,,,,,365.22
SPNS.TA,2.97,8.47,3.21,3.7,-57.74,-69.89,-1.55,0.19,0.17,,65.73,-0.02,0.03,-0.01,7.69
SHAN.TA,85.77,89.94,87.85,85.43,-38.35,109.86,28.59,52.14,0.89,-200.0,,52.65,-5.99,0.0,94.52
SPEN.TA,,183.33,128.33,-60.4,-125.0,128.97,0.31,-0.65,3.17,,,35.03,0.42,,171.43
