,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,63.25,-341.77,-271.11,68.9,-293.69,-345.93,-130.72,76.62,43.74,96.36,,,,,
ADGR.TA,45.16,8.53,-550.0,,-31.21,-0.52,-20.09,0.8,142.11,0.74,355.19,46.53,-4.58,46.19,
AFRE.TA,59.45,90.92,,57.39,58.24,,,5.58,7.08,1.93,,546.01,5.1,-200.0,
ARPT.TA,-7.94,-99.4,332.14,,475.7,,,0.57,0.92,0.25,,,,,
ALBA.TA,51547.62,90345.78,-11.91,62410.44,76164.04,111676.77,78426.23,98206.97,91741.31,110250.26,158649.9,,95988.83,,
ALLT.TA,6.1,33.33,30.0,3.04,33.54,-1368.78,-73.36,-3.45,102.17,-1.54,81.79,,,,0.7
ALMA.TA,66.41,181.29,190.91,94.98,135.63,-137.99,76.49,-4.52,3.45,-33.83,,67.56,16.08,,
ALHE.TA,,,,,,,,,,,,,,,
AMRK.TA,-99.9,-99.87,0.0,-99.9,-99.86,99.33,99.89,-99.9,-99.9,-99.9,,-100.0,-99.97,,
AMOT.TA,140328.29,222838.01,-99.15,,,,,98071.93,96793.15,100360.91,,,,131628.26,
ASHO.TA,39.71,187.53,69.23,38.9,213.8,-16.51,17.16,0.17,-12.82,0.13,,,,,
ASGR.TA,-58.93,263.64,,-55.42,,,,-11.07,,,,,,,
AURA.TA,-99.85,-99.9,0.0,,,-98.96,-98.9,-99.9,-99.91,-99.9,,,,,
AVIV.TA,,-27.71,,-3.26,7.72,6.98,30.51,-0.25,20.29,-0.5,-41.94,,157.27,-2786.57,
AVRT.TA,52.24,5.19,-8.7,56.71,105.08,1.21,24.91,-15.31,-18.78,0.36,16.22,,,,
AYAL.TA,,-5215.89,,,,-96855.74,169559.17,816.93,754.02,2117.7,,,,,
AZRG.TA,,965.0,394.44,,,-488.89,,-0.09,-21.2,0.61,,115.94,-1.96,0.0,0.0
BSEN.TA,-20.72,-135.65,-133.33,-49.56,-85.61,50.9,514.72,-0.27,-0.8,9.07,,-61.98,-10.8,,
BIOV.TA,-47.7,334.77,325.0,-42.78,376.38,-2.6,12.0,0.0,0.0,0.0,,,0.0,,
BOLT.TA,,-147.09,-92.36,100.0,-67.12,19502.86,-104.41,0.0,1001.57,9.24,,,,,0.0
BONS.TA,,0.0,0.0,1516.94,26.56,68.15,182.59,428.97,5.63,-5.82,-38.48,,,,
BCNV-M.TA,-51.85,-97.68,-99.19,,,-282.34,66.62,0.69,-15.38,9.09,,,,,
BRIL.TA,153371.51,-119040.12,,,1910012.36,-105332.04,-158285.31,98692.73,98840.47,98576.32,,99900.0,176988.74,,
CISY.TA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-2.91,,
CAMT.TA,8.38,13.21,15.38,14.5,16.45,,,1.83,-7.65,5.12,-54.95,,,,0.46
CANF.TA,52.49,-31.27,25.0,,-30.58,,,4.11,345.22,4.2,,,,-200.0,26.84
CRSM.TA,33166.84,50282.0,-54.05,162844.65,153571.21,-149060.43,-54850.78,95055.33,93682.41,99030.85,,,,,
