,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,61.24,161.02,0.0,23.87,5.78,268.5,-97.92,5.32,,,,,,,
ACKR.TA,116.05,0.0,0.0,103.05,-1.91,0.79,72.86,1.16,237.4,-23.32,-5.38,-54.1,-42.29,200.0,4.34
ADGR.TA,,,,,,,,,,,,,,,
AFPR.TA,,-80.0,,,-96.98,-85.58,,-97.37,-82.78,,,,,,
AFRE.TA,-99.84,-99.81,338.38,-99.83,-99.91,-99.91,-78.33,-99.9,-99.82,191.79,72.44,-149.01,-94.47,-99.88,0.0
ARPT.TA,0.0,0.0,0.0,0.0,0.0,1.31,,0.0,,,,,,,
ALBA.TA,49.41,-106.81,-106.88,20.39,-5.6,-3.72,,-10.2,-18.96,,,,,,
ALLT.TA,8.12,22.77,27.27,8.44,-3.56,-8.64,,-0.31,41.18,-253.21,135.0,-78.74,,,0.96
AMDA.TA,0.0,,,,-2.13,-10.71,,-1.94,,,,,-6.13,,
ALMA.TA,52.63,353.41,-44.44,49.73,9.06,10.03,30.8,5.6,-45.61,,,,24.91,-41.67,
ALRPR.TA,,,,,-1.04,-1.6,,0.02,,75.71,25.11,-31.25,,,
AMRK.TA,-0.63,57.6,-14.85,77.05,-13.64,-20.52,-21.4,-5.74,50.13,657.24,81.76,305.68,-3.76,-200.0,
AMOT.TA,,-91.85,,,11.49,-13.14,23.13,9.85,,37.04,-8459.98,1882.38,-4.51,50.12,0.1
APLP.TA,127.27,,-23.64,173.28,313.3,82.52,,436.5,,-55.66,-1380.21,-3.44,,,
ARD.TA,50.01,49.43,49.77,49.18,-1.15,-4.61,-20.97,2.92,47.54,43.28,,,-8.11,0.0,
ASHO.TA,86.82,0.0,0.0,0.0,0.93,0.0,,0.0,0.0,,,,,,
ASHG.TA,-29.94,132.53,,-27.54,1.82,,,-3.2,52.84,,,,,,
ASGR.TA,158682.97,82951.13,-25.58,167406.52,70006.78,71948.71,18595.41,51108.01,,,,,92283.38,,
AUDC.TA,4.62,0.77,0.0,4.9,-1.45,1.42,-50.0,-3.42,-1.32,-23.9,-1106.39,-170.15,,1.82,-0.38
AVGL.TA,84.22,4772.69,6100.0,271.56,-0.07,0.69,-5.83,-1.53,788.45,,,,-76.83,,0.0
AVIV.TA,-21.29,-9.68,,-11.49,3.18,2.98,447.08,3.55,-11.55,,,,-9.02,-200.0,0.0
AVRT.TA,37.49,-758.59,-700.0,24.88,15.52,24.81,,-4.35,-40.08,9.12,,,,,587.51
AYAL.TA,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,
AZRM.TA,0.0,0.0,0.0,0.0,0.0,-0.0,,14.39,,,,,,,
AZRG.TA,,38.21,37.93,,12.64,,,1.5,,,,,,0.0,0.0
BEZQ.TA,,,,,-99.9,-99.89,,-100.0,,,,,,,
BIG.TA,,,,,506.72,,,466.78,,,,,,,
BKRY.TA,0.0,0.0,0.0,0.0,0.0,23.47,,0.0,0.0,8.04,-18.45,650.59,,,
BIOV.TA,41.15,27.74,28.57,54.41,-20.73,-58.78,,-2.24,,-77.01,44.13,-668.2,,,
BOLT.TA,,,,,,,,,,,,,,,
BOTI.TA,,,,,39.63,0.0,,0.0,,,,,,,
BONS.TA,,0.0,0.0,,0.0,0.0,,0.0,-730.94,,-1235.04,0.0,,,
BCNV-M.TA,,0.0,0.0,,0.0,0.0,,0.0,,0.0,160.58,-2868.76,,,
BULL-M.TA,,84.02,0.0,,64.96,162.7,56.8,4.56,,0.0,0.0,0.0,-12.69,,0.0
