,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
ACRO.TA,83.88,246.94,194.74,151.32,189.02,15.31,20.56,26.26,0.0,,,,,,
ADGR.TA,,,,,,-8.65,-1.54,-4.08,,,,,,,
ALBA.TA,-6.95,0.0,-312.32,14.2,298.53,0.0,-42.69,3.51,,-94.61,-20.0,109.51,-8.61,-11.48,
ALMA.TA,42.9,38.49,,38.34,,27.82,32.83,7.74,,,,,,,
AMRK.TA,-99.9,-99.9,0.0,-99.9,-99.88,-99.9,-99.91,-99.9,-99.9,,,,-99.88,,
AURA.TA,53.4,36.65,48.41,55.54,39.27,6.87,5.67,3.57,,,,,-20.5,58.15,
AZRG.TA,,-99.95,-88.58,,,-99.89,,-99.9,-99.9,,,,,,0.0
BKFR.TA,0.0,0.0,0.0,0.0,,13.01,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,
BIOV.TA,144.2,3740.0,128.57,150.76,,-1.87,-1.02,-2.27,,-111.32,34.86,-56.5,,,
BRIL.TA,48.8,17.9,18.51,45.04,23.96,4.54,5.25,3.02,0.0,21.83,-137.43,14.36,-30.32,-31.09,
CEL.TA,202.99,176.92,288.24,243.12,176.84,-3.43,-7.95,8.65,,,,,52.22,-2.65,
CLIS.TA,,-152569.14,,,,6496.55,3049.39,456290.57,,,,,,,
DANH.TA,54.64,30.94,28.57,36.57,0.0,0.0,0.0,0.0,,,,,0.0,0.0,
DLEA.TA,45.26,58.86,,50.54,52.82,-1.96,-6.02,5.33,50.32,287.0,10.17,-293.68,-20.75,-8.48,
DLEKG.TA,,,,,,,,,,,,,,,
DIMRI.TA,,,,,,-15.45,,-2.74,172480.65,,,,,,
DSCT.TA,,53.7,,,,4.02,4.12,0.08,,,,,,2.11,
DISI.TA,,-99.5,,,,-31.17,12.32,-95.77,,,,,,,
DRAL.TA,6497.93,-186.86,,,,3807.54,5492.58,1345.27,,,,,,,
ELAL.TA,21.29,-33.51,,107.2,,371.44,-6.05,25.8,,-65.03,,-181.82,-74.84,,
ECP.TA,56.67,29.85,,,,2.77,,-0.69,0.0,5.97,,,,,
ELCP.TA,1046.41,147.32,,,817.06,579.34,506.28,803.7,,-49.76,7732.61,-336.25,,635.69,
ELLO.TA,,,,,,,,,,,,,,,
ENRG.TA,63.55,57.83,,,,22.18,30.12,45.65,,,,,,,
ENLV.TA,,-31.61,-31.31,,-46.25,-6.37,3.22,-7.61,,-52.57,206.24,50.0,,,0.17
EVGN.TA,84.88,-37.98,-35.71,279.03,-44.19,4.81,37.66,-32.65,,,-0.16,2168.02,,,0.05
FRSX.TA,81.85,-47.08,,85.5,-49.83,-13.88,-11.77,-14.11,,,-126.28,,,,
FORTY.TA,,,,,,,,,,,,,,,
GCT.TA,,,,,,,,,,,,,,,
GAON-M.TA,-34.09,361.51,,-19.98,,25.73,,,,,,,,,
GVYM.TA,875.83,377.85,,369.45,,-4.38,-3.86,-4.56,21.43,242.29,-57888.0,,,,
GLTL.TA,-37.42,-13.6,,60.28,12.24,-40.33,-52.17,-21.77,,27.1,-115.21,-1553.75,,,0.0
GOHO.TA,43.84,524.64,36.36,36.75,1071.27,-0.5,,-1.87,0.0,23.08,-14.29,-10.15,,,0.0
GOLF.TA,0.0,350.1,10900.0,112.52,,0.0,0.0,0.0,,,,,0.0,-97.12,
G107.TA,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,
HAMAT.TA,55.38,69.64,278.95,57.42,71.9,96.92,259.12,12.75,,,,,-7.36,58.85,
HLAN.TA,55.57,43.28,,49.51,44.23,-7.06,,1.78,-200.0,,,,-45.14,-11.27,
HIPR.TA,66.37,63.46,62.35,70.24,84.49,1.58,57.08,44.37,,,94.89,-129.57,0.0,0.0,
HLMS.TA,8.69,215.57,0.0,208.4,,18.93,-5.71,23.38,,0.0,0.0,0.0,,,
HUMX.TA,0.0,,200.0,0.0,,0.0,0.0,0.0,,,,,,,
ILX.TA,141.5,341.01,341.06,147.62,221.78,18.17,4.83,26.55,200.0,-9.01,13.85,-4.78,0.0,0.0,
ISRA.TA,51.25,39.0,39.12,,,2.3,-1.4,8.07,,45.6,,,,,0.0
