,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
ACCL.TA,-99.9,-99.9,-18.97,-99.91,-99.85,100.15,99.65,95.82,-99.89,-99.67,-99.89,,,,
ADGR.TA,0.0,-252.18,,,-63.92,-6.47,-87.68,-368.86,-4.39,-0.31,-0.28,66.97,,,
AFHL.TA,63.66,26.01,,45.18,41.24,482.7,-71.82,78.12,2.71,0.55,-4.46,,,,
AFRE.TA,-7.03,140.98,,151.38,139.03,,,,-5.01,-8.33,0.84,,163.65,,
ALAR.TA,-4.29,114.29,113.04,9601.7,,,,,20.98,-23.2,78.72,985.38,,,
ALBA.TA,76.38,130.12,120.93,88.45,188.25,,-0.99,-93.63,3.0,-18.49,3.6,19.8,,-1.41,
ALLT.TA,-9.77,40.38,41.82,-39.62,41.08,60.91,-14.18,-93.33,-11.22,30.28,-36.1,,,,1.14
ALMA.TA,,,,,,,,,,,,,,,
AMD.TA,86.58,0.09,,83.05,35.82,173.57,45.27,-246.01,-7.38,-40.75,0.0,-59.16,,,
AMRK.TA,253.52,83.06,145.95,261.75,34.09,183.18,-70.58,-252.82,-3.79,1715.34,1.74,5345.99,0.0,-17.23,
AMOT.TA,121.15,39.11,50.0,,,,,,-1.13,,0.02,,200.0,,-0.04
ASGR.TA,70.15,-18.56,,57.1,,130.67,-84.27,16578.22,0.15,0.63,-0.97,-1.03,,,
AURA.TA,42.04,55.59,,50.01,41.43,,,,11.82,,16.18,,,,
AVGD.TA,-52.12,245.15,,-20.14,0.0,,-19.66,202.5,43.34,12.68,1.58,-42.71,,,
AZRG.TA,183.72,-55.78,-56.13,,,,-253.96,16.17,3.65,2.58,2.58,18.81,,,0.0
BCOM.TA,49.16,-5.24,59.09,,21.07,,,,-0.44,-7.75,-15.88,,,,
BSEN.TA,3.27,1603.53,1744.44,13.95,24.04,,-96.57,-44.71,2.87,-66.98,4.52,-8.61,,-34.38,
BKRY.TA,99900.0,99900.0,0.0,99900.0,99900.0,,-277447.03,21078.64,99900.0,141884.89,94602.34,91737.66,,128080.91,
BONS.TA,,,16.67,,,99.85,99.91,-99.89,-99.9,-99.9,-99.93,,,,
BCNV-M.TA,0.0,0.0,,,122.84,,-106.18,507.61,-17.02,-18.58,2.04,13.72,,12.64,
BLGO.TA,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CISY.TA,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,261.68,0.0,,0.0,,
CANF.TA,50.0,-41.75,,,-41.48,,,,-16.89,-65.4,-23.84,,,,0.64
CRML.TA,-8.95,117.32,,-12.88,162.4,,-220.53,338.74,12.13,175.97,3.37,-88.5,,229.24,
CAST.TA,,,750.0,57.02,126.34,,-44.79,-104.3,0.46,-0.19,2.33,1.94,,,
CLIS.TA,0.0,-420.34,,,,,,,6.94,5.81,-6.95,-15.18,,,
CDEV.TA,59.58,-60.7,-60.67,,,,-792.63,44.45,20.13,-78.95,22.85,,0.0,,
DANE.TA,-90.44,100.36,70.63,-90.23,-98.51,,-15.43,98.66,-96.96,-95.76,2345.02,-5.02,-10.8,-73.29,
DSCT.TA,,33165.47,33.17,,,,,,101785.33,,102139.41,,,,
DISI.TA,,-116.85,,,,,,,-99.75,,-88.13,,,,
DUNI.TA,0.0,0.0,392.16,128.54,-9.26,-327.85,525.22,-9120.75,0.0,0.0,0.0,,,,
ECNR.TA,,-35626.32,,,-29247.83,15.56,-7.93,0.0,1.84,4.25,-1.46,-2.95,,,
ELAL.TA,-99.89,-99.91,,,-99.9,,99.61,100.05,-99.9,,,,,,
ESLT.TA,3.28,-2.72,-2.86,-1.34,4.43,,-46.75,24.64,0.58,-57.94,1.73,9.35,,11.97,0.65
ECP.TA,60.36,-309.74,,-38.28,219.09,,-34.04,-15.46,-0.91,-0.29,-6.46,,0.0,,
ELCP.TA,-98.53,165.5,,,,100.24,99.89,-100.15,-96.82,-75.03,-73.64,,,,
ELCRE.TA,55.23,,,,,,,,1.27,-90.0,-12.27,,,,
ELWS.TA,-26.38,-98.88,,-30.29,,,-376.06,457.5,-11.88,-4.35,-12.81,,,,
ELLO.TA,61.45,128.8,93.02,111.07,420.01,218.52,-83.09,-2.31,1.27,0.28,4.38,-40.13,,-85.28,
EMDV.TA,-99.95,-99.96,,-99.95,-99.89,-100.0,100.0,-100.0,-99.9,-99.9,-99.9,-99.9,-100.0,-99.96,
ENRG.TA,29.38,14.43,,,,,,,-21.06,-61.71,-3.35,,,,
ENLT.TA,10.04,18.18,,-2.27,27.44,-20.51,-29.45,6951.1,6.01,8.59,1.19,-80.19,,-18.84,-3.28
ENLV.TA,,12.21,13.51,,15.36,-42.47,11.59,0.0,-11.49,-6.17,-12.53,3.13,,,0.07
FIBI.TA,21.47,37.36,,,,,,,1.22,1.14,2.58,,,,
FIBIH.TA,,-99.73,94465.22,,,,,,-97.76,-97.64,-99.5,,,,-100.0
FORTY.TA,-0.09,-8.26,-9.91,-0.82,-2.9,,,,-2.55,-4.64,1.25,,,,0.41
GSFI.TA,-99.85,-99.91,-6.25,-99.85,-99.85,-96.62,99.23,-100.05,-99.85,-99.79,-99.9,,,,
GNRS.TA,,,,,,,,,105806.41,108395.05,103464.37,,,,
GLTL.TA,52.24,-2900.0,-200.0,45.93,-275.17,96.95,164.14,-22.05,0.8,-0.75,6.14,-100.0,,,5.08
GOLF.TA,-6.92,-93.55,-90.0,-12.59,-306.84,,,,0.41,-62.27,-8.75,-5.37,,20.6,
HAMAT.TA,55.38,88.91,,57.42,71.62,24.35,-1110.31,273.46,0.0,0.0,0.0,,,,
HARL.TA,-25.7,-89.24,,,,,200.0,0.0,0.97,0.97,-0.98,0.15,,15.05,
HLAN.TA,51.13,42.38,,47.78,42.9,,,,-2.92,-8.52,-8.5,16.67,0.0,145.1,
HIPR.TA,161173.4,123312.44,,163249.96,177752.71,,-338169.51,-76183.49,106990.12,88300.28,142891.45,,,,
HRON.TA,-57.55,-56.9,,38.78,,,,,-1.56,-27.44,1.67,,0.0,-5.1,
HUMX.TA,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
ICON.TA,-99.71,-99.76,,-99.86,-99.87,,,,-99.87,-99.87,-99.94,,0.0,-99.93,
IDIN.TA,-99.85,-99.9,,,,,,,-99.9,-99.9,-99.91,,-100.2,,
ILX.TA,3.16,-16.4,,3.75,-27.59,-38.78,-78.49,-108.04,-35.95,-38.07,-0.17,,,,
