,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,0.0,0.0,,,,,,
ACKR.TA,0.0,0.0,17.83,297.98,33.91,65.81,4.67,-7.17
ADGR.TA,0.0,0.0,5.59,110.37,5.56,6.65,-3.07,-12.03
ARDM.TA,0.0,0.0,,,,,,
AFHL.TA,0.0,0.0,2.06,78.34,11.22,26.92,-1.99,9.25
AFPR.TA,0.0,0.0,7.7,377.73,7.64,6.2,7.1,2.94
AFRE.TA,0.0,0.0,5.37,10.66,7.99,7.07,2.06,10.58
ARPT.TA,0.0,0.0,7.02,127.43,0.86,-2.23,2.83,5.17
ARTS.TA,0.0,0.0,,,,,,
ALAR.TA,0.0,0.0,-19.02,1310.54,-24.41,-60.28,5.59,-79.4
ALBA.TA,0.0,0.0,2.55,-16.91,1.16,-1.75,1.77,49.58
ALLT.TA,0.0,0.0,4.83,92.73,7.84,93.55,5.26,0.13
ALMA.TA,0.0,0.0,,,,,,
ALHE.TA,0.0,0.0,2.3,131.02,0.74,-5.15,3.05,1.95
ALRPR.TA,0.0,0.0,10.79,178.49,20.69,27.87,4.26,0.53
ALUMA.TA,,0.0,,,,,,
AMRK.TA,0.0,0.0,-6.0,-57.63,-13.89,-43.95,-2.37,
AMOT.TA,0.0,0.0,1.23,111.75,2.43,2.53,0.01,-3.14
APLP.TA,0.0,0.0,10.56,-12.94,-13.94,-12.45,-5.08,
ARD.TA,0.0,0.0,1.22,-3.5,0.73,-6.02,2.31,-11.77
ARBE.TA,0.0,0.0,-69.93,-7.05,-594.87,-7.17,-12.41,
ARF.TA,0.0,0.0,-2.76,-300.0,-78.95,-115.38,-3.44,1.17
ASHO.TA,0.0,0.0,13.76,-7.74,20.48,22.53,13.67,
ASHG.TA,0.0,0.0,2.29,26.15,9.8,17.32,2.06,4.65
ASGR.TA,0.0,0.0,-10.12,51.45,-1.8,7.25,-28.96,-38.21
AUDC.TA,0.0,0.0,-0.1,-29.01,-0.44,-1.3,-1.01,
AUSA-M.TA,,0.0,,,,,,
AMX.TA,0.0,0.0,-18.6,41.85,2.13,123.45,2.98,0.23
AVGL.TA,0.0,0.0,1.73,-79.82,-6.36,-7.28,2.04,0.02
AVIA.TA,0.0,0.0,,,,,,
AILN.TA,0.0,0.0,,,,,,
AZRG.TA,0.0,0.0,7.43,145.51,5.97,6.95,4.77,6.25
BCOM.TA,0.0,0.0,1.92,-159.26,,3.21,2.05,1.49
BIG.TA,0.0,0.0,6.43,130.12,5.66,3.29,6.14,5.9
BOLT.TA,0.0,0.0,,,,,,
BLSR.TA,0.0,0.0,1.35,-8.15,-2.49,-1.45,7.91,3.85
BONS.TA,0.0,0.0,,0.94,,6.46,-17.51,
BWAY.TA,0.0,0.0,4.97,10.33,2.44,-52.05,9.86,
BLGO.TA,0.0,0.0,-43.15,-56.2,,-80.24,0.4,
CLAB.TA,0.0,0.0,,,,,,
CAMT.TA,0.0,0.0,9.5,17.09,9.01,14.53,5.68,0.14
CPTP.TA,0.0,0.0,,,,,,
CRSM.TA,0.0,0.0,26.52,24.32,16.95,18.58,11.62,0.04
CRSR.TA,0.0,0.0,-12.29,-80.93,-56.85,-66.45,4.1,1.18
CRML.TA,0.0,0.0,7.46,16.31,12.38,40.52,4.6,
CRMT.TA,0.0,0.0,,,,,,
CAST.TA,0.0,0.0,-5.59,-70.69,-13.21,-56.4,4.47,-100.0
CEL.TA,0.0,0.0,1.45,1.82,0.28,-10.38,-4.9,-18.01
CPIA.TA,,0.0,,,,,,
CBI.TA,0.0,0.0,,,,,,
