,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
ACCL.TA,48.67,-7.2,11.69,29.45,-1.0,0.0,-236.51,1070.03,33.85,137.52,,,,,
ARPT.TA,286.84,123182.17,23.97,,109.09,,,,4.23,9.08,-0.26,,,,
ALBA.TA,-99.61,-99.76,145.41,-99.65,-99.71,,,,-99.89,-99.94,-99.9,-99.92,-99.9,,
ALLT.TA,290.52,-289.5,-285.71,304.39,-259.58,-8632.14,237.2,722.87,0.25,-12.34,0.86,,,-0.44,
ALHE.TA,,,,,,,,,,,,,,,
AMRK.TA,4.06,11.76,230.51,12.04,31.31,-103.91,94.12,96.1,-92.28,-90.01,-91.86,,-20.68,-78.19,
AMOT.TA,37.2,31.95,23070075.44,,,,,,4.56,17.76,6.37,,25.69,2.04,
ASHG.TA,46.73,154.26,,14.1,92.91,,,,-0.0,-24.66,2.11,-14.98,0.0,,
AURA.TA,215664.59,1204761.31,1035.29,242.07,288632.06,,-13385.56,87537.62,114685.54,98352.18,112320.69,,,,
AVIV.TA,,-445.42,-275.0,5.05,-391.23,-83.29,375.19,37.84,-78.77,-79.06,-73.56,-55.32,100.0,182.51,
AYAL.TA,,106.63,,,,,99.91,-100.0,-88.4,-93.63,-95.24,,,,
AZRG.TA,253.24,-11.27,-1.89,-9.4,,,-342.26,-68.63,-0.14,-0.54,0.07,-0.07,0.0,0.0,0.52
BCOM.TA,,65.44,,,,,,,-3.21,,,-16.25,,,
BOLT.TA,,,,,,,,,0.0,-9.08,0.0,,,,
BONS.TA,,0.98,14.29,,,-64.74,-408.0,-64.61,39.11,-5.13,105.41,,,,
BCNV-M.TA,472.26,6848.65,,,,,,,11.27,31.72,-2.82,17.28,,,-22.2
BRIL.TA,-99.87,99.96,,,-99.23,,,99.85,-99.92,-99.91,-99.9,-99.93,,,-99.9
CISY.TA,6.18,20.3,12.5,2.4,44.96,,46.09,-9.58,0.0,19.56,6.34,,,-5.0,
CAMT.TA,288.68,262.97,260.0,277.48,259.11,416.0,,,43.28,29.19,47.58,,,2.96,
CAST.TA,30.77,65.25,,27.47,326.27,,-7.12,39.99,36.65,58.03,-1.29,,,,
CEL.TA,284.52,-359.46,,313.21,-4000.0,,-13.64,16.49,1.31,9.39,-1.98,-11.3,,-5.56,-97.15
CBI.TA,,198746.26,1800.0,,,,,,111513.59,23284.01,258708.09,,,,
CLIS.TA,,307.5,,,,,,,3291.48,,,,,-98.52,
CGEN.TA,,-282.68,-311.11,,,,,,-3.52,14.95,-5.86,,,-4.3,
CMDR.TA,-99.85,-99.85,52.3,-99.86,-99.85,,100.13,-99.97,-99.93,-99.86,-99.8,-99.91,,,
DANE.TA,36.87,41.45,39.21,40.21,41.61,,-54.3,-138.22,27.98,30.22,4.11,,116.67,,
DLEA.TA,21.46,38.12,52.51,19.19,59.97,58.57,-44.85,-387.53,8.84,11.47,1.78,5.44,0.22,,-12.13
DSCT.TA,,,,,,,,,,,,,,,
DISI.TA,10.17,194.4,,,,37.71,-181.92,166.14,-92.73,-99.78,,-93.65,,,
DORL.TA,119.22,279.78,375.0,306.55,,,-65.72,341.26,64.1,86.52,52.98,-76.23,,,
DUNI.TA,8.56,3.35,,-17.8,-24.55,,13.77,-78.4,2.69,1.68,4.29,,,,
ELAL.TA,-99.88,99.86,,99.84,99.59,100.46,99.81,-99.68,-99.91,-99.9,99.8,,,,
ESLT.TA,314.4,1298.24,1315.79,50.72,344.54,161.27,-294.46,-278.48,4.28,158.2,-0.91,-24.1,0.0,0.0,7.74
ELTR.TA,10.1,30.85,,36.03,73.92,,,,5.61,,,,,,
ELCP.TA,34.53,-70.41,,,19.41,23.13,-40.4,-27.07,-1.86,-1.53,-2.97,,,,
ELCRE.TA,,30.1,34.37,,,,-56.18,61.87,3.07,15.11,-9.79,37.94,,0.71,-44.46
ELMR.TA,33.83,-6.09,-9.09,47.26,48.18,,-31.64,77.22,0.0,-19.7,,,0.0,,175.47
EMCO.TA,37.38,85.94,,49.9,74.88,,,,10.3,10.42,4.07,,,,
ENLT.TA,34.48,-1353.28,,15.77,,,-95.32,-2.95,274.12,34.48,241.36,,,,
ENLV.TA,,,,,,,,,,,,,,-90.62,
FIBIH.TA,,183.29,,,,,,,-96.12,-97.13,-85.69,,,,
FRSX.TA,,-286.31,-250.0,,-279.54,,-95.64,29694.77,133.88,11.59,150.68,,,,
FORTY.TA,39.06,34.03,33.78,38.76,36.65,,,,13.68,,13.08,-12.38,,0.0,4.09
GSFI.TA,-99.87,-99.9,4.76,-99.87,-99.91,,99.86,-100.16,-99.9,-99.37,-99.9,-99.88,,,-99.22
GAGR.TA,36.17,18.31,,-98.6,21.68,,56.0,3410.07,-1.11,-15.56,0.29,,,,
GNRS.TA,,,855.56,,,,,,,,,,,,
GILT.TA,14.28,640.58,633.33,40.82,675.42,,-72.12,-488.26,12.45,29.68,3.79,0.0,,0.05,0.0
GNGR.TA,30.67,16.53,,24.65,292.48,,-52.1,-39.94,-7.09,5.62,-23.04,,-200.0,,
GOLD.TA,4.43,118.59,119.62,-23.8,-57.86,,-265.49,-24.31,-0.84,-4.18,0.55,-76.71,,-0.51,-5.26
GOHO.TA,-99.87,-100.05,,-99.87,-99.88,,-99.93,-98.82,-99.9,-99.93,-99.9,-99.89,,,
GOLF.TA,37.89,537.45,450.0,36.63,255.66,,-39.41,-40.35,0.32,-0.47,,,,,
MSBI.TA,20.36,-6.36,,16.45,-8.18,,,,2.98,4.18,,,,,
HAMAT.TA,38.0,132.38,178.57,-17.8,46.64,983.07,-17.36,1314.79,-22.29,2.78,4.59,-66.27,,,
HARL.TA,28.43,-2.8,,,,0.0,,,0.13,-53.34,-3.62,,,,
HLAN.TA,36.55,49.21,,40.74,48.3,,-1.85,-53.48,12.63,19.42,9.71,,,,
HRON.TA,347.96,164.96,164.96,,,,86.18,-387.8,8.26,64.56,4.46,,0.0,,-7.29
ICL.TA,9.39,20.37,25.0,10.96,39.0,27.09,-13.19,41.42,4.3,4.69,7.83,-1.51,17.24,-99.9,11.4
IDIN.TA,,,,,,,,,-91.27,-90.33,-100.12,,,,
INRM.TA,138126.31,141031.05,41.18,138074.61,141387.46,,-132074.99,-213631.32,101862.75,98907.41,105786.51,,,,
INCR.TA,189.08,-1978.06,-1700.0,197.47,30.0,,-12.22,1701.58,1.69,607.17,4.23,,,,
ISHI.TA,-99.63,-99.57,,-99.64,-99.58,,,,-99.9,-99.89,-99.9,,,,
ISRO.TA,,,,,,,,,,,,,,,
JBNK.TA,64.82,48.52,47.92,,,,,,0.31,0.23,2.82,,,,
KAFR.TA,-99.87,-99.89,44.44,-99.87,-99.88,,99.93,99.46,-99.9,-99.91,-99.89,-99.94,-99.86,,-99.94
KMDA.TA,30.97,10.24,8.57,27.32,15.97,200.58,30.95,-1.7,2.09,10.67,1.08,,,,
KRDI.TA,313.47,-29.76,,171.53,-360.1,,,,26.13,7.38,26.98,,,,
KEN.TA,,,,,,,,,,,,,-16.67,,
KRUR.TA,-99.87,-99.87,,-99.87,-99.77,,99.9,99.94,-99.9,-99.68,-100.0,,,,
