,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,42.51,258.19,166.18,47.92,-1.96,108.31,14.83,,,,,,,,
AFRE.TA,128816.62,346252.42,114.3,131213.8,111926.27,111595.06,112685.63,208239.43,127.26,-2304.19,-145.71,146.42,3544.77,119900.0,0.0
ARPT.TA,-99.91,-99.26,652.0,1.43,-99.89,-99.88,16.39,,,,,,,,
ALBA.TA,-99.87,99.28,-625.0,-99.86,-99.91,-99.93,-99.91,-99.91,,99.89,-99.92,,,,
ALLT.TA,7.46,-31.14,-37.5,7.26,0.91,69.07,,-66.09,,,,,,,0.39
AMDA.TA,,,,,49.96,3.81,49.99,,-537.25,-25.25,53.14,,,,
ALMA.TA,49.03,43.87,524.0,55.44,2.76,-54.47,,516.63,,,,,74.87,,
ALHE.TA,15.88,199.83,199.33,,8.22,-10.94,135.61,,-94.25,57.99,-99.75,,241.78,,0.06
AMRK.TA,-99.88,-99.87,102.56,-99.89,-99.95,-99.99,-99.99,-99.88,,99.63,-99.89,,,100.1,
AMOT.TA,351.88,5726.16,374273.26,,5.45,35.12,7.28,3229.75,,,,,32.56,86.06,1.85
ASHO.TA,-99.89,-99.38,833.33,-99.86,-99.91,-99.92,-99.89,-99.72,,,,,,,
ASHG.TA,-99.86,-99.84,,-99.86,-99.89,,-99.81,-99.85,,,,,,,
ASGR.TA,-99.86,-99.56,,,-99.85,-99.86,-99.78,,,,,,-99.88,,9.97
AUDC.TA,292.59,309.05,316.67,287.31,-0.23,-1.92,0.98,295.32,263.82,294.76,-169.48,-98.33,274.84,3.57,0.01
AVGL.TA,23.08,-77.86,-78.23,-32.33,5.43,5.49,5.31,-56.12,,-81.86,7695.0,78.93,86.1,,0.0
AVIV.TA,7.93,20.61,3333.33,,-1.55,-23.63,1.03,-52.1,,-76.29,119.75,-0.24,68.61,560.16,0.0
AVRT.TA,35.21,177.4,2600.0,16.82,40.16,10.01,118.38,82.72,,,,,,,0.0
AYAL.TA,,-136.13,,,125.52,137.47,29.11,,,,,,139.87,,
AZRM.TA,-99.88,-99.71,188.68,-99.88,-99.86,-99.91,-99.89,,-99.95,99.88,-99.84,,,,
AZRG.TA,,324.85,325.36,,7.28,,12.06,,,,,,,8.33,0.0
BCOM.TA,,,,,,,,,,,,,,,
BSEN.TA,41.69,757.92,6.9,422.01,-2.7,-51.06,0.91,2583.31,93.2,74.18,-158.41,,-22.88,,
BEZQ.TA,,,,,102779.5,58029.64,,,,,,,,,
BIG.TA,,,,,-99.33,,-99.51,,,,,,,,
BKRY.TA,-99.86,-99.95,-67.86,-99.85,-99.9,-99.82,-99.67,-99.79,-99.88,99.93,-100.11,,,,
BOLT.TA,,,,,,,,,,,,,,,0.37
BONS.TA,,99.59,-166.67,,-99.8,-99.9,-99.72,99.57,,99.82,-99.9,,,,
BCNV-M.TA,18.24,-21.6,-21.6,,0.0,29.34,7.81,8.3,0.0,-119.12,92.33,51.13,38.42,,
BRIL.TA,-99.86,-99.85,945.65,-99.87,-99.9,-99.94,-99.89,-99.86,,,99.91,-99.91,,,
CISY.TA,6.67,16.88,22.22,10.08,0.0,5.58,0.0,-4.71,,-63.17,-227.84,1857.87,,202.53,-5.12
CAMT.TA,281.47,225.95,226.83,283.8,59.66,235.79,5.15,252.74,270.3,,,,,,2.72
CAST.TA,-99.86,-99.84,23.58,-99.86,-99.9,-99.94,-99.9,-99.87,-99.86,99.81,99.97,-99.19,-99.9,,
