,Total Assets,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Number of Outstanding Shares,Long-Term Debt
ADGR.TA,10.85,,,,,,,
AFRE.TA,1.45,33.7,33.09,-1.27,26.61,-11.72,0.09,
ALBA.TA,1.42,5.15,-588.78,127.6,-23.98,-89.4,,-1.17
ALLT.TA,-2.08,390.16,-147.68,-68.57,406.23,-146.63,6.71,0.13
ALMA.TA,,24.15,34.77,-96.77,22.38,,,
AMD.TA,-8.21,26.31,-28.51,-94.41,24.81,-10.82,,-100.0
AMRK.TA,97299.36,107062.01,-64954.94,-9.62,98928.96,129352.5,,
AMOT.TA,5.83,54.84,272.98,-98.36,,,0.38,23.03
APLP.TA,36.28,227.74,,-69.89,183.78,,,
ARD.TA,5.49,34.54,44.94,688.07,32.95,,,-9.46
ASHG.TA,7.57,33.96,59.75,496.43,32.49,-32.28,,
ASGR.TA,22.44,91.63,-30.36,-236.36,46.64,99.3,2.21,129.0
AUDC.TA,2.46,294.68,427.15,1047.06,308.64,346.84,-8.63,
AVGL.TA,-4.77,-9.46,236.35,-137.04,19.46,38.54,2.48,
AZRG.TA,101693.36,,122228.11,345.96,,,0.0,
BCOM.TA,-5.34,,-80.47,,,,-9.31,
BKFR.TA,6.81,8.9,76.72,115.91,14.71,,,-100.0
BIG.TA,7.65,,14.94,12.56,,,,0.29
BLSR.TA,11.61,,-46.79,11.66,,,,33.41
CAMT.TA,5.34,291.35,286.23,2093.02,300.64,295.62,2.73,0.14
CRSM.TA,116299.64,144419.43,126139.42,,137254.75,,,573288.89
CEL.TA,4.74,32.76,45.37,57.58,33.37,19.39,,0.3
CLIS.TA,-49.31,,148.99,,,,17.39,
CGEN.TA,-5.22,25.0,-186.81,-342.86,22.65,-189.67,7.95,
DANH.TA,-2.42,50.86,474.74,288.89,95.2,225.19,,-24.98
DLEKG.TA,,,,,,,-0.38,
DELG.TA,5.97,36.61,40.87,359.5,38.03,42.57,,106.09
DISI.TA,164.5,,21583.25,,,,,
ELAL.TA,-2.0,217.26,62.68,,12.15,,,-2.71
ESLT.TA,-2.5,308.6,390.12,2114.29,321.25,394.45,0.14,78.38
ELCO.TA,0.54,29.64,-57.78,-117.04,8.87,-4.52,,
ECP.TA,1.81,31.49,18.39,,34.79,76.84,,
ELCRE.TA,-3.11,,3.81,,,,,-26.34
ELWS.TA,-18.32,74.25,-43.51,-213.52,61.67,,,
ELLO.TA,,,,,,,,
ENOG.TA,,33.97,,,,,,
ENLV.TA,-6.59,,-30.12,-118.46,,-43.7,28.46,
EQTL.TA,3.32,41.87,-58.15,,,-13.5,,
EVGN.TA,-5.49,65.02,-2.36,-1875.44,62.98,-16.33,-83.51,869.7
FRSX.TA,-7.91,21.95,-21.39,,22.63,-35.13,,
FORTY.TA,3.84,32.7,-49.03,367.92,36.13,7.35,-1.28,48.74
GCT.TA,,,,,,,,
GVYM.TA,5339.17,1048.88,2330.92,,976.96,892.82,,
GLTL.TA,22.7,32.59,-30.76,,36.81,-13.65,47.28,7.59
GOHO.TA,4.62,23.46,55.28,-64.0,13.75,-80.73,-0.33,
G107.TA,,,,-2.14,,,,
HAMAT.TA,-2.72,31.41,16.16,-87.04,30.6,2.93,,-20.01
HLAN.TA,9.98,37.94,49.08,,41.7,47.09,,-5.56
HIPR.TA,2.3,36.2,26.12,360.14,36.64,34.96,,59.92
HLMS.TA,5.03,36.42,25.78,304.0,39.25,,,
HUMX.TA,-39.98,13.73,16.84,-142.79,49.48,,,
ILX.TA,2.76,-18.63,-48.29,-76.64,-25.43,-42.06,,-43.58
INRM.TA,-0.31,34.19,40.98,2.74,36.74,38.43,,
INCR.TA,,286.47,,-1000.0,251.87,154.59,,
ISHI.TA,7.58,56.21,26.26,-30.08,37.82,33.95,,-10.24
ISRO.TA,-1.88,33.81,25.02,45.28,30.81,18.41,,-2.28
KMDA.TA,0.86,54.16,55.92,908.33,48.68,781.71,390.16,-7.89
KLIL.TA,-0.66,27.0,12.25,-76.83,21.63,10.64,,
LAHAV.TA,59.24,,,,,,13.22,42.4
LBRA.TA,,,,-2500.0,,,,
LCTX.TA,-5.71,390.43,-329.58,-775.0,405.79,-328.87,34.42,
MGIC.TA,1.74,293.61,251.91,1169.57,294.3,277.99,-0.06,-19.39
MTRN.TA,2.54,15.44,-17.26,-114.69,14.53,-7.46,,295.97
MLSR.TA,,,,,,,,
MNIN.TA,16.73,33.45,-6.04,53.16,26.09,7.54,,-18.87
MLD.TA,,,,,,,,
MZTF.TA,-0.34,446.6,561.54,,,,,
NYAX.TA,4.03,267.23,-280.15,-103.06,279.77,-251.36,,407.82
NXTM.TA,4.14,31.84,50.51,,35.7,33.24,,
NXFR.TA,63.17,1205.37,-10.44,-5.41,7339.13,-22.95,,
NICE.TA,5.0,293.22,273.28,2363.55,290.06,271.2,-4.81,0.09
NVLG.TA,6.47,20.13,5.99,-4.76,17.83,11.35,1.07,-99.34
OPCE.TA,,,,,,,,
OPK.TA,-2.59,458.82,-281.42,-181.82,,-180.32,5.68,54.77
OVRS.TA,,,,2.2,,,,
PTNR.TA,-5.23,288.66,-296.08,428.57,,232.14,0.88,15.94
PERI.TA,13.31,303.65,281.05,83.02,,250.05,-6.17,
PLCR.TA,,,,-633.0,,,,
PMVM.TA,,,,-0.48,,,,
PRTC.TA,10.97,-97.67,45.05,507.26,,,,39.29
RAVD.TA,,,,,,,,
RVL.TA,-2.02,39.3,153.91,,20.1,536.82,-3.94,
RIT1.TA,8.14,,,,,,,
REKA.TA,2.59,37.45,-630.13,1700.0,33.36,42.12,,-9.45
RTLS.TA,8.54,46.16,87.64,117.92,46.34,184.72,,
RIMO.TA,-5.21,3.66,1.55,-12.32,-1.27,-23.72,0.0,
SPNS.TA,4.08,298.95,282.76,1995.83,298.14,301.71,0.55,0.04
SVRE.TA,-6.97,58.22,-26.44,77.44,58.26,-36.3,4890.76,
SLARL.TA,1.9,37.87,61.21,25.0,,-12.52,2.86,2.76
SHOM.TA,,,,,,,,
SKLN.TA,-0.66,35.13,83.61,-1500.0,,252.89,,50.13
SOLR.TA,33.7,201.36,57.75,-98.14,866.15,-551.72,18.67,109.95
TMRP.TA,1.94,30.83,58.0,970.83,,,0.17,0.17
TFRLF.TA,0.7,39.23,38.99,900.0,39.52,45.37,,0.0
TRX.TA,-0.94,12.43,3.46,356.41,12.07,-2814.43,,
TSEM.TA,6.84,292.88,296.76,1062.9,274.51,281.42,0.84,3.92
UMH.TA,6.13,276.95,6.98,166.67,1295.48,666.9,49.73,52.43
VRDS.TA,93969.11,133137.12,553851.68,-122.03,129478.54,166712.01,,56808.27
VCTR.TA,-0.85,33.62,29.55,,22.36,48.74,,
VTNA.TA,11.4,116.1,98.18,,34.1,,,45.13
WILC.TA,,,,,,,-0.0,
