,Earnings Per Share (EPS),Revenue,Net Income,Operating Income (EBIT),Total Assets,Long-Term Debt,Gross Profit,Number of Outstanding Shares
ACCL.TA,-29.79,,,,,,,
ADGR.TA,,22.71,442.94,393.76,3.53,-7.86,,
AFHL.TA,,130385.06,-75604.81,51931.04,96043.27,,111848.96,
AFPR.TA,,,,,,,,
AFRE.TA,,256.78,77.73,25.76,2.88,,26.47,
ARPT.TA,72.14,144926.81,99095.15,41.02,99939.18,,131311.63,
ALAR.TA,933.33,295.84,-602.27,,17.39,9.41,261.24,
ALBA.TA,143.16,32.43,63.35,38.65,-3.3,-11.47,36.05,
ALLT.TA,-84.37,312.17,-408.08,-412.79,-12.46,0.13,403.21,3.98
ALMA.TA,,111970.47,15896.24,,110624.98,168445.88,,15.38
ALHE.TA,29.84,202443.54,-270264.14,148199.87,106556.18,,,
AMRK.TA,292.31,99101.94,182656.8,143362.95,96757.28,,103941.71,
AMOT.TA,-98.48,4.41,51.87,31.73,1.15,14.38,,0.38
ASGR.TA,,-24.12,25.1,,-2.17,-8.83,19.42,
AUDC.TA,1292.86,296.73,104.19,149.59,2.44,,286.81,-6.06
AZRG.TA,318.28,66393.45,632002.27,,105422.81,112190.88,,0.0
BCOM.TA,-27.14,32.47,-31.0,104.97,-5.52,,,
BONS.TA,20.0,,,,60064.86,,,
CRSM.TA,36.45,123067.48,104877.01,114058.22,98300.02,,126274.06,
CRML.TA,80.38,289.23,272.89,191.08,4.91,-35.65,432.01,
CAST.TA,865.29,,,188314.3,99896.52,147724.82,136546.57,
DANH.TA,-33.33,110161.34,120311.47,67007.49,96545.07,,112681.38,
DIPL.TA,117.11,136513.95,142883.5,148745.37,121415.86,,137841.85,
DISI.TA,103.57,,-174400.0,,95175.54,83812.36,,
ELAL.TA,2590.06,359787.45,214417.05,297967.13,103350.45,,,
ESLT.TA,1951.47,297.89,254.42,241.67,1.29,4.08,303.85,0.14
ELCO.TA,,,,,,,,
ECP.TA,,132490.6,-77215.25,237090.66,99136.15,,353340.83,
ELCRE.TA,,-112.58,,,-0.92,,,
ELWS.TA,,284.76,-8219.16,,-12.51,,237.09,
ELLO.TA,-392.77,18.81,-78.75,-97.73,0.09,53.36,-12.05,
ENLV.TA,-787.5,,-387.47,-346.89,-21.53,,,27.17
FRSX.TA,-700.0,63.49,-337.71,-307.58,2.71,,60.18,
FORTY.TA,1884.0,300.24,310.45,310.96,5.86,34.6,303.28,-1.36
GNRS.TA,-62.16,-68.29,58.0,175.08,1.83,,-49.61,
GLTL.TA,2350.0,51.84,419.2,265.13,4.2,,46.52,40.16
GOHO.TA,,256.2,181.58,57.92,-20.9,-41.88,223.27,
HLAN.TA,,136303.59,149280.8,147586.93,115264.22,71328.57,143204.58,
HIPR.TA,538.19,33.48,53.69,46.38,-2.29,-38.25,39.73,
HUMX.TA,,56.0,17.84,15.39,-51.58,,5.4,
ICON.TA,,140740.19,69755.09,136737.28,91687.24,,136884.29,
ILX.TA,,313.31,472.38,536.71,65.36,,310.91,
INRM.TA,158.62,116568.09,195265.22,87951.44,100957.49,23708.59,112796.19,
ISHI.TA,-48.18,103638.07,76466.95,66305.96,99930.3,59732.41,89687.19,
ISRO.TA,,122651.83,121572.3,125060.93,98725.15,,125228.21,
KEN.TA,,,,,4.91,8.66,,-1.6
KLIL.TA,-57.39,24.98,0.67,21.11,-3.74,,23.09,
LBRA.TA,-160.0,,,,,,,
MTRX.TA,59.48,133665.02,122826.56,134334.88,102606.56,,136174.8,
MTRN.TA,,,,,,,,
MEDN.TA,,,,,172.03,,,
MLSR.TA,50.68,,2.07,-2.95,20.73,-1.74,,0.23
MNIN.TA,57.14,129706.27,103330.84,125755.49,94372.71,90910.82,130325.41,
MLD.TA,,,,,,,,
MLRN.TA,32.78,,,,,,,
NFTA.TA,,36.39,0.63,,-8.3,,,
NXTM.TA,27.08,30.66,17.42,51.54,1.95,,39.46,0.05
NICE.TA,1796.4,395265.71,366212.95,382934.69,104427.03,99993.94,392078.29,95410.32
NISA.TA,,107095.97,149225.93,354376.51,92028.78,55884.58,162943.82,
OPCE.TA,,129377.42,102757.14,,1265.68,1050.03,117689.76,
OVRS.TA,,,,,,,,
PLRM.TA,,119839.34,138286.2,141892.79,99580.92,,111124.81,
PERI.TA,49.23,301.04,250.27,309.61,14.6,,,-10.41
PMVM.TA,,,,,,,,
PRSK.TA,-31.84,-47.58,-49.89,-69.43,0.54,,-36.06,
PRTC.TA,,,,,107860.37,154309.81,,
RANI.TA,27.03,,60.5,-65.34,28.81,81.25,,
RIT1.TA,-11.66,,6.71,,-5.33,15.16,,0.53
RTLS.TA,14.36,36.84,33.11,203.51,9.03,,35.92,
RIMO.TA,-13.71,99660.8,110302.51,92459.43,96120.98,,96498.05,99900.0
SPNS.TA,1696.43,393598.79,393322.38,388412.32,105971.03,99943.01,392032.14,0.13
SPEN.TA,,,,,,,,
SHOM.TA,-17.91,,,,,,,
SAE.TA,263.24,134536.87,164110.53,134241.25,97504.56,,134312.55,
