,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
ACCL.TA,-68.08,104.89,101.47,-68.98,-213.38,-216.93,-17.6,72.59,76.26,,,,,,
ARPT.TA,,-0.83,0.0,0.0,,,,0.0,-1.3,0.0,152.77,-0.35,-1.35,,
ALBA.TA,23418.69,31724.52,-68.3,23209.07,,,,104789.77,198663.31,24930.4,,,106335.24,,
ALLT.TA,-77.05,57.66,59.26,-77.47,146.81,-239.12,-15.04,4.35,-36.71,58.27,,,-1.65,1.51,
ALHE.TA,,-48.22,-78.75,,1.47,-138.03,773.25,2.29,,,,,-31.3,99943.41,
AMOT.TA,,-64.85,-100.0,,,,,0.3,-9.3,,,,0.12,5.32,
ASHG.TA,209.4,-87.68,,29.74,,,,148.94,,-36.93,,,73.95,,
AUDC.TA,-73.35,-63.26,-65.06,-73.12,-66.18,150.06,-120.03,-2.54,-3.02,-73.6,-25.0,125.74,-2.2,,
AVGL.TA,-74.95,-99.57,-99.19,-89.03,,37.45,94.72,-0.82,-0.66,,-89.19,51.44,-1.1,-2.42,
AVIV.TA,103.96,109.49,,-56.61,,,,369.1,363.53,141.65,,,294.56,,
AYAL.TA,21.34,-1358.36,,,,,,756.41,1473.44,,,,1849.76,,
BOLT.TA,,,,,,,,-13.5,-93.07,,,,-11.8,,
BONS.TA,,,-16.67,,,80.31,0.0,-86.41,-0.2,,,,-144.72,,
BCNV-M.TA,-85.42,-65.71,,,,,,-7.8,-25.27,,-67.97,-32.35,3.83,,
CISY.TA,0.0,0.0,0.0,0.0,,0.0,0.0,6.27,30.44,-4.78,,,0.0,-0.02,-198.96
CAMT.TA,-63.2,-38.65,-44.44,-60.43,-89.53,,,7.21,9.94,-36.36,,,6.48,7.33,
CEL.TA,-71.9,104.12,,-69.86,,,,4.22,-1.0,120.33,856.0,0.26,0.74,-3.7,
CLIS.TA,,-96.99,,,,-200.0,0.0,-0.34,0.5,,,,,,
CGEN.TA,-100.0,66.65,67.57,,,,,-6.03,3.12,67.41,,,-7.45,5.14,
DANH.TA,18506.29,-34260.73,,,,,,99900.0,99900.0,-38994.44,99900.0,99900.0,99900.0,,
DANE.TA,27961.15,32716.67,-68.78,30187.8,,-17145.98,-13018.05,105885.36,106211.4,33019.41,,,105200.97,,3236.93
DLEA.TA,47515.73,80483.87,0.0,50554.45,55346.68,-1960.83,-152181.74,96226.7,96093.49,52076.62,110722.3,83096.34,76381.42,,225219.47
DLEKG.TA,171354.22,22384.35,,,,,,13812.23,,185219.15,,,4056.18,,
DSCT.TA,,67797.44,-32.14,,,,,104040.91,104094.11,,,,100452.54,0.0,
DISI.TA,,23.74,,,-72.91,-64717.12,-293203.0,29181.29,1819320.9,,19285.24,34257.82,1826.74,,
DRAL.TA,1072.67,105.55,,,,,,2351.74,,,,,1351.31,,
ELAL.TA,18641.56,-16111.86,,-27159.24,-34645.71,4829.42,12136.01,97144.38,,,,,-92374.73,,
ESLT.TA,-76.21,-69.49,-69.52,-21.37,-104.69,-309.16,117.56,-0.3,-1.52,-19.85,17.54,-2.07,3.5,0.11,4419772627.27
ELCO.TA,26522.85,28846.8,,,,,,103206.07,64472.0,,,,,,70075.44
ELTR.TA,-74.07,-72.32,,-73.9,,,,0.03,,-51.43,,,,,
ELCP.TA,-23.56,-55.45,,,-106.48,82.86,75.93,235.72,230.1,-7.87,,,255.08,,
