,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
AFHL.TA,25703.24,-3986.84,18385.83,7292.86,-65513.53,-26206.66,120975.0,95781.4,57044.79,50330.28,,,,,
AFRE.TA,-84.24,-91.51,-81.8,-89.56,,,,-0.97,-1.0,-0.91,-91.48,-66.67,0.0,,
ALLT.TA,-22.2,-52.03,-22.33,-52.06,,,,16.19,-3.65,,-54.55,,0.31,,
AMDA.TA,,-24.0,,,,,,0.0,43.04,0.0,105.88,,,,
ALMA.TA,-66.62,0.0,-61.34,,,,,29.43,207.46,,0.0,,,,
ALHE.TA,19.18,-82.93,,,,-2234.85,99900.0,0.0,,,-92.87,,,,
AMD.TA,-73.24,-48.19,-72.98,-53.61,,77.9,96.4,-0.4,1.24,-3.69,-37.69,,,,
AMRK.TA,99297.64,-80.19,99900.0,23875.7,,-173604.7,451645.38,228110.3,959873.4,937.16,-76.96,143652.5,,,
AQUA.TA,,,,,,0.0,0.0,-17.66,28.59,-27.31,,,,,
ASHO.TA,99900.0,99900.0,99900.0,99900.0,,-8671.93,-88618.61,97859.26,99900.0,99900.0,0.0,,,99900.0,
ASHG.TA,27470.08,12645.04,31376.09,17731.88,,,,101890.91,139003.19,54579.82,,,,,
ASGR.TA,22347.15,5621.82,,,,,,99900.0,105552.0,49510.64,,,-4.62,,131332.75
AUDC.TA,-73.34,-74.53,-74.04,-79.63,-98.02,-148.77,48.14,-8.1,-7.28,-8.68,-74.0,0.0,-2.26,,
AURA.TA,-76.44,-56.74,-75.35,-65.36,-97.12,-89.39,-122.49,-1.23,11.44,12.69,,89.89,,,
AVGL.TA,-75.68,50.16,-59.61,-38.72,,74.48,-223.77,-1.17,-3.19,2.18,51.85,,0.0,0.0,0.0
AVIV.TA,-58.56,-49.15,,27.82,,62.86,-703.85,-8.84,7.36,2.61,-44.66,,0.0,-13.86,-45.34
BCOM.TA,12324.9,28788.89,,,,,,104432.06,148387.26,,,,,,
BEZQ.TA,-74.44,-76.16,,,,,,0.95,56.87,,-99.99,,,,
BIGT.TA,,,,,,,,,,,,,,,
BONS.TA,,-8008.71,,-39382.41,,,,96975.4,94118.78,97648.43,93.75,,,,
BRIL.TA,22554.13,14922.57,24569.61,16568.62,,,48963.69,103367.2,160658.83,89334.88,-84.32,100033.6,945.28,273287.27,
CISY.TA,-72.52,-60.25,-72.78,-51.07,,58.17,89.23,10.8,-74.9,5.03,-63.64,,,,
CAMT.TA,-71.39,-69.52,-70.99,-72.46,,,,3.92,0.64,7.17,-70.9,,-2.56,,
CAST.TA,18764.86,-18282.58,16766.93,-13425.9,-14159.97,37284.13,-338405.84,95120.03,173620.62,95795.56,-124.43,,,-79.23,-56.56
CEL.TA,-74.27,3.7,-55.11,34828.23,,,88.32,11.15,16.5,-1.35,,,,,
DANE.TA,25608.54,19916.45,24556.5,22685.95,17579.59,-20434.26,7361.75,106481.49,108730.67,93632.05,-76.87,,,,
DNYA.TA,25353.41,18693.57,33128.19,29947.82,,,,37951.82,43930.3,101973.4,,33233.33,,,
DLEA.TA,34368.61,62558.31,42832.54,47305.72,26252.11,8121.2,-21160.5,99323.49,99082.06,64791.0,-69.28,72495.21,,,
DELG.TA,24701.82,15153.75,23498.48,18078.82,,,,104028.11,61298.82,95998.47,-84.84,,,,
DIMRI.TA,3.14,0.0,0.0,,,0.0,0.0,-0.23,-17.61,-1.39,64.58,0.0,,,124.74
DIPL.TA,24462.43,13857.03,24059.66,25993.71,-16025.3,-3184.01,100803.41,111119.64,166602.02,113686.23,-84.86,,,,
DSCT.TA,85977.5,80823.19,,,,,,93430.95,111589.22,96278.91,-18.91,,,,
DISI.TA,-98.23,-99.63,,,,,,-95.3,-96.02,,,,,,
DRAL.TA,258.79,2424.34,1129.52,2545.62,,,,3779.52,2981.47,6623.23,-96.25,,88596.53,,
ELAL.TA,-67.02,83.93,89.7,,,,,6.82,6.91,-7.41,,,-0.0,,
ESLT.TA,-74.48,-80.74,-12.65,-45.37,-91.49,94.45,-90.71,0.46,68.7,0.43,-80.81,-74.31,0.56,-13.77,-56.22
ELTR.TA,14674.35,-437249.31,,-316403.77,,-3289980.29,5707286.87,1205265.64,1275916.74,50872054.26,,-8588.44,,,3919856.9
ECP.TA,,,,,,,,,,,,,,,
ELCP.TA,-72.94,-116.64,,-93.14,-99.6,169.59,74.83,-2.77,-2.88,-2.45,,82.19,,,1.06
ENRG.TA,1.35,-0.14,,,,,,0.0,45.68,0.0,,,,,
ENLT.TA,-66.15,,,-2.98,,,,,,,,,,,
FOX.TA,-47.77,-101.29,-56.09,-94.59,,17.7,-13.82,5.33,12.73,-31.01,-102.09,,,,-73.43
GAGR.TA,-68.95,-59.98,-66.19,-199.34,,-14457378.01,,1.43,3.41,-25.2,-68.75,50.0,-0.06,,
GVYM.TA,-90.2,-91.58,,-91.51,-77.72,-201.22,98.3,2.22,0.0,2.44,,73.08,,,
GNCL.TA,-85.28,-34565.7,-72.34,,66.59,95.25,-145.51,37.67,7.08,44.89,-72.73,,-1.42,,
GNRS.TA,,341276.95,,,66642.26,-4116483.74,758972.85,120388.19,183280.63,104877.4,0.0,-100100.0,,,
GILT.TA,-76.51,5.45,-77.12,-140.41,,80.16,,-5.49,-21.63,5.62,20.0,,0.27,,
GRIN.TA,-73.65,-81.69,-75.74,-80.73,-81.89,65.61,97.1,4.13,-42.21,2.05,0.0,-183.33,,-79.72,-14.41
GOLD.TA,0.0,0.0,0.0,,,-110.38,90.03,1.37,3.5,0.61,0.0,0.0,,,
G107.TA,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-10.82,0.0,0.0,,,,
HLAN.TA,28060.65,27528.7,29205.2,27391.41,,-100706.68,151347.45,111562.41,86914.73,106099.06,-72.43,,,314900.0,152439.68
HUMX.TA,0.0,0.0,0.0,,,,,-27.56,-8.82,-29.76,-200.0,,,,
ICL.TA,23.9,132.16,45.27,95.66,-5.52,-386.36,-69.93,5.27,0.05,12.28,133.33,,0.16,-12.31,-1.4
ICON.TA,32229.03,99900.0,29208.65,28632.82,,-22143.94,14163.5,161999.85,193020.89,104015.19,-70.49,-199.91,,1524333233.33,
ILX.TA,23867.71,23187.66,27032.48,,,,,85100.87,60352.96,97978.26,-77.38,99900.0,,61511.99,
INCR.TA,15563.91,127777.24,15421.61,,,,,,,,,,,,
ISCN.TA,39109.24,37665.25,,43055.67,,,,108213.49,153690.27,77234.28,0.0,,99900.0,,
ISHI.TA,38698.81,56301.62,38550.29,41336.09,,,,99900.0,70409.17,103098.19,,,,,99900.0
ISRA.TA,-75.54,185.21,,-68.33,,,,0.62,-3.71,10.14,185.06,,,,
ISRO.TA,18201.22,-11028.89,6121.37,80.8,,-579326.85,,101234.68,77683.81,,-103.05,,,,
JBNK.TA,-99.78,-98.77,,,,,,-85.4,-86.71,-97.98,,,,,-20.0
KAFR.TA,0.0,116.4,0.0,0.0,,-186.51,139.48,17.23,,9.7,,,,,
KMDA.TA,-72.89,16.91,-62.73,135.34,161.97,99.16,-109.72,-4.89,-39.57,-0.95,20.0,,,41.58,-6.38
KRUR.TA,-83.4,-94.25,-84.74,-95.15,,0.0,0.0,0.0,-57.33,39.33,0.0,-75.0,,,
KLIL.TA,-68.59,-69.39,-66.41,-62.08,,54.55,98.15,4.85,249.8,3.62,0.0,,,,
LAHAV.TA,,-97.82,-72.85,,,,,0.0,-64.01,274.12,,,,,
LUMI.TA,35.86,0.0,,,,,,0.0,14.36,0.0,0.0,-100.0,,,
LCTX.TA,20.64,83.51,73.62,87.0,192.97,-100.47,-98.61,-17.2,-29.1,-6.25,84.62,,3.18,,
LUZN.TA,,230.03,,360.36,,1626.39,,1206.11,869.95,366.02,100.35,,,12390.64,83960.0
MTRN.TA,40317.63,47845.51,39654.88,51341.38,,,,121832.59,130364.12,102826.19,-50.0,49865.86,,,
MDPR.TA,-69.49,194.61,,,,-1510.59,484.98,0.0,-2.2,,102.78,,9.7,,
