,Revenue,Net Income,Earnings Per Share (EPS),Total Assets,Long-Term Debt,Gross Profit,Operating Income (EBIT),Number of Outstanding Shares
ACCL.TA,,,,,,,,
ADGR.TA,-5.69,0.0,25.0,3.52,-39.29,,,
AFHL.TA,-76.04,110.33,-91.91,1.88,-64.26,-61.33,1416.9,
AFRE.TA,-76.0,-88.59,,-3.13,-11.18,-76.76,-76.83,-0.09
ARPT.TA,-74.91,-88.15,-83.53,-2.26,,-73.07,-73.45,
ALBA.TA,-75.6,100.98,-98.27,2.93,147.28,-71.13,27.95,
ALLT.TA,-82.81,64.53,49.15,-5.9,0.12,-83.75,63.23,-5.72
ALMA.TA,-79.38,0.0,3740.0,,,6.02,6.77,
AMD.TA,-75.76,-95.08,1280.0,7.72,,-75.85,-84.86,-0.2
AMRK.TA,0.0,112.67,-96.36,-2.52,,0.0,-74.86,
AMOT.TA,-72.53,-90.56,2074.36,0.36,-8.49,,-72.12,
ASHG.TA,-98.69,-98.1,,-61.93,-78.91,-94.14,-94.15,
AVGL.TA,-81.25,-97.06,1030.0,-0.78,14.84,-84.57,-90.54,
AVIA.TA,,,427.82,,,,,
AZRG.TA,-73.72,-79.02,-74.36,1.09,1.86,-57.82,-69.41,-0.0
BCOM.TA,-74.32,81.01,,5.18,,,-74.07,
BONS.TA,,,,-10.82,,,,
CAMT.TA,-77.41,-78.49,-96.18,0.93,-100.0,-78.82,-82.58,-99.89
CLIS.TA,-97.52,-99.92,,-96.85,-6.21,,,
CGEN.TA,,72.28,82.26,-10.47,,,,-7.37
DANH.TA,-99.9,-99.9,50.0,-99.9,,-99.9,-99.89,
DELG.TA,-78.22,-97.25,-97.97,-2.55,-21.22,-77.98,-92.09,
DIPL.TA,-72.79,-63.03,-81.53,0.07,,-73.37,-74.41,
DISI.TA,,-99.78,,-66.55,,,,
ESLT.TA,-74.72,-77.47,-94.98,2.7,-6.57,-73.68,-74.13,-0.79
ELCRE.TA,-50.39,-96.81,153.21,0.0,,,,
ELWS.TA,-64.72,119.69,222.79,-1.8,,-49.93,120.71,
ELLO.TA,-77.03,884.31,111.11,7.25,-33.61,-88.75,-114.17,
ENLV.TA,,76.76,86.27,-11.27,,,73.71,-21.71
EQTL.TA,-99.97,-99.98,,-99.9,,,-99.97,
FTAL.TA,-99.98,99.75,-129.68,-99.9,-99.61,-99.97,-100.02,
FRSX.TA,-90.0,78.84,82.5,-14.84,,-88.59,73.38,
FORTY.TA,-73.94,-80.73,-94.91,-0.82,-36.13,-73.99,-73.84,0.86
GCT.TA,-73.77,62.01,-1164.29,-7.69,,,-107.11,
GNRS.TA,,-53.21,98.57,0.0,12.62,,,-99.9
GLTL.TA,-73.77,94.14,-177.78,-1.56,-15.7,-73.32,122.75,-99.93
GOHO.TA,,,,-99.9,,,,-99.9
MSBI.TA,,,-128.85,,,,,-0.0
HAMAT.TA,-74.16,-83.38,,0.0,,-73.9,-74.31,
HLAN.TA,-99.97,-99.97,,-99.9,,-99.97,-99.97,
HIPR.TA,-79.47,-77.15,-93.7,-6.74,,-81.12,-84.48,
HUMX.TA,0.0,0.0,294.19,0.0,,0.0,0.0,
ICON.TA,-76.01,-75.13,-67.21,-1.45,10001.89,-74.36,-76.44,
ILX.TA,-75.64,-91.27,-80.44,0.0,,-79.27,-86.34,
INRM.TA,-73.66,-72.66,-62.67,2.51,,-73.24,-72.79,
INCR.TA,-72.68,-73.04,100.35,-8.59,-3.73,-77.35,-85.57,-3.37
ISHI.TA,-73.02,-74.28,-50.38,2.46,,-71.59,-73.6,
ISRG.TA,-99.9,-99.89,-70.97,-99.9,-99.91,-99.9,-99.9,
ISRO.TA,-81.9,-99.51,-99.63,-1.16,-42.17,-92.0,-98.31,
KMDA.TA,-76.26,22.06,-104.12,-1.73,-8.57,-74.65,-93.62,
KEN.TA,,,,10.63,9.72,-69.95,147.79,
KLIL.TA,-75.54,-81.41,-9.43,1.75,,-80.51,-83.15,
LBRA.TA,,,,,,,,
LCTX.TA,-83.77,83.24,91.43,-8.46,,-83.78,70.51,-99.93
LPSN.TA,-79.09,92.28,96.09,-12.07,-30.84,,75.11,-17.02
MTRX.TA,-99.97,-99.98,-77.62,-99.9,,-99.97,-99.97,
MAXO.TA,-73.3,-62.6,-80.77,16.03,,-72.32,-70.93,
MTRN.TA,-99.97,-99.96,,-99.88,-99.85,-99.97,-99.96,
MEDN.TA,-56.34,165.94,175.43,0.0,,150.86,158.25,
MLSR.TA,,-87.78,,-14.56,-6.74,-73.63,-79.76,-0.2
MNIN.TA,-73.75,-81.57,-74.38,-4.17,-9.44,-74.07,-75.08,
MLD.TA,,,,,,,,
MZTF.TA,,-99.99,,-92.62,,,,
MLRN.TA,,,-69.32,,,,,
NFTA.TA,-99.97,-99.98,,-99.9,,-99.97,-99.97,
NXTM.TA,-77.61,-65.2,-70.49,1.43,-8.65,-72.15,-83.69,-0.59
NICE.TA,-73.78,-71.07,-95.64,2.86,0.09,-74.27,-72.1,5.39
NISA.TA,-72.96,87.76,-145.98,1.18,42.26,-71.88,406.28,
OPCE.TA,-73.07,-52.69,-39.13,0.0,27.59,9.64,148.84,
