,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
ACCL.TA,"[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[8.7, 51.94, 66.94]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[0.77, 7.36, -8.75]","[0.77, 7.36, -8.75]","[0.77, 7.36, -8.75]","[None, None, None]","[None, None, None]","[0.77, 7.36, -8.75]","[0.77, 7.36, -8.75]","[0.77, 7.36, -8.75]","[0.77, 7.36, -8.75]","[None, None, None]","[0.77, 7.36, -8.75]","[0.77, 7.36, -8.75]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[-0.0, 16.01, 2.49]","[-0.0, 16.01, 2.49]","[None, None, None]","[-0.0, 16.01, 2.49]","[-0.0, 16.01, 2.49]","[None, None, None]","[None, None, None]","[-0.0, 16.01, 2.49]","[-0.0, 16.01, 2.49]","[-0.0, 16.01, 2.49]","[None, None, None]","[None, None, None]","[-0.0, 16.01, 2.49]","[-0.0, 16.01, 2.49]","[None, None, None]"
ARPT.TA,"[3.86, 3.45, -18.89]","[3.86, 3.45, -18.89]","[3.86, 3.45, -18.89]","[3.86, 3.45, -18.89]","[None, None, None]","[None, None, None]","[None, None, None]","[3.86, 3.45, -18.89]","[3.86, 3.45, -18.89]","[3.86, 3.45, -18.89]","[None, None, None]","[None, None, None]","[None, None, None]","[3.86, 3.45, -18.89]","[None, None, None]"
ASGR.TA,"[-0.99, 3.08, -7.78]","[-0.99, 3.08, -7.78]","[None, None, None]","[-0.99, 3.08, -7.78]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.99, 3.08, -7.78]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVRT.TA,"[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[0.0, -3.91, 27.11]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AYAL.TA,"[None, None, None]","[-2.59, 24.11, 17.35]","[None, None, None]","[None, None, None]","[None, None, None]","[-2.59, 24.11, 17.35]","[-2.59, 24.11, 17.35]","[-2.59, 24.11, 17.35]","[-2.59, 24.11, 17.35]","[-2.59, 24.11, 17.35]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[None, None, None]","[0.61, 2.58, -13.01]","[0.61, 2.58, -13.01]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.61, 2.58, -13.01]","[None, None, None]","[0.61, 2.58, -13.01]","[None, None, None]","[0.61, 2.58, -13.01]","[None, None, None]","[None, None, None]","[0.61, 2.58, -13.01]"
BIOV.TA,"[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[-1.99, 5.7, 3.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BONS.TA,"[None, None, None]","[-2.76, 16.91, 15.41]","[-2.76, 16.91, 15.41]","[None, None, None]","[-2.76, 16.91, 15.41]","[-2.76, 16.91, 15.41]","[-2.76, 16.91, 15.41]","[-2.76, 16.91, 15.41]","[-2.76, 16.91, 15.41]","[-2.76, 16.91, 15.41]","[-2.76, 16.91, 15.41]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BRIL.TA,"[0.0, 9.09, 19.42]","[0.0, 9.09, 19.42]","[None, None, None]","[0.0, 9.09, 19.42]","[0.0, 9.09, 19.42]","[0.0, 9.09, 19.42]","[0.0, 9.09, 19.42]","[0.0, 9.09, 19.42]","[0.0, 9.09, 19.42]","[0.0, 9.09, 19.42]","[0.0, 9.09, 19.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
