,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
ACCL.TA,"[1.6, -6.94, -13.59]","[1.6, -6.94, -13.59]","[1.6, -6.94, -13.59]","[1.6, -6.94, -13.59]","[1.6, -6.94, -13.59]","[1.6, -6.94, -13.59]","[1.6, -6.94, -13.59]","[1.6, -6.94, -13.59]","[1.6, -6.94, -13.59]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFPR.TA,"[None, None, None]","[1.39, 12.52, 20.28]","[None, None, None]","[None, None, None]","[1.39, 12.52, 20.28]","[None, None, None]","[None, None, None]","[None, None, None]","[1.39, 12.52, 20.28]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ARPT.TA,"[None, None, None]","[0.39, 8.03, 12.22]","[0.39, 8.03, 12.22]","[0.39, 8.03, 12.22]","[0.39, 8.03, 12.22]","[0.39, 8.03, 12.22]","[None, None, None]","[None, None, None]","[0.39, 8.03, 12.22]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.32, -4.54, -19.72]","[0.32, -4.54, -19.72]","[0.32, -4.54, -19.72]","[0.32, -4.54, -19.72]","[0.32, -4.54, -19.72]","[0.32, -4.54, -19.72]","[None, None, None]","[None, None, None]","[0.32, -4.54, -19.72]","[0.32, -4.54, -19.72]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALLT.TA,"[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[None, None, None]","[None, None, None]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[2.11, 3.93, 0.82]","[None, None, None]"
ALMA.TA,"[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[-2.52, 11.91, 24.08]","[None, None, None]","[None, None, None]","[None, None, None]","[-2.52, 11.91, 24.08]"
AMOT.TA,"[None, None, None]","[-0.24, 9.63, 14.25]","[None, None, None]","[None, None, None]","[-0.24, 9.63, 14.25]","[-0.24, 9.63, 14.25]","[-0.24, 9.63, 14.25]","[-0.24, 9.63, 14.25]","[-0.24, 9.63, 14.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.24, 9.63, 14.25]","[None, None, None]"
APLP.TA,"[1.74, 14.45, 69.97]","[None, None, None]","[1.74, 14.45, 69.97]","[1.74, 14.45, 69.97]","[1.74, 14.45, 69.97]","[1.74, 14.45, 69.97]","[None, None, None]","[None, None, None]","[1.74, 14.45, 69.97]","[None, None, None]","[1.74, 14.45, 69.97]","[1.74, 14.45, 69.97]","[1.74, 14.45, 69.97]","[None, None, None]","[None, None, None]"
ASHO.TA,"[-0.67, -1.93, 2.5]","[-0.67, -1.93, 2.5]","[-0.67, -1.93, 2.5]","[-0.67, -1.93, 2.5]","[-0.67, -1.93, 2.5]","[-0.67, -1.93, 2.5]","[None, None, None]","[None, None, None]","[-0.67, -1.93, 2.5]","[-0.67, -1.93, 2.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASHG.TA,"[-1.15, 2.64, 7.95]","[-1.15, 2.64, 7.95]","[None, None, None]","[-1.15, 2.64, 7.95]","[-1.15, 2.64, 7.95]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.15, 2.64, 7.95]","[-1.15, 2.64, 7.95]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
