,Revenue,Net Income,Earnings Per Share (EPS),Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Gross Profit,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Operating Cash Flow,Number of Outstanding Shares
ACRO.TA,"[0.0, 10.97, -6.25]","[0.0, 10.97, -6.25]","[0.0, 10.97, -6.25]","[0.0, 10.97, -6.25]","[0.0, 10.97, -6.25]","[0.0, 10.97, -6.25]","[0.0, 10.97, -6.25]","[0.0, 10.97, -6.25]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.54, -9.34]","[0.0, 4.54, -9.34]","[0.0, 4.54, -9.34]","[0.0, 4.54, -9.34]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALMA.TA,"[0.0, -0.97, -10.31]","[0.0, -0.97, -10.31]","[None, None, None]","[None, None, None]","[0.0, -0.97, -10.31]","[0.0, -0.97, -10.31]","[0.0, -0.97, -10.31]","[0.0, -0.97, -10.31]","[0.0, -0.97, -10.31]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALUMA.TA,"[0.0, 0.29, -19.03]","[0.0, 0.29, -19.03]","[0.0, 0.29, -19.03]","[0.0, 0.29, -19.03]","[0.0, 0.29, -19.03]","[0.0, 0.29, -19.03]","[0.0, 0.29, -19.03]","[None, None, None]","[None, None, None]","[0.0, 0.29, -19.03]","[0.0, 0.29, -19.03]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[None, None, None]","[None, None, None]","[0.0, 5.76, -5.78]","[0.0, 5.76, -5.78]","[None, None, None]","[None, None, None]"
AURA.TA,"[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[0.0, -1.1, -8.82]","[None, None, None]"
AVIV.TA,"[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[None, None, None]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[0.0, 6.69, -9.4]","[None, None, None]","[0.0, 6.69, -9.4]"
BKFR.TA,"[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[None, None, None]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[0.0, -5.66, -26.76]","[None, None, None]"
BIOV.TA,"[0.0, 6.53, 11.13]","[0.0, 6.53, 11.13]","[0.0, 6.53, 11.13]","[None, None, None]","[0.0, 6.53, 11.13]","[0.0, 6.53, 11.13]","[0.0, 6.53, 11.13]","[None, None, None]","[0.0, 6.53, 11.13]","[0.0, 6.53, 11.13]","[0.0, 6.53, 11.13]","[None, None, None]","[None, None, None]","[0.0, 6.53, 11.13]","[None, None, None]"
BOTI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.19, -15.64]","[0.0, 2.19, -15.64]","[0.0, 2.19, -15.64]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BRIL.TA,"[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[0.0, -7.58, -14.62]","[None, None, None]"
BULL-M.TA,"[None, None, None]","[0.0, -3.28, -8.47]","[0.0, -3.28, -8.47]","[None, None, None]","[0.0, -3.28, -8.47]","[0.0, -3.28, -8.47]","[0.0, -3.28, -8.47]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[0.0, -6.7, -14.0]","[0.0, -6.7, -14.0]","[0.0, -6.7, -14.0]","[0.0, -6.7, -14.0]","[0.0, -6.7, -14.0]","[0.0, -6.7, -14.0]","[0.0, -6.7, -14.0]","[None, None, None]","[0.0, -6.7, -14.0]","[0.0, -6.7, -14.0]","[0.0, -6.7, -14.0]","[None, None, None]","[0.0, -6.7, -14.0]","[None, None, None]","[None, None, None]"
CEL.TA,"[0.0, 6.28, 0.53]","[0.0, 6.28, 0.53]","[0.0, 6.28, 0.53]","[0.0, 6.28, 0.53]","[0.0, 6.28, 0.53]","[0.0, 6.28, 0.53]","[0.0, 6.28, 0.53]","[None, None, None]","[0.0, 6.28, 0.53]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DLEA.TA,"[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[0.0, 4.02, 6.29]","[None, None, None]"
DLEKG.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIMRI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.43, -9.45]","[None, None, None]","[0.0, 3.43, -9.45]","[0.0, 3.43, -9.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIPL.TA,"[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[None, None, None]","[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[None, None, None]","[0.0, 0.32, -10.42]","[0.0, 0.32, -10.42]","[None, None, None]"
DSCT.TA,"[0.0, 2.02, -1.74]","[0.0, 2.02, -1.74]","[None, None, None]","[None, None, None]","[0.0, 2.02, -1.74]","[0.0, 2.02, -1.74]","[0.0, 2.02, -1.74]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.02, -1.74]","[None, None, None]","[None, None, None]"
DISI.TA,"[None, None, None]","[0.0, -4.19, -18.04]","[None, None, None]","[None, None, None]","[0.0, -4.19, -18.04]","[0.0, -4.19, -18.04]","[0.0, -4.19, -18.04]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DRAL.TA,"[0.0, 6.37, -1.76]","[0.0, 6.37, -1.76]","[0.0, 6.37, -1.76]","[None, None, None]","[0.0, 6.37, -1.76]","[0.0, 6.37, -1.76]","[0.0, 6.37, -1.76]","[None, None, None]","[None, None, None]","[0.0, 6.37, -1.76]","[0.0, 6.37, -1.76]","[None, None, None]","[None, None, None]","[0.0, 6.37, -1.76]","[0.0, 6.37, -1.76]"
ELAL.TA,"[0.0, 21.37, 15.24]","[0.0, 21.37, 15.24]","[0.0, 21.37, 15.24]","[None, None, None]","[0.0, 21.37, 15.24]","[0.0, 21.37, 15.24]","[0.0, 21.37, 15.24]","[None, None, None]","[0.0, 21.37, 15.24]","[None, None, None]","[0.0, 21.37, 15.24]","[None, None, None]","[None, None, None]","[0.0, 21.37, 15.24]","[0.0, 21.37, 15.24]"
ELTR.TA,"[0.0, 0.26, -6.24]","[0.0, 0.26, -6.24]","[None, None, None]","[0.0, 0.26, -6.24]","[0.0, 0.26, -6.24]","[0.0, 0.26, -6.24]","[0.0, 0.26, -6.24]","[0.0, 0.26, -6.24]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ECP.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCP.TA,"[0.0, 3.69, 0.44]","[0.0, 3.69, 0.44]","[None, None, None]","[0.0, 3.69, 0.44]","[0.0, 3.69, 0.44]","[0.0, 3.69, 0.44]","[0.0, 3.69, 0.44]","[None, None, None]","[None, None, None]","[0.0, 3.69, 0.44]","[0.0, 3.69, 0.44]","[None, None, None]","[0.0, 3.69, 0.44]","[0.0, 3.69, 0.44]","[None, None, None]"
