,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,"[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[7.47, 22.56, 57.04]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[None, None, None]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[2.87, -2.88, 19.1]","[None, None, None]"
AFRE.TA,"[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[None, None, None]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[None, None, None]","[None, None, None]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[None, None, None]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[2.91, 7.05, 16.95]","[None, None, None]"
ARPT.TA,"[4.16, 4.37, 12.33]","[4.16, 4.37, 12.33]","[4.16, 4.37, 12.33]","[None, None, None]","[4.16, 4.37, 12.33]","[None, None, None]","[None, None, None]","[4.16, 4.37, 12.33]","[4.16, 4.37, 12.33]","[4.16, 4.37, 12.33]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[-2.14, 4.25, 19.64]","[None, None, None]","[-2.14, 4.25, 19.64]","[None, None, None]","[None, None, None]"
ALLT.TA,"[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[-1.35, 6.96, -4.43]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.35, 6.96, -4.43]"
ALMA.TA,"[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[None, None, None]","[0.65, 4.98, 14.87]","[0.65, 4.98, 14.87]","[None, None, None]","[None, None, None]"
ALHE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[None, None, None]","[1.88, 2.48, 2.89]","[1.88, 2.48, 2.89]","[None, None, None]","[None, None, None]"
AMOT.TA,"[2.17, 2.33, 1.93]","[2.17, 2.33, 1.93]","[2.17, 2.33, 1.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[2.17, 2.33, 1.93]","[2.17, 2.33, 1.93]","[2.17, 2.33, 1.93]","[None, None, None]","[None, None, None]","[None, None, None]","[2.17, 2.33, 1.93]","[None, None, None]"
