,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,"[-0.05, -6.63, -14.93]","[-0.05, -6.63, -14.93]","[-0.05, -6.63, -14.93]","[-0.05, -6.63, -14.93]","[-0.05, -6.63, -14.93]","[-0.05, -6.63, -14.93]","[-0.05, -6.63, -14.93]","[-0.05, -6.63, -14.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]","[-0.63, -2.29, -3.69]"
ADGR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFPR.TA,"[None, None, None]","[0.96, 3.81, 21.31]","[None, None, None]","[None, None, None]","[0.96, 3.81, 21.31]","[0.96, 3.81, 21.31]","[None, None, None]","[0.96, 3.81, 21.31]","[0.96, 3.81, 21.31]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]","[0.72, 3.06, 14.64]"
ARPT.TA,"[-0.6, 2.15, 14.19]","[-0.6, 2.15, 14.19]","[-0.6, 2.15, 14.19]","[-0.6, 2.15, 14.19]","[-0.6, 2.15, 14.19]","[-0.6, 2.15, 14.19]","[None, None, None]","[-0.6, 2.15, 14.19]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.44, -5.82, -27.86]","[0.44, -5.82, -27.86]","[0.44, -5.82, -27.86]","[0.44, -5.82, -27.86]","[0.44, -5.82, -27.86]","[0.44, -5.82, -27.86]","[None, None, None]","[0.44, -5.82, -27.86]","[0.44, -5.82, -27.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[None, None, None]","[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[0.82, -5.18, -23.71]","[None, None, None]","[None, None, None]","[0.82, -5.18, -23.71]"
AMDA.TA,"[0.0, -12.42, -19.37]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -12.42, -19.37]","[0.0, -12.42, -19.37]","[None, None, None]","[0.0, -12.42, -19.37]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -12.42, -19.37]","[None, None, None]","[None, None, None]"
ALMA.TA,"[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.19, 2.93, 33.98]","[-1.19, 2.93, 33.98]","[None, None, None]"
