,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
ACRO.TA,"[0.0, 3.51, -13.52]","[0.0, 3.51, -13.52]","[0.0, 3.51, -13.52]","[0.0, 3.51, -13.52]","[0.0, 3.51, -13.52]","[0.0, 3.51, -13.52]","[0.0, 3.51, -13.52]","[0.0, 3.51, -13.52]","[0.0, 3.51, -13.52]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.88, -11.59]","[0.0, 1.88, -11.59]","[0.0, 1.88, -11.59]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[None, None, None]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[0.0, -9.98, -28.62]","[None, None, None]"
ALMA.TA,"[0.0, -6.83, -10.86]","[0.0, -6.83, -10.86]","[None, None, None]","[0.0, -6.83, -10.86]","[None, None, None]","[0.0, -6.83, -10.86]","[0.0, -6.83, -10.86]","[0.0, -6.83, -10.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.0, -1.16, -21.17]","[0.0, -1.16, -21.17]","[0.0, -1.16, -21.17]","[0.0, -1.16, -21.17]","[0.0, -1.16, -21.17]","[0.0, -1.16, -21.17]","[0.0, -1.16, -21.17]","[0.0, -1.16, -21.17]","[0.0, -1.16, -21.17]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.16, -21.17]","[None, None, None]","[None, None, None]"
AURA.TA,"[0.0, -0.06, -7.59]","[0.0, -0.06, -7.59]","[0.0, -0.06, -7.59]","[0.0, -0.06, -7.59]","[0.0, -0.06, -7.59]","[0.0, -0.06, -7.59]","[0.0, -0.06, -7.59]","[0.0, -0.06, -7.59]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -0.06, -7.59]","[0.0, -0.06, -7.59]","[None, None, None]"
AZRG.TA,"[None, None, None]","[0.0, 9.56, -1.56]","[0.0, 9.56, -1.56]","[None, None, None]","[None, None, None]","[0.0, 9.56, -1.56]","[None, None, None]","[0.0, 9.56, -1.56]","[0.0, 9.56, -1.56]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 9.56, -1.56]"
BKFR.TA,"[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[None, None, None]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[0.0, -1.15, -16.15]","[None, None, None]"
BIOV.TA,"[0.0, -4.84, 0.34]","[0.0, -4.84, 0.34]","[0.0, -4.84, 0.34]","[0.0, -4.84, 0.34]","[None, None, None]","[0.0, -4.84, 0.34]","[0.0, -4.84, 0.34]","[0.0, -4.84, 0.34]","[None, None, None]","[0.0, -4.84, 0.34]","[0.0, -4.84, 0.34]","[0.0, -4.84, 0.34]","[None, None, None]","[None, None, None]","[None, None, None]"
BRIL.TA,"[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[0.0, -3.65, -22.18]","[None, None, None]"
CEL.TA,"[0.0, -1.06, 3.31]","[0.0, -1.06, 3.31]","[0.0, -1.06, 3.31]","[0.0, -1.06, 3.31]","[0.0, -1.06, 3.31]","[0.0, -1.06, 3.31]","[0.0, -1.06, 3.31]","[0.0, -1.06, 3.31]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.06, 3.31]","[0.0, -1.06, 3.31]","[None, None, None]"
CLIS.TA,"[None, None, None]","[0.0, 3.3, -1.13]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.3, -1.13]","[0.0, 3.3, -1.13]","[0.0, 3.3, -1.13]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
