,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Short-Term Debt,Number of Outstanding Shares
ACCL.TA,"[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[0.0, -5.0, -11.41]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[0.0, 0.92, 9.01]","[0.0, 0.92, 9.01]","[None, None, None]","[None, None, None]","[0.0, 0.92, 9.01]","[0.0, 0.92, 9.01]","[0.0, 0.92, 9.01]","[0.0, 0.92, 9.01]","[0.0, 0.92, 9.01]","[0.0, 0.92, 9.01]","[0.0, 0.92, 9.01]","[0.0, 0.92, 9.01]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.0, -1.9, 15.88]","[0.0, -1.9, 15.88]","[None, None, None]","[0.0, -1.9, 15.88]","[0.0, -1.9, 15.88]","[0.0, -1.9, 15.88]","[0.0, -1.9, 15.88]","[0.0, -1.9, 15.88]","[0.0, -1.9, 15.88]","[0.0, -1.9, 15.88]","[0.0, -1.9, 15.88]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.0, -11.41, 2.63]","[0.0, -11.41, 2.63]","[None, None, None]","[0.0, -11.41, 2.63]","[0.0, -11.41, 2.63]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -11.41, 2.63]","[0.0, -11.41, 2.63]","[0.0, -11.41, 2.63]","[None, None, None]","[0.0, -11.41, 2.63]","[None, None, None]","[None, None, None]"
ALAR.TA,"[0.0, -1.15, 54.77]","[0.0, -1.15, 54.77]","[0.0, -1.15, 54.77]","[0.0, -1.15, 54.77]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.15, 54.77]","[0.0, -1.15, 54.77]","[0.0, -1.15, 54.77]","[0.0, -1.15, 54.77]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[None, None, None]","[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[0.0, 5.8, 3.92]","[None, None, None]","[0.0, 5.8, 3.92]","[None, None, None]"
ALLT.TA,"[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[0.0, -14.22, -28.75]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -14.22, -28.75]"
ALMA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMD.TA,"[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[None, None, None]","[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[0.0, -7.58, -13.47]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[0.0, -8.41, -7.61]","[None, None, None]"
AMOT.TA,"[0.0, -4.73, 0.16]","[0.0, -4.73, 0.16]","[0.0, -4.73, 0.16]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -4.73, 0.16]","[None, None, None]","[0.0, -4.73, 0.16]","[None, None, None]","[0.0, -4.73, 0.16]","[None, None, None]","[0.0, -4.73, 0.16]"
ASGR.TA,"[0.0, -1.43, -1.42]","[0.0, -1.43, -1.42]","[None, None, None]","[0.0, -1.43, -1.42]","[None, None, None]","[0.0, -1.43, -1.42]","[0.0, -1.43, -1.42]","[0.0, -1.43, -1.42]","[0.0, -1.43, -1.42]","[0.0, -1.43, -1.42]","[0.0, -1.43, -1.42]","[0.0, -1.43, -1.42]","[None, None, None]","[None, None, None]","[None, None, None]"
AURA.TA,"[0.0, -1.2, 23.62]","[0.0, -1.2, 23.62]","[None, None, None]","[0.0, -1.2, 23.62]","[0.0, -1.2, 23.62]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.2, 23.62]","[None, None, None]","[0.0, -1.2, 23.62]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVGD.TA,"[0.0, -11.27, 10.73]","[0.0, -11.27, 10.73]","[None, None, None]","[0.0, -11.27, 10.73]","[0.0, -11.27, 10.73]","[None, None, None]","[0.0, -11.27, 10.73]","[0.0, -11.27, 10.73]","[0.0, -11.27, 10.73]","[0.0, -11.27, 10.73]","[0.0, -11.27, 10.73]","[0.0, -11.27, 10.73]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[0.0, -5.94, 6.81]","[0.0, -5.94, 6.81]","[0.0, -5.94, 6.81]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -5.94, 6.81]","[0.0, -5.94, 6.81]","[0.0, -5.94, 6.81]","[0.0, -5.94, 6.81]","[0.0, -5.94, 6.81]","[0.0, -5.94, 6.81]","[None, None, None]","[None, None, None]","[0.0, -5.94, 6.81]"
BCOM.TA,"[0.0, 1.32, 20.7]","[0.0, 1.32, 20.7]","[0.0, 1.32, 20.7]","[None, None, None]","[0.0, 1.32, 20.7]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.32, 20.7]","[0.0, 1.32, 20.7]","[0.0, 1.32, 20.7]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BSEN.TA,"[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[None, None, None]","[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[0.0, -5.45, 6.83]","[None, None, None]","[0.0, -5.45, 6.83]","[None, None, None]"
BKRY.TA,"[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[None, None, None]","[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[0.0, -7.19, 9.44]","[None, None, None]","[0.0, -7.19, 9.44]","[None, None, None]"
BONS.TA,"[None, None, None]","[None, None, None]","[0.0, -3.97, 2.5]","[None, None, None]","[None, None, None]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[0.0, -3.97, 2.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[None, None, None]","[None, None, None]","[0.0, -11.19, -20.27]","[None, None, None]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[0.0, -11.19, -20.27]","[None, None, None]","[0.0, -11.19, -20.27]","[None, None, None]"
