,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,"[-0.65, 15.22, 17.43]","[-0.65, 15.22, 17.43]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[-0.88, 9.28, 29.68]","[-0.88, 9.28, 29.68]","[-0.88, 9.28, 29.68]","[-0.88, 9.28, 29.68]","[-0.88, 9.28, 29.68]","[-0.88, 9.28, 29.68]","[-0.88, 9.28, 29.68]","[-0.88, 9.28, 29.68]"
ADGR.TA,"[-0.36, 3.15, 16.31]","[-0.36, 3.15, 16.31]","[-0.36, 3.15, 16.31]","[-0.36, 3.15, 16.31]","[-0.36, 3.15, 16.31]","[-0.36, 3.15, 16.31]","[-0.36, 3.15, 16.31]","[-0.36, 3.15, 16.31]"
ARDM.TA,"[1.22, 76.85, 20.09]","[1.22, 76.85, 20.09]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.03, 1.8, 46.68]","[0.03, 1.8, 46.68]","[0.03, 1.8, 46.68]","[0.03, 1.8, 46.68]","[0.03, 1.8, 46.68]","[0.03, 1.8, 46.68]","[0.03, 1.8, 46.68]","[0.03, 1.8, 46.68]"
AFPR.TA,"[-0.53, 0.61, -0.54]","[-0.53, 0.61, -0.54]","[-0.53, 0.61, -0.54]","[-0.53, 0.61, -0.54]","[-0.53, 0.61, -0.54]","[-0.53, 0.61, -0.54]","[-0.53, 0.61, -0.54]","[-0.53, 0.61, -0.54]"
AFRE.TA,"[-1.58, 8.34, 12.17]","[-1.58, 8.34, 12.17]","[-1.58, 8.34, 12.17]","[-1.58, 8.34, 12.17]","[-1.58, 8.34, 12.17]","[-1.58, 8.34, 12.17]","[-1.58, 8.34, 12.17]","[-1.58, 8.34, 12.17]"
ARPT.TA,"[-1.76, 1.3, 2.4]","[-1.76, 1.3, 2.4]","[-1.76, 1.3, 2.4]","[-1.76, 1.3, 2.4]","[-1.76, 1.3, 2.4]","[-1.76, 1.3, 2.4]","[-1.76, 1.3, 2.4]","[-1.76, 1.3, 2.4]"
ARTS.TA,"[4950.0, 6106.64, 5461.48]","[4950.0, 6106.64, 5461.48]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALAR.TA,"[-3.49, -1.7, -32.74]","[-3.49, -1.7, -32.74]","[-3.49, -1.7, -32.74]","[-3.49, -1.7, -32.74]","[-3.49, -1.7, -32.74]","[-3.49, -1.7, -32.74]","[-3.49, -1.7, -32.74]","[-3.49, -1.7, -32.74]"
