,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
ACCL.TA,"[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[1.59, 7.98, 19.89]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ARPT.TA,"[0.29, 0.77, 14.77]","[0.29, 0.77, 14.77]","[0.29, 0.77, 14.77]","[None, None, None]","[0.29, 0.77, 14.77]","[None, None, None]","[None, None, None]","[None, None, None]","[0.29, 0.77, 14.77]","[0.29, 0.77, 14.77]","[0.29, 0.77, 14.77]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[-1.31, 14.11, -3.83]","[-1.31, 14.11, -3.83]","[-1.31, 14.11, -3.83]","[-1.31, 14.11, -3.83]","[-1.31, 14.11, -3.83]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.31, 14.11, -3.83]","[-1.31, 14.11, -3.83]","[-1.31, 14.11, -3.83]","[-1.31, 14.11, -3.83]","[-1.31, 14.11, -3.83]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[0.02, 14.05, 32.12]","[None, None, None]","[None, None, None]","[0.02, 14.05, 32.12]","[None, None, None]"
ALHE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[None, None, None]","[0.07, 2.91, 13.35]","[0.07, 2.91, 13.35]","[None, None, None]"
AMOT.TA,"[-0.89, 0.93, 5.52]","[-0.89, 0.93, 5.52]","[-0.89, 0.93, 5.52]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.89, 0.93, 5.52]","[-0.89, 0.93, 5.52]","[-0.89, 0.93, 5.52]","[None, None, None]","[-0.89, 0.93, 5.52]","[-0.89, 0.93, 5.52]","[None, None, None]"
ASHG.TA,"[-0.49, 2.86, 23.69]","[-0.49, 2.86, 23.69]","[None, None, None]","[-0.49, 2.86, 23.69]","[-0.49, 2.86, 23.69]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.49, 2.86, 23.69]","[-0.49, 2.86, 23.69]","[-0.49, 2.86, 23.69]","[-0.49, 2.86, 23.69]","[-0.49, 2.86, 23.69]","[None, None, None]","[None, None, None]"
AURA.TA,"[-1.47, 7.27, 34.42]","[-1.47, 7.27, 34.42]","[-1.47, 7.27, 34.42]","[-1.47, 7.27, 34.42]","[-1.47, 7.27, 34.42]","[None, None, None]","[-1.47, 7.27, 34.42]","[-1.47, 7.27, 34.42]","[-1.47, 7.27, 34.42]","[-1.47, 7.27, 34.42]","[-1.47, 7.27, 34.42]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVIV.TA,"[None, None, None]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[-0.89, 2.45, 30.14]","[None, None, None]"
AYAL.TA,"[None, None, None]","[-0.63, 9.31, 7.94]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.63, 9.31, 7.94]","[-0.63, 9.31, 7.94]","[-0.63, 9.31, 7.94]","[-0.63, 9.31, 7.94]","[-0.63, 9.31, 7.94]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[None, None, None]","[None, None, None]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]","[-0.13, 2.07, 15.59]"
BCOM.TA,"[None, None, None]","[-1.02, 4.5, -6.23]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.02, 4.5, -6.23]","[None, None, None]","[None, None, None]","[-1.02, 4.5, -6.23]","[None, None, None]","[None, None, None]","[None, None, None]"
BOLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.59, 1.62, 16.61]","[1.59, 1.62, 16.61]","[1.59, 1.62, 16.61]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
