,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,"[0.0, -0.51, -6.72]","[0.0, -0.51, -6.72]","[0.0, -0.51, -6.72]","[0.0, -0.51, -6.72]","[0.0, -0.51, -6.72]","[0.0, -0.51, -6.72]","[0.0, -0.51, -6.72]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]","[0.0, 8.63, 13.65]"
ARPT.TA,"[0.0, 6.63, 12.76]","[0.0, 6.63, 12.76]","[0.0, 6.63, 12.76]","[0.0, 6.63, 12.76]","[0.0, 6.63, 12.76]","[0.0, 6.63, 12.76]","[0.0, 6.63, 12.76]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.0, -2.33, -15.73]","[0.0, -2.33, -15.73]","[0.0, -2.33, -15.73]","[0.0, -2.33, -15.73]","[0.0, -2.33, -15.73]","[0.0, -2.33, -15.73]","[0.0, -2.33, -15.73]","[0.0, -2.33, -15.73]","[None, None, None]","[0.0, -2.33, -15.73]","[0.0, -2.33, -15.73]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.0, -12.8, -25.87]","[0.0, -12.8, -25.87]","[0.0, -12.8, -25.87]","[0.0, -12.8, -25.87]","[0.0, -12.8, -25.87]","[0.0, -12.8, -25.87]","[None, None, None]","[0.0, -12.8, -25.87]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -12.8, -25.87]"
AMDA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -8.51, -8.96]","[0.0, -8.51, -8.96]","[0.0, -8.51, -8.96]","[None, None, None]","[0.0, -8.51, -8.96]","[0.0, -8.51, -8.96]","[0.0, -8.51, -8.96]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALMA.TA,"[0.0, -6.59, 9.43]","[0.0, -6.59, 9.43]","[0.0, -6.59, 9.43]","[0.0, -6.59, 9.43]","[0.0, -6.59, 9.43]","[0.0, -6.59, 9.43]","[None, None, None]","[0.0, -6.59, 9.43]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -6.59, 9.43]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.0, 2.99, 4.35]","[0.0, 2.99, 4.35]","[0.0, 2.99, 4.35]","[None, None, None]","[0.0, 2.99, 4.35]","[0.0, 2.99, 4.35]","[0.0, 2.99, 4.35]","[None, None, None]","[0.0, 2.99, 4.35]","[0.0, 2.99, 4.35]","[0.0, 2.99, 4.35]","[None, None, None]","[0.0, 2.99, 4.35]","[None, None, None]","[0.0, 2.99, 4.35]"
AMRK.TA,"[0.0, 1.48, 10.28]","[0.0, 1.48, 10.28]","[0.0, 1.48, 10.28]","[0.0, 1.48, 10.28]","[0.0, 1.48, 10.28]","[0.0, 1.48, 10.28]","[0.0, 1.48, 10.28]","[0.0, 1.48, 10.28]","[None, None, None]","[0.0, 1.48, 10.28]","[0.0, 1.48, 10.28]","[None, None, None]","[None, None, None]","[0.0, 1.48, 10.28]","[None, None, None]"
AMOT.TA,"[0.0, 5.22, 2.99]","[0.0, 5.22, 2.99]","[0.0, 5.22, 2.99]","[None, None, None]","[0.0, 5.22, 2.99]","[0.0, 5.22, 2.99]","[0.0, 5.22, 2.99]","[0.0, 5.22, 2.99]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 5.22, 2.99]","[0.0, 5.22, 2.99]","[0.0, 5.22, 2.99]"
ASHO.TA,"[0.0, 17.0, 18.81]","[0.0, 17.0, 18.81]","[0.0, 17.0, 18.81]","[0.0, 17.0, 18.81]","[0.0, 17.0, 18.81]","[0.0, 17.0, 18.81]","[0.0, 17.0, 18.81]","[0.0, 17.0, 18.81]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASHG.TA,"[0.0, 1.29, 13.23]","[0.0, 1.29, 13.23]","[None, None, None]","[0.0, 1.29, 13.23]","[0.0, 1.29, 13.23]","[None, None, None]","[0.0, 1.29, 13.23]","[0.0, 1.29, 13.23]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASGR.TA,"[0.0, 4.74, 18.02]","[0.0, 4.74, 18.02]","[None, None, None]","[None, None, None]","[0.0, 4.74, 18.02]","[0.0, 4.74, 18.02]","[0.0, 4.74, 18.02]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 4.74, 18.02]","[None, None, None]","[0.0, 4.74, 18.02]"
AUDC.TA,"[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]","[0.0, -5.21, -9.83]"
