,Total Assets,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Number of Outstanding Shares,Long-Term Debt
ADGR.TA,"[0.0, -3.82, -22.73]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.0, 0.38, -4.37]","[0.0, 0.38, -4.37]","[0.0, 0.38, -4.37]","[0.0, 0.38, -4.37]","[0.0, 0.38, -4.37]","[0.0, 0.38, -4.37]","[0.0, 0.38, -4.37]","[None, None, None]"
ALBA.TA,"[0.0, -1.93, -14.4]","[0.0, -1.93, -14.4]","[0.0, -1.93, -14.4]","[0.0, -1.93, -14.4]","[0.0, -1.93, -14.4]","[0.0, -1.93, -14.4]","[None, None, None]","[0.0, -1.93, -14.4]"
ALLT.TA,"[0.0, -2.52, -18.34]","[0.0, -2.52, -18.34]","[0.0, -2.52, -18.34]","[0.0, -2.52, -18.34]","[0.0, -2.52, -18.34]","[0.0, -2.52, -18.34]","[0.0, -2.52, -18.34]","[0.0, -2.52, -18.34]"
ALMA.TA,"[None, None, None]","[0.0, -5.68, -16.77]","[0.0, -5.68, -16.77]","[0.0, -5.68, -16.77]","[0.0, -5.68, -16.77]","[None, None, None]","[None, None, None]","[None, None, None]"
AMD.TA,"[0.0, 6.25, -2.99]","[0.0, 6.25, -2.99]","[0.0, 6.25, -2.99]","[0.0, 6.25, -2.99]","[0.0, 6.25, -2.99]","[0.0, 6.25, -2.99]","[None, None, None]","[0.0, 6.25, -2.99]"
AMRK.TA,"[0.0, -3.01, -14.52]","[0.0, -3.01, -14.52]","[0.0, -3.01, -14.52]","[0.0, -3.01, -14.52]","[0.0, -3.01, -14.52]","[0.0, -3.01, -14.52]","[None, None, None]","[None, None, None]"
AMOT.TA,"[0.0, 2.15, -4.82]","[0.0, 2.15, -4.82]","[0.0, 2.15, -4.82]","[0.0, 2.15, -4.82]","[None, None, None]","[None, None, None]","[0.0, 2.15, -4.82]","[0.0, 2.15, -4.82]"
APLP.TA,"[0.0, 7.9, -27.9]","[0.0, 7.9, -27.9]","[None, None, None]","[0.0, 7.9, -27.9]","[0.0, 7.9, -27.9]","[None, None, None]","[None, None, None]","[None, None, None]"
ARD.TA,"[0.0, -0.66, -5.4]","[0.0, -0.66, -5.4]","[0.0, -0.66, -5.4]","[0.0, -0.66, -5.4]","[0.0, -0.66, -5.4]","[None, None, None]","[None, None, None]","[0.0, -0.66, -5.4]"
ASHG.TA,"[0.0, -1.15, -14.93]","[0.0, -1.15, -14.93]","[0.0, -1.15, -14.93]","[0.0, -1.15, -14.93]","[0.0, -1.15, -14.93]","[0.0, -1.15, -14.93]","[None, None, None]","[None, None, None]"
