,Earnings Per Share (EPS),Revenue,Net Income,Operating Income (EBIT),Total Assets,Long-Term Debt,Gross Profit,Number of Outstanding Shares
ACCL.TA,"[1.77, -0.96, 16.64]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[None, None, None]","[1.95, -9.23, 8.46]","[1.95, -9.23, 8.46]","[1.95, -9.23, 8.46]","[1.95, -9.23, 8.46]","[1.95, -9.23, 8.46]","[None, None, None]","[None, None, None]"
AFHL.TA,"[None, None, None]","[2.2, -8.54, -5.94]","[2.2, -8.54, -5.94]","[2.2, -8.54, -5.94]","[2.2, -8.54, -5.94]","[None, None, None]","[2.2, -8.54, -5.94]","[None, None, None]"
AFPR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[None, None, None]","[2.09, -9.68, 12.27]","[2.09, -9.68, 12.27]","[2.09, -9.68, 12.27]","[2.09, -9.68, 12.27]","[None, None, None]","[2.09, -9.68, 12.27]","[None, None, None]"
ARPT.TA,"[1.61, -6.15, 0.35]","[1.61, -6.15, 0.35]","[1.61, -6.15, 0.35]","[1.61, -6.15, 0.35]","[1.61, -6.15, 0.35]","[None, None, None]","[1.61, -6.15, 0.35]","[None, None, None]"
ALAR.TA,"[1.98, 29.27, 122.19]","[1.98, 29.27, 122.19]","[1.98, 29.27, 122.19]","[None, None, None]","[1.98, 29.27, 122.19]","[1.98, 29.27, 122.19]","[1.98, 29.27, 122.19]","[None, None, None]"
ALBA.TA,"[0.28, 6.8, 15.86]","[0.28, 6.8, 15.86]","[0.28, 6.8, 15.86]","[0.28, 6.8, 15.86]","[0.28, 6.8, 15.86]","[0.28, 6.8, 15.86]","[0.28, 6.8, 15.86]","[None, None, None]"
ALLT.TA,"[1.41, -1.01, 3.56]","[1.41, -1.01, 3.56]","[1.41, -1.01, 3.56]","[1.41, -1.01, 3.56]","[1.41, -1.01, 3.56]","[1.41, -1.01, 3.56]","[1.41, -1.01, 3.56]","[1.41, -1.01, 3.56]"
ALMA.TA,"[None, None, None]","[2.59, -6.57, 13.93]","[2.59, -6.57, 13.93]","[None, None, None]","[2.59, -6.57, 13.93]","[2.59, -6.57, 13.93]","[None, None, None]","[2.59, -6.57, 13.93]"
ALHE.TA,"[2.08, -19.06, 0.67]","[2.08, -19.06, 0.67]","[2.08, -19.06, 0.67]","[2.08, -19.06, 0.67]","[2.08, -19.06, 0.67]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.63, -8.66, -1.64]","[0.63, -8.66, -1.64]","[0.63, -8.66, -1.64]","[0.63, -8.66, -1.64]","[0.63, -8.66, -1.64]","[None, None, None]","[0.63, -8.66, -1.64]","[None, None, None]"
AMOT.TA,"[0.63, -8.32, -3.45]","[0.63, -8.32, -3.45]","[0.63, -8.32, -3.45]","[0.63, -8.32, -3.45]","[0.63, -8.32, -3.45]","[0.63, -8.32, -3.45]","[None, None, None]","[0.63, -8.32, -3.45]"
ASGR.TA,"[None, None, None]","[3.44, -16.27, 0.68]","[3.44, -16.27, 0.68]","[None, None, None]","[3.44, -16.27, 0.68]","[3.44, -16.27, 0.68]","[3.44, -16.27, 0.68]","[None, None, None]"
AUDC.TA,"[0.67, -11.96, 12.34]","[0.67, -11.96, 12.34]","[0.67, -11.96, 12.34]","[0.67, -11.96, 12.34]","[0.67, -11.96, 12.34]","[None, None, None]","[0.67, -11.96, 12.34]","[0.67, -11.96, 12.34]"
AZRG.TA,"[3.26, -3.96, 15.06]","[3.26, -3.96, 15.06]","[3.26, -3.96, 15.06]","[None, None, None]","[3.26, -3.96, 15.06]","[3.26, -3.96, 15.06]","[None, None, None]","[3.26, -3.96, 15.06]"
BCOM.TA,"[1.17, -8.8, -8.89]","[1.17, -8.8, -8.89]","[1.17, -8.8, -8.89]","[1.17, -8.8, -8.89]","[1.17, -8.8, -8.89]","[None, None, None]","[None, None, None]","[None, None, None]"
BONS.TA,"[0.3, 1.95, 15.92]","[None, None, None]","[None, None, None]","[None, None, None]","[0.3, 1.95, 15.92]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[1.15, -12.59, 5.43]","[1.15, -12.59, 5.43]","[1.15, -12.59, 5.43]","[1.15, -12.59, 5.43]","[1.15, -12.59, 5.43]","[None, None, None]","[1.15, -12.59, 5.43]","[None, None, None]"
CRML.TA,"[0.78, -2.03, -12.65]","[0.78, -2.03, -12.65]","[0.78, -2.03, -12.65]","[0.78, -2.03, -12.65]","[0.78, -2.03, -12.65]","[0.78, -2.03, -12.65]","[0.78, -2.03, -12.65]","[None, None, None]"
CAST.TA,"[3.72, -0.33, 12.3]","[None, None, None]","[None, None, None]","[3.72, -0.33, 12.3]","[3.72, -0.33, 12.3]","[3.72, -0.33, 12.3]","[3.72, -0.33, 12.3]","[None, None, None]"
DANH.TA,"[0.69, -5.4, 5449.52]","[0.69, -5.4, 5449.52]","[0.69, -5.4, 5449.52]","[0.69, -5.4, 5449.52]","[0.69, -5.4, 5449.52]","[None, None, None]","[0.69, -5.4, 5449.52]","[None, None, None]"
DIPL.TA,"[2.63, -2.12, 4.66]","[2.63, -2.12, 4.66]","[2.63, -2.12, 4.66]","[2.63, -2.12, 4.66]","[2.63, -2.12, 4.66]","[None, None, None]","[2.63, -2.12, 4.66]","[None, None, None]"
DISI.TA,"[4.36, 1.17, -4.13]","[None, None, None]","[4.36, 1.17, -4.13]","[None, None, None]","[4.36, 1.17, -4.13]","[4.36, 1.17, -4.13]","[None, None, None]","[None, None, None]"
ELAL.TA,"[4.33, -7.84, 19.68]","[4.33, -7.84, 19.68]","[4.33, -7.84, 19.68]","[4.33, -7.84, 19.68]","[4.33, -7.84, 19.68]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.14, -1.49, 0.33]","[0.14, -1.49, 0.33]","[0.14, -1.49, 0.33]","[0.14, -1.49, 0.33]","[0.14, -1.49, 0.33]","[0.14, -1.49, 0.33]","[0.14, -1.49, 0.33]","[0.14, -1.49, 0.33]"
ELCO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ECP.TA,"[None, None, None]","[2.67, -12.44, 1.32]","[2.67, -12.44, 1.32]","[2.67, -12.44, 1.32]","[2.67, -12.44, 1.32]","[None, None, None]","[2.67, -12.44, 1.32]","[None, None, None]"
ELCRE.TA,"[None, None, None]","[2.04, -13.98, 3.21]","[None, None, None]","[None, None, None]","[2.04, -13.98, 3.21]","[None, None, None]","[None, None, None]","[None, None, None]"
ELWS.TA,"[None, None, None]","[1.3, -11.86, 38.77]","[1.3, -11.86, 38.77]","[None, None, None]","[1.3, -11.86, 38.77]","[None, None, None]","[1.3, -11.86, 38.77]","[None, None, None]"
ELLO.TA,"[3.83, -10.54, 1.86]","[3.83, -10.54, 1.86]","[3.83, -10.54, 1.86]","[3.83, -10.54, 1.86]","[3.83, -10.54, 1.86]","[3.83, -10.54, 1.86]","[3.83, -10.54, 1.86]","[None, None, None]"
ENLV.TA,"[2.37, -5.66, 46.85]","[None, None, None]","[2.37, -5.66, 46.85]","[2.37, -5.66, 46.85]","[2.37, -5.66, 46.85]","[None, None, None]","[None, None, None]","[2.37, -5.66, 46.85]"
FRSX.TA,"[0.74, 4.43, -25.3]","[0.74, 4.43, -25.3]","[0.74, 4.43, -25.3]","[0.74, 4.43, -25.3]","[0.74, 4.43, -25.3]","[None, None, None]","[0.74, 4.43, -25.3]","[None, None, None]"
FORTY.TA,"[1.77, -10.22, 4.23]","[1.77, -10.22, 4.23]","[1.77, -10.22, 4.23]","[1.77, -10.22, 4.23]","[1.77, -10.22, 4.23]","[1.77, -10.22, 4.23]","[1.77, -10.22, 4.23]","[1.77, -10.22, 4.23]"
GNRS.TA,"[2.97, -20.63, 8.7]","[2.97, -20.63, 8.7]","[2.97, -20.63, 8.7]","[2.97, -20.63, 8.7]","[2.97, -20.63, 8.7]","[None, None, None]","[2.97, -20.63, 8.7]","[None, None, None]"
GLTL.TA,"[2.75, -6.67, 35.67]","[2.75, -6.67, 35.67]","[2.75, -6.67, 35.67]","[2.75, -6.67, 35.67]","[2.75, -6.67, 35.67]","[None, None, None]","[2.75, -6.67, 35.67]","[2.75, -6.67, 35.67]"
GOHO.TA,"[None, None, None]","[0.25, 11.03, 23.68]","[0.25, 11.03, 23.68]","[0.25, 11.03, 23.68]","[0.25, 11.03, 23.68]","[0.25, 11.03, 23.68]","[0.25, 11.03, 23.68]","[None, None, None]"
HLAN.TA,"[None, None, None]","[2.21, -4.55, 9.21]","[2.21, -4.55, 9.21]","[2.21, -4.55, 9.21]","[2.21, -4.55, 9.21]","[2.21, -4.55, 9.21]","[2.21, -4.55, 9.21]","[None, None, None]"
HIPR.TA,"[1.32, -8.38, 16.41]","[1.32, -8.38, 16.41]","[1.32, -8.38, 16.41]","[1.32, -8.38, 16.41]","[1.32, -8.38, 16.41]","[1.32, -8.38, 16.41]","[1.32, -8.38, 16.41]","[None, None, None]"
HUMX.TA,"[None, None, None]","[-0.85, -19.37, -22.16]","[-0.85, -19.37, -22.16]","[-0.85, -19.37, -22.16]","[-0.85, -19.37, -22.16]","[None, None, None]","[-0.85, -19.37, -22.16]","[None, None, None]"
ICON.TA,"[None, None, None]","[0.33, -13.23, -2.44]","[0.33, -13.23, -2.44]","[0.33, -13.23, -2.44]","[0.33, -13.23, -2.44]","[None, None, None]","[0.33, -13.23, -2.44]","[None, None, None]"
ILX.TA,"[None, None, None]","[3.16, -3.88, -3.12]","[3.16, -3.88, -3.12]","[3.16, -3.88, -3.12]","[3.16, -3.88, -3.12]","[None, None, None]","[3.16, -3.88, -3.12]","[None, None, None]"
INRM.TA,"[1.03, -5.97, 1.67]","[1.03, -5.97, 1.67]","[1.03, -5.97, 1.67]","[1.03, -5.97, 1.67]","[1.03, -5.97, 1.67]","[1.03, -5.97, 1.67]","[1.03, -5.97, 1.67]","[None, None, None]"
ISHI.TA,"[1.11, -5.8, -14.73]","[1.11, -5.8, -14.73]","[1.11, -5.8, -14.73]","[1.11, -5.8, -14.73]","[1.11, -5.8, -14.73]","[1.11, -5.8, -14.73]","[1.11, -5.8, -14.73]","[None, None, None]"
ISRO.TA,"[None, None, None]","[1.26, -4.04, 11.95]","[1.26, -4.04, 11.95]","[1.26, -4.04, 11.95]","[1.26, -4.04, 11.95]","[None, None, None]","[1.26, -4.04, 11.95]","[None, None, None]"
KEN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[3.31, -7.21, 5.39]","[3.31, -7.21, 5.39]","[None, None, None]","[3.31, -7.21, 5.39]"
KLIL.TA,"[0.68, -6.09, 0.37]","[0.68, -6.09, 0.37]","[0.68, -6.09, 0.37]","[0.68, -6.09, 0.37]","[0.68, -6.09, 0.37]","[None, None, None]","[0.68, -6.09, 0.37]","[None, None, None]"
LBRA.TA,"[2.13, -6.4, 20.63]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MTRX.TA,"[3.17, -6.98, 4.4]","[3.17, -6.98, 4.4]","[3.17, -6.98, 4.4]","[3.17, -6.98, 4.4]","[3.17, -6.98, 4.4]","[None, None, None]","[3.17, -6.98, 4.4]","[None, None, None]"
MTRN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MEDN.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[2.32, 0.94, 3.6]","[None, None, None]","[None, None, None]","[None, None, None]"
MLSR.TA,"[2.38, -9.0, 6.95]","[None, None, None]","[2.38, -9.0, 6.95]","[2.38, -9.0, 6.95]","[2.38, -9.0, 6.95]","[2.38, -9.0, 6.95]","[None, None, None]","[2.38, -9.0, 6.95]"
MNIN.TA,"[1.42, -5.42, 4.21]","[1.42, -5.42, 4.21]","[1.42, -5.42, 4.21]","[1.42, -5.42, 4.21]","[1.42, -5.42, 4.21]","[1.42, -5.42, 4.21]","[1.42, -5.42, 4.21]","[None, None, None]"
MLD.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
MLRN.TA,"[4.41, -15.49, 3.6]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
NFTA.TA,"[None, None, None]","[-0.55, -14.31, -0.03]","[-0.55, -14.31, -0.03]","[None, None, None]","[-0.55, -14.31, -0.03]","[None, None, None]","[None, None, None]","[None, None, None]"
NXTM.TA,"[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]","[None, None, None]","[1.46, -1.7, 13.55]","[1.46, -1.7, 13.55]"
NICE.TA,"[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]","[0.34, 3.15, 23.27]"
NISA.TA,"[None, None, None]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[0.42, -5.75, 14.13]","[None, None, None]"
OPCE.TA,"[None, None, None]","[3.92, -1.75, 1.76]","[3.92, -1.75, 1.76]","[None, None, None]","[3.92, -1.75, 1.76]","[3.92, -1.75, 1.76]","[3.92, -1.75, 1.76]","[None, None, None]"
OVRS.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
