,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
ACCL.TA,"[1.65, 3.89, -11.03]","[1.65, 3.89, -11.03]","[1.65, 3.89, -11.03]","[1.65, 3.89, -11.03]","[1.65, 3.89, -11.03]","[1.65, 3.89, -11.03]","[1.65, 3.89, -11.03]","[1.65, 3.89, -11.03]","[1.65, 3.89, -11.03]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ARPT.TA,"[None, None, None]","[0.99, 6.34, 6.42]","[0.99, 6.34, 6.42]","[0.99, 6.34, 6.42]","[None, None, None]","[None, None, None]","[None, None, None]","[0.99, 6.34, 6.42]","[0.99, 6.34, 6.42]","[0.99, 6.34, 6.42]","[0.99, 6.34, 6.42]","[0.99, 6.34, 6.42]","[0.99, 6.34, 6.42]","[None, None, None]","[None, None, None]"
ALBA.TA,"[-0.12, 14.59, -4.49]","[-0.12, 14.59, -4.49]","[-0.12, 14.59, -4.49]","[-0.12, 14.59, -4.49]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.12, 14.59, -4.49]","[-0.12, 14.59, -4.49]","[-0.12, 14.59, -4.49]","[None, None, None]","[None, None, None]","[-0.12, 14.59, -4.49]","[None, None, None]","[None, None, None]"
ALLT.TA,"[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[None, None, None]","[None, None, None]","[1.29, 19.33, 39.59]","[1.29, 19.33, 39.59]","[None, None, None]"
ALHE.TA,"[None, None, None]","[-0.72, 1.17, 0.69]","[-0.72, 1.17, 0.69]","[None, None, None]","[-0.72, 1.17, 0.69]","[-0.72, 1.17, 0.69]","[-0.72, 1.17, 0.69]","[-0.72, 1.17, 0.69]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.72, 1.17, 0.69]","[-0.72, 1.17, 0.69]","[None, None, None]"
AMOT.TA,"[None, None, None]","[0.39, 10.35, 9.84]","[0.39, 10.35, 9.84]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.39, 10.35, 9.84]","[0.39, 10.35, 9.84]","[None, None, None]","[None, None, None]","[None, None, None]","[0.39, 10.35, 9.84]","[0.39, 10.35, 9.84]","[None, None, None]"
ASHG.TA,"[-0.84, 5.05, 8.04]","[-0.84, 5.05, 8.04]","[None, None, None]","[-0.84, 5.05, 8.04]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.84, 5.05, 8.04]","[None, None, None]","[-0.84, 5.05, 8.04]","[None, None, None]","[None, None, None]","[-0.84, 5.05, 8.04]","[None, None, None]","[None, None, None]"
AUDC.TA,"[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[0.47, 11.29, 14.55]","[None, None, None]","[None, None, None]"
AVGL.TA,"[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[None, None, None]","[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[None, None, None]","[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[2.01, 2.56, -2.14]","[None, None, None]"
AVIV.TA,"[-0.56, 6.77, 13.2]","[-0.56, 6.77, 13.2]","[None, None, None]","[-0.56, 6.77, 13.2]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.56, 6.77, 13.2]","[-0.56, 6.77, 13.2]","[-0.56, 6.77, 13.2]","[None, None, None]","[None, None, None]","[-0.56, 6.77, 13.2]","[None, None, None]","[None, None, None]"
AYAL.TA,"[0.48, 20.46, 29.5]","[0.48, 20.46, 29.5]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.48, 20.46, 29.5]","[0.48, 20.46, 29.5]","[None, None, None]","[None, None, None]","[None, None, None]","[0.48, 20.46, 29.5]","[None, None, None]","[None, None, None]"
BOLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.5, 5.11, 25.01]","[1.5, 5.11, 25.01]","[None, None, None]","[None, None, None]","[None, None, None]","[1.5, 5.11, 25.01]","[None, None, None]","[None, None, None]"
BONS.TA,"[None, None, None]","[None, None, None]","[1.88, 69.13, 73.09]","[None, None, None]","[None, None, None]","[1.88, 69.13, 73.09]","[1.88, 69.13, 73.09]","[1.88, 69.13, 73.09]","[1.88, 69.13, 73.09]","[None, None, None]","[None, None, None]","[None, None, None]","[1.88, 69.13, 73.09]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[0.84, 1.4, 7.27]","[0.84, 1.4, 7.27]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.84, 1.4, 7.27]","[0.84, 1.4, 7.27]","[None, None, None]","[0.84, 1.4, 7.27]","[0.84, 1.4, 7.27]","[0.84, 1.4, 7.27]","[None, None, None]","[None, None, None]"
CISY.TA,"[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]","[None, None, None]","[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]","[None, None, None]","[None, None, None]","[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]","[0.07, 1.22, 1.6]"
CAMT.TA,"[4.7, 13.55, 30.96]","[4.7, 13.55, 30.96]","[4.7, 13.55, 30.96]","[4.7, 13.55, 30.96]","[4.7, 13.55, 30.96]","[None, None, None]","[None, None, None]","[4.7, 13.55, 30.96]","[4.7, 13.55, 30.96]","[4.7, 13.55, 30.96]","[None, None, None]","[None, None, None]","[4.7, 13.55, 30.96]","[4.7, 13.55, 30.96]","[None, None, None]"
CEL.TA,"[-0.12, -6.54, -2.74]","[-0.12, -6.54, -2.74]","[None, None, None]","[-0.12, -6.54, -2.74]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.12, -6.54, -2.74]","[-0.12, -6.54, -2.74]","[-0.12, -6.54, -2.74]","[-0.12, -6.54, -2.74]","[-0.12, -6.54, -2.74]","[-0.12, -6.54, -2.74]","[-0.12, -6.54, -2.74]","[None, None, None]"
CLIS.TA,"[None, None, None]","[0.43, 1.68, 12.97]","[None, None, None]","[None, None, None]","[None, None, None]","[0.43, 1.68, 12.97]","[0.43, 1.68, 12.97]","[0.43, 1.68, 12.97]","[0.43, 1.68, 12.97]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CGEN.TA,"[3.34, 3.12, -14.19]","[3.34, 3.12, -14.19]","[3.34, 3.12, -14.19]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[3.34, 3.12, -14.19]","[3.34, 3.12, -14.19]","[3.34, 3.12, -14.19]","[None, None, None]","[None, None, None]","[3.34, 3.12, -14.19]","[3.34, 3.12, -14.19]","[None, None, None]"
DANH.TA,"[0.0, -1.0, 2.08]","[0.0, -1.0, 2.08]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.0, 2.08]","[0.0, -1.0, 2.08]","[0.0, -1.0, 2.08]","[0.0, -1.0, 2.08]","[0.0, -1.0, 2.08]","[0.0, -1.0, 2.08]","[None, None, None]","[None, None, None]"
