,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
AFHL.TA,"[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[0.0, -6.99, -13.08]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.0, 11.82, -4.01]","[0.0, 11.82, -4.01]","[0.0, 11.82, -4.01]","[0.0, 11.82, -4.01]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 11.82, -4.01]","[0.0, 11.82, -4.01]","[0.0, 11.82, -4.01]","[0.0, 11.82, -4.01]","[0.0, 11.82, -4.01]","[0.0, 11.82, -4.01]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.0, -25.03, -32.12]","[0.0, -25.03, -32.12]","[0.0, -25.03, -32.12]","[0.0, -25.03, -32.12]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -25.03, -32.12]","[0.0, -25.03, -32.12]","[None, None, None]","[0.0, -25.03, -32.12]","[None, None, None]","[0.0, -25.03, -32.12]","[None, None, None]","[None, None, None]"
AMDA.TA,"[None, None, None]","[0.0, -1.99, -13.19]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -1.99, -13.19]","[0.0, -1.99, -13.19]","[0.0, -1.99, -13.19]","[0.0, -1.99, -13.19]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALMA.TA,"[0.0, -7.08, -12.93]","[0.0, -7.08, -12.93]","[0.0, -7.08, -12.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -7.08, -12.93]","[0.0, -7.08, -12.93]","[None, None, None]","[0.0, -7.08, -12.93]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.0, 2.74, -11.18]","[0.0, 2.74, -11.18]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 2.74, -11.18]","[0.0, 2.74, -11.18]","[0.0, 2.74, -11.18]","[None, None, None]","[None, None, None]","[0.0, 2.74, -11.18]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMD.TA,"[0.0, -5.48, -5.14]","[0.0, -5.48, -5.14]","[0.0, -5.48, -5.14]","[0.0, -5.48, -5.14]","[None, None, None]","[0.0, -5.48, -5.14]","[0.0, -5.48, -5.14]","[0.0, -5.48, -5.14]","[0.0, -5.48, -5.14]","[0.0, -5.48, -5.14]","[0.0, -5.48, -5.14]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[None, None, None]","[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[0.0, 1.33, -0.9]","[None, None, None]","[None, None, None]","[None, None, None]"
AQUA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, -11.57, -25.45]","[0.0, -11.57, -25.45]","[0.0, -11.57, -25.45]","[0.0, -11.57, -25.45]","[0.0, -11.57, -25.45]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASHO.TA,"[0.0, -0.8, -1.59]","[0.0, -0.8, -1.59]","[0.0, -0.8, -1.59]","[0.0, -0.8, -1.59]","[None, None, None]","[0.0, -0.8, -1.59]","[0.0, -0.8, -1.59]","[0.0, -0.8, -1.59]","[0.0, -0.8, -1.59]","[0.0, -0.8, -1.59]","[0.0, -0.8, -1.59]","[None, None, None]","[None, None, None]","[0.0, -0.8, -1.59]","[None, None, None]"
ASHG.TA,"[0.0, 1.42, -2.15]","[0.0, 1.42, -2.15]","[0.0, 1.42, -2.15]","[0.0, 1.42, -2.15]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 1.42, -2.15]","[0.0, 1.42, -2.15]","[0.0, 1.42, -2.15]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASGR.TA,"[0.0, 3.61, -4.86]","[0.0, 3.61, -4.86]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0, 3.61, -4.86]","[0.0, 3.61, -4.86]","[0.0, 3.61, -4.86]","[None, None, None]","[None, None, None]","[0.0, 3.61, -4.86]","[None, None, None]","[0.0, 3.61, -4.86]"
AUDC.TA,"[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[0.0, -8.73, -14.02]","[None, None, None]","[None, None, None]"
