,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Dividends Paid,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
ACCL.TA,"[-0.0106, 0.4218, 0.5718]","[-0.4173, 0.0151, 0.1651]","[-0.413, 0.0194, 0.1694]","[-0.0071, 0.4253, 0.5752]","[0.0172, 0.4496, 0.5996]","[0.4216, 0.854, 0.996]","[0.2303, 0.6627, 0.8127]","[0.6754, 0.8922, 0.7423]","[0.8556, 0.4232, 0.2732]","[-0.5802, -0.1478, 0.0021]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[0.5032, 0.4373, 0.5984]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.8044, 0.7385, 0.8995]","[0.4387, 0.3728, 0.5339]","[0.9493, 0.8834, 0.9555]","[0.2725, 0.2066, 0.3677]","[None, None, None]","[-1.0, -1.0, -1.0]","[-0.0116, 0.0543, -0.1067]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]"
ARPT.TA,"[0.9332, 0.9292, 0.7057]","[-0.8564, -0.8605, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
ASGR.TA,"[-0.1232, -0.0824, -0.191]","[0.8561, 0.8153, 0.924]","[None, None, None]","[-0.1382, -0.0974, -0.206]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9998, 0.9594, 0.932]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVRT.TA,"[0.1382, 0.0992, 0.4094]","[-0.1927, -0.1536, -0.4638]","[-0.3, -0.2609, -0.5711]","[-0.0337, -0.0728, 0.2374]","[0.1243, 0.0852, 0.3954]","[1.0, 0.9609, 0.7289]","[0.9824, 0.9433, 0.7465]","[1.0, 0.9609, 0.7289]","[1.0, 0.9609, 0.7289]","[0.9634, 0.9976, 0.6922]","[-1.0, -1.0, -0.8139]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AYAL.TA,"[None, None, None]","[0.0015, 0.2686, 0.201]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.0249, 0.2422, 0.1746]","[0.0305, -0.2365, -0.169]","[0.1366, -0.1305, -0.0629]","[0.144, -0.1231, -0.0555]","[0.0739, -0.1932, -0.1256]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[None, None, None]","[0.209, 0.1893, 0.3451]","[-0.7074, -0.7271, -0.5712]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9855, 0.9948, 0.8494]","[None, None, None]","[0.9839, 0.9641, 0.88]","[None, None, None]","[0.9939, 0.9742, 0.8699]","[None, None, None]","[None, None, None]","[0.9939, 0.9742, 0.8699]"
BIOV.TA,"[0.9801, 0.943, 0.9639]","[-0.1828, -0.2598, -0.2389]","[-0.2023, -0.2793, -0.2583]","[0.9801, 0.943, 0.9639]","[-0.1297, -0.2067, -0.1857]","[0.8297, 0.7527, 0.7736]","[-1.0, -1.0, -1.0]","[0.9543, 0.9687, 0.9896]","[0.8535, 0.7766, 0.7975]","[0.8261, 0.9031, 0.8821]","[0.9801, 0.943, 0.9639]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BONS.TA,"[None, None, None]","[0.9724, 0.8309, 0.8459]","[0.9724, 0.8309, 0.8459]","[None, None, None]","[0.964, 0.7673, 0.7823]","[0.8119, 0.9914, 0.9937]","[0.9724, 0.8309, 0.8459]","[0.1895, -0.0072, 0.0078]","[0.9541, 0.8492, 0.8642]","[0.8056, 0.6089, 0.6239]","[0.5607, 0.364, 0.379]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
