,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Number of Outstanding Shares,Dividends Paid
ACCL.TA,"[-0.3581, -0.4436, -0.5101]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9514, 0.9631, 0.8966]","[0.1114, 0.1969, 0.2634]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9857, 0.9003, 0.8337]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFPR.TA,"[None, None, None]","[-1.0, -1.0, -0.9343]","[None, None, None]","[None, None, None]","[0.9665, 0.8551, 0.7775]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9952, 0.8934, 0.8158]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ARPT.TA,"[None, None, None]","[0.9955, 0.928, 0.8862]","[0.9961, 0.9197, 0.8778]","[0.9961, 0.9197, 0.8778]","[0.9961, 0.9197, 0.8778]","[0.9961, 0.9197, 0.8778]","[None, None, None]","[None, None, None]","[0.9901, 0.9334, 0.8915]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[-0.0202, -0.0688, -0.2206]","[0.6927, 0.6441, 0.4923]","[0.6688, 0.6202, 0.4684]","[0.1263, 0.0778, -0.0741]","[0.7862, 0.7377, 0.5858]","[0.6779, 0.6293, 0.4775]","[None, None, None]","[None, None, None]","[0.9885, 0.94, 0.7882]","[0.3692, 0.3206, 0.1688]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.8895, 0.9077, 0.8765]","[0.9736, 0.9554, 0.9865]","[0.9789, 0.9607, 0.9918]","[0.888, 0.9062, 0.875]","[0.9725, 0.9543, 0.9854]","[0.9692, 0.951, 0.9822]","[None, None, None]","[None, None, None]","[0.9745, 0.9564, 0.9875]","[0.9691, 0.9509, 0.982]","[0.6067, 0.5885, 0.6197]","[0.0651, 0.0833, 0.0521]","[0.5613, 0.5431, 0.5743]","[0.9903, 0.9721, 0.9967]","[None, None, None]"
ALMA.TA,"[-0.6597, -0.5154, -0.3938]","[0.9748, 0.8809, 0.7592]","[0.1748, 0.3191, 0.4408]","[-1.0, -1.0, -1.0]","[0.8753, 0.9804, 0.8588]","[-0.0212, 0.1231, 0.2447]","[0.2501, 0.3944, 0.5161]","[0.8706, 0.7263, 0.6046]","[0.8051, 0.9494, 0.929]","[-0.9387, -0.7945, -0.6728]","[0.9748, 0.8809, 0.7592]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9748, 0.8809, 0.7592]"
AMOT.TA,"[None, None, None]","[0.0684, 0.1671, 0.2132]","[None, None, None]","[None, None, None]","[0.9804, 0.9209, 0.8747]","[0.8735, 0.9722, 0.9816]","[0.9849, 0.9164, 0.8702]","[0.9948, 0.9065, 0.8603]","[0.9778, 0.9235, 0.8773]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9933, 0.908, 0.8618]","[None, None, None]"
APLP.TA,"[-0.2104, -0.0833, 0.4718]","[None, None, None]","[-0.7674, -0.8945, -1.0]","[0.7964, 0.9235, 0.5214]","[0.9247, 0.9482, 0.3931]","[0.8709, 0.7438, 0.1887]","[None, None, None]","[None, None, None]","[0.7716, 0.8987, 0.5462]","[None, None, None]","[-0.5877, -0.7148, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
ASHO.TA,"[0.1605, 0.1479, 0.1922]","[0.9933, 0.9807, 0.975]","[0.9933, 0.9807, 0.975]","[-1.0, -1.0, -1.0]","[0.978, 0.9654, 0.9903]","[0.9933, 0.9807, 0.975]","[None, None, None]","[None, None, None]","[0.9933, 0.9807, 0.975]","[0.4119, 0.3993, 0.4436]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASHG.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.8969, 0.9348, 0.988]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8222, 0.8601, 0.9133]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASGR.TA,"[-0.0163, -0.012, -0.0179]","[-0.0136, -0.0092, -0.0151]","[-1.0, -1.0, -1.0]","[-0.0163, -0.0119, -0.0179]","[-0.0174, -0.013, -0.0189]","[-0.015, -0.0106, -0.0166]","[-0.0174, -0.013, -0.019]","[-0.0173, -0.013, -0.0189]","[-0.0174, -0.013, -0.0189]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AUDC.TA,"[0.9692, 0.9969, 0.9093]","[0.8214, 0.7938, 0.6999]","[0.8284, 0.8008, 0.7069]","[0.9548, 0.9824, 0.9237]","[0.9814, 0.991, 0.8971]","[0.994, 0.9784, 0.8845]","[0.6675, 0.6399, 0.546]","[None, None, None]","[0.9726, 0.9998, 0.9059]","[0.9983, 0.9741, 0.8802]","[0.6858, 0.7134, 0.8073]","[-0.0252, -0.0528, -0.1467]","[0.457, 0.4846, 0.5785]","[0.9974, 0.9698, 0.8759]","[0.9618, 0.9895, 0.9167]"
AVGL.TA,"[-0.1453, -0.1819, -0.2103]","[-1.0, -1.0, -1.0]","[0.0214, -0.0152, -0.0436]","[-0.4328, -0.4694, -0.4978]","[0.9875, 0.9759, 0.9474]","[0.9782, 0.9852, 0.9568]","[0.9617, 0.9251, 0.8967]","[0.9676, 0.9958, 0.9674]","[0.9946, 0.958, 0.9296]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9786, 0.9848, 0.9564]","[None, None, None]"
AVIV.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9908, 0.964, 0.8725]","[0.9971, 0.9761, 0.8846]","[None, None, None]","[None, None, None]","[0.9696, 0.9428, 0.8513]","[0.9842, 0.9574, 0.8659]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVRT.TA,"[0.1092, 0.0237, 0.2164]","[-1.0, -1.0, -0.9231]","[0.0634, -0.0221, 0.1707]","[0.1554, 0.0699, 0.2626]","[0.8022, 0.8877, 0.695]","[0.7378, 0.8233, 0.6306]","[None, None, None]","[None, None, None]","[0.9401, 0.9743, 0.8329]","[None, None, None]","[0.0694, -0.0162, 0.1766]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AYAL.TA,"[0.9969, 0.9088, 0.7892]","[0.9969, 0.9088, 0.7892]","[None, None, None]","[None, None, None]","[0.9969, 0.9088, 0.7892]","[0.9969, 0.9088, 0.7892]","[0.9969, 0.9088, 0.7892]","[0.9969, 0.9088, 0.7892]","[0.9969, 0.9088, 0.7892]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRM.TA,"[-1.0, -1.0, -1.0]","[0.3903, 0.4174, 0.4699]","[0.4488, 0.4217, 0.3692]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.131, 0.158, 0.2105]","[0.0513, 0.0784, 0.1309]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BKRY.TA,"[0.9861, 0.9606, 0.978]","[0.9861, 0.9606, 0.978]","[0.9861, 0.9606, 0.978]","[0.9861, 0.9606, 0.978]","[0.9881, 0.9586, 0.976]","[0.8011, 0.8545, 0.837]","[None, None, None]","[-0.0049, 0.0484, 0.031]","[0.9861, 0.9606, 0.978]","[0.4482, 0.5015, 0.4841]","[0.8805, 0.8272, 0.8446]","[-1.0, -1.0, -1.0]","[0.083, 0.0297, 0.0471]","[None, None, None]","[None, None, None]"
BIOV.TA,"[0.2187, 0.2121, 0.1924]","[0.9378, 0.9312, 0.9115]","[0.8356, 0.829, 0.8093]","[0.1379, 0.1312, 0.1115]","[0.8587, 0.852, 0.8323]","[0.565, 0.5584, 0.5387]","[None, None, None]","[None, None, None]","[0.962, 0.9554, 0.9357]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.4194, 0.426, 0.4457]","[-0.1608, -0.1674, -0.1871]","[None, None, None]","[None, None, None]"
BOLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BONS.TA,"[None, None, None]","[None, None, None]","[0.8833, 0.9317, 0.9657]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9759, 0.9275, 0.8935]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
