,Revenue,Net Income,Earnings Per Share (EPS),Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Gross Profit,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Operating Cash Flow,Number of Outstanding Shares
ACRO.TA,"[0.1441, 0.2538, 0.0816]","[0.6528, 0.7625, 0.5903]","[0.9896, 0.8799, 0.9479]","[0.3147, 0.4244, 0.2522]","[0.9528, 0.9375, 0.8902]","[0.9309, 0.9594, 0.8684]","[0.8577, 0.748, 0.9202]","[1.0, 0.8903, 0.9375]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.968, 0.9866, 0.8746]","[0.9678, 0.9868, 0.8744]","[0.9575, 0.9971, 0.8641]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALMA.TA,"[-0.01, -0.0197, -0.1132]","[0.7154, 0.7251, 0.8185]","[None, None, None]","[None, None, None]","[0.9651, 0.9748, 0.9318]","[0.9313, 0.9409, 0.9656]","[0.8703, 0.8606, 0.7671]","[1.0, 0.9903, 0.8969]","[-0.3124, -0.3221, -0.4155]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALUMA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9971, 0.8097]","[1.0, 0.9971, 0.8097]","[0.9377, 0.9348, 0.872]","[0.5176, 0.5147, 0.7079]","[0.9958, 0.993, 0.8139]","[None, None, None]","[None, None, None]","[0.098, 0.0951, 0.2883]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.9939, 0.9485, 0.9362]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.0562, 0.0013, -0.114]","[0.8799, 0.9375, 0.8222]","[0.5817, 0.6392, 0.5239]","[-1.0, -1.0, -1.0]","[1.0, 0.9424, 0.9422]","[1.0, 0.9424, 0.9422]","[None, None, None]","[None, None, None]","[0.791, 0.8486, 0.7333]","[0.9031, 0.9607, 0.8454]","[None, None, None]","[None, None, None]"
AURA.TA,"[0.0011, -0.0099, -0.0871]","[0.3574, 0.3464, 0.2692]","[0.3573, 0.3462, 0.2691]","[0.1758, 0.1648, 0.0876]","[0.6984, 0.6874, 0.6102]","[0.8118, 0.8008, 0.7236]","[0.9525, 0.9415, 0.8643]","[-1.0, -0.989, -0.9118]","[-0.0418, -0.0528, -0.13]","[0.6612, 0.6722, 0.7494]","[-0.3143, -0.3253, -0.4025]","[0.9446, 0.9335, 0.8564]","[0.8954, 0.8844, 0.8072]","[-1.0, -1.0, -1.0]","[None, None, None]"
AVIV.TA,"[-0.4864, -0.4195, -0.5804]","[0.8153, 0.7484, 0.9093]","[0.8246, 0.7577, 0.9186]","[0.8196, 0.8865, 0.7256]","[0.903, 0.9698, 0.8089]","[0.8167, 0.8836, 0.7227]","[0.9746, 0.9077, 0.9314]","[None, None, None]","[0.8272, 0.7604, 0.9213]","[-0.6927, -0.7596, -0.5987]","[0.2138, 0.2807, 0.1198]","[0.6248, 0.5579, 0.7188]","[0.9674, 0.9006, 0.9385]","[None, None, None]","[1.0, 0.9331, 0.906]"
BKFR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8984, 0.9549, 0.8341]","[1.0, 0.9434, 0.7324]","[0.8585, 0.9151, 0.8739]","[1.0, 0.9434, 0.7324]","[1.0, 0.9434, 0.7324]","[1.0, 0.9434, 0.7324]","[1.0, 0.9434, 0.7324]","[1.0, 0.9434, 0.7324]","[1.0, 0.9434, 0.7324]","[1.0, 0.9434, 0.7324]","[None, None, None]"
BIOV.TA,"[0.3194, 0.3847, 0.4307]","[-0.0275, -0.0928, -0.1388]","[0.4375, 0.3722, 0.3262]","[None, None, None]","[0.981, 0.9538, 0.9077]","[0.9897, 0.945, 0.899]","[0.9768, 0.9579, 0.9119]","[None, None, None]","[0.2589, 0.3242, 0.3702]","[-1.0, -1.0, -1.0]","[-0.0314, -0.0967, -0.1428]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
