,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares,Earnings Per Share (EPS)
ACCL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACRO.TA,"[0.0019, -0.0731, -0.104]","[0.0018, -0.0733, -0.1041]","[0.0018, -0.0732, -0.1041]","[0.0019, -0.0732, -0.1041]","[0.0008, 0.0759, 0.1067]","[0.0004, -0.0746, -0.1055]","[0.001, -0.074, -0.1049]","[0.001, -0.0741, -0.1049]","[0.001, -0.074, -0.1049]","[0.001, -0.074, -0.1049]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[1.0, 0.924, 0.9329]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.2747, 0.1987, 0.2076]","[0.5123, 0.4363, 0.4452]","[0.9896, 0.9344, 0.9432]","[0.9915, 0.9155, 0.9244]","[0.9916, 0.9157, 0.9245]","[1.0, 0.924, 0.9329]","[-1.0, -1.0, -1.0]","[0.8935, 0.9695, 0.9606]","[0.9864, 0.9376, 0.9465]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.002, -0.0059, -0.0932]","[0.0016, -0.0063, -0.0935]","[0.0018, -0.0061, -0.0934]","[0.0017, -0.0062, -0.0934]","[0.0001, 0.0081, 0.0953]","[0.0016, 0.0096, 0.0968]","[0.001, -0.007, -0.0942]","[0.001, -0.007, -0.0942]","[0.001, -0.0069, -0.0941]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.5915, 0.5476, 0.7548]","[0.2594, 0.2155, 0.4227]","[0.5447, 0.5008, 0.708]","[0.3893, 0.3454, 0.5527]","[None, None, None]","[None, None, None]","[0.991, 0.9651, 0.8277]","[0.9768, 0.9792, 0.8135]","[0.983, 0.9391, 0.8537]","[0.7778, 0.7339, 0.9411]","[None, None, None]","[0.2503, 0.2942, 0.087]","[0.9749, 0.9309, 0.8618]","[1.0, 0.9561, 0.8367]","[None, None, None]"
ALBA.TA,"[-0.0645, -0.0518, 0.1022]","[-1.0, -1.0, -1.0]","[0.02, 0.0326, 0.1866]","[0.4407, 0.4534, 0.6074]","[0.9902, 0.9971, 0.8431]","[-1.0, -1.0, -1.0]","[0.9669, 0.9542, 0.8003]","[0.967, 0.9544, 0.8004]","[0.9665, 0.9792, 0.8669]","[None, None, None]","[None, None, None]","[0.9144, 0.9271, 0.919]","[0.8518, 0.8391, 0.6852]","[None, None, None]","[-1.0, -1.0, -1.0]"
ALLT.TA,"[0.8129, 0.713, 0.7443]","[0.1753, 0.2752, 0.244]","[0.7132, 0.6132, 0.6445]","[0.1888, 0.2887, 0.2575]","[0.9033, 0.8034, 0.8346]","[None, None, None]","[0.8871, 0.987, 0.9558]","[0.8089, 0.9089, 0.8776]","[1.0, 0.9001, 0.9313]","[None, None, None]","[0.7134, 0.8134, 0.7821]","[None, None, None]","[None, None, None]","[0.9914, 0.8915, 0.9227]","[0.1667, 0.2666, 0.2354]"
ALMA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMD.TA,"[-0.207, -0.234, -0.3211]","[-1.0, -1.0, -1.0]","[-0.2622, -0.2892, -0.3763]","[-1.0, -1.0, -1.0]","[0.5328, 0.5058, 0.4187]","[0.7206, 0.7476, 0.8347]","[0.9977, 0.9707, 0.8836]","[0.8647, 0.8377, 0.7507]","[0.8452, 0.8181, 0.7311]","[None, None, None]","[-0.5255, -0.4985, -0.4114]","[None, None, None]","[-0.6964, -0.7234, -0.8105]","[0.9997, 0.9733, 0.8862]","[1.0, 0.973, 0.8859]"
AMRK.TA,"[0.0003, 0.0209, -0.012]","[0.004, 0.0246, -0.0083]","[0.0003, 0.0209, -0.012]","[0.0022, 0.0229, -0.01]","[-0.0198, 0.0008, -0.0321]","[0.0091, -0.0116, 0.0214]","[0.0011, 0.0217, -0.0112]","[0.0001, 0.0207, -0.0122]","[0.001, 0.0217, -0.0112]","[0.001, 0.0217, -0.0112]","[0.0023, 0.023, -0.0099]","[None, None, None]","[0.0007, 0.0213, -0.0116]","[None, None, None]","[-0.8462, -0.8668, -0.8339]"
