,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,"[0.4423, 0.5932, 0.938]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.3858, 0.5367, 0.8815]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.3819, -0.5328, -0.8776]","[0.3085, 0.4594, 0.8042]","[0.6373, 0.7882, 0.867]","[0.1111, 0.262, 0.6068]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[0.577, 0.5196, 0.7393]","[0.9434, 0.886, 0.8943]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.6592, 0.7166, 0.4969]","[0.9661, 0.9764, 0.8038]","[0.7704, 0.8279, 0.6081]","[0.9793, 0.9633, 0.817]","[-0.3924, -0.4498, -0.2301]","[0.9788, 0.9638, 0.8165]","[-1.0, -1.0, -1.0]","[0.5633, 0.5059, 0.7256]","[0.9255, 0.983, 0.7633]","[0.5668, 0.5093, 0.7291]","[None, None, None]"
AFRE.TA,"[0.4345, 0.4759, 0.5749]","[0.1199, 0.1612, 0.2602]","[None, None, None]","[0.4552, 0.4966, 0.5956]","[0.4467, 0.4881, 0.5871]","[None, None, None]","[None, None, None]","[0.9733, 0.9853, 0.8863]","[0.9583, 0.9997, 0.9013]","[0.9902, 0.9489, 0.8499]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9781, 0.9805, 0.8815]","[-1.0, -1.0, -1.0]","[None, None, None]"
ARPT.TA,"[0.879, 0.8769, 0.7973]","[-0.0356, -0.0376, -0.1173]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9641, 0.962, 0.8824]","[0.9676, 0.9655, 0.8859]","[0.9609, 0.9589, 0.8792]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9023, 0.8384, 0.6845]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.9255, 0.9914, 0.8947]","[0.6531, 0.7362, 0.6223]","[0.6865, 0.7696, 0.6557]","[0.956, 0.9609, 0.9252]","[0.6511, 0.7342, 0.6203]","[-1.0, -1.0, -1.0]","[0.28, 0.1969, 0.3108]","[0.979, 0.8959, 0.9901]","[-0.0352, 0.0479, -0.066]","[0.9981, 0.915, 0.971]","[0.1685, 0.2516, 0.1377]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9794, 0.9375, 0.9486]"
ALMA.TA,"[0.3423, 0.3857, 0.4845]","[-0.8065, -0.7631, -0.6643]","[-0.9026, -0.8593, -0.7604]","[0.0566, 0.1, 0.1988]","[-0.3499, -0.3065, -0.2077]","[-0.3863, -0.4297, -0.5285]","[0.2416, 0.2849, 0.3838]","[0.9484, 0.905, 0.8062]","[0.972, 0.9846, 0.8858]","[0.6552, 0.6118, 0.513]","[None, None, None]","[0.3308, 0.3742, 0.473]","[0.8457, 0.8891, 0.9879]","[None, None, None]","[None, None, None]"
ALHE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[-0.0178, -0.0238, -0.0279]","[-0.0175, -0.0235, -0.0276]","[0.9812, 0.9752, 0.9711]","[-0.0178, -0.0238, -0.0279]","[-0.0174, -0.0234, -0.0275]","[0.0254, 0.0315, 0.0355]","[0.0198, 0.0259, 0.0299]","[-0.0178, -0.0238, -0.0279]","[-0.0177, -0.0238, -0.0278]","[-0.0177, -0.0238, -0.0278]","[None, None, None]","[-0.0188, -0.0248, -0.0288]","[-0.0185, -0.0245, -0.0286]","[None, None, None]","[None, None, None]"
AMOT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.0132, -0.0148, -0.0108]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
ASHO.TA,"[0.5838, 0.6025, 0.6069]","[-0.8943, -0.8757, -0.8713]","[0.2886, 0.3073, 0.3117]","[0.5919, 0.6105, 0.615]","[-1.0, -1.0, -1.0]","[0.8539, 0.8353, 0.8309]","[0.8094, 0.828, 0.8324]","[0.9792, 0.9979, 0.9977]","[0.8908, 0.8722, 0.8678]","[0.9796, 0.9982, 0.9974]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASGR.TA,"[0.4193, 0.4632, 0.1965]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.4543, 0.4983, 0.2315]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8979, 0.9418, 0.6751]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AURA.TA,"[-0.0198, -0.0718, -0.4778]","[-0.0203, -0.0723, -0.4783]","[0.9787, 0.9267, 0.5207]","[None, None, None]","[None, None, None]","[-0.0108, -0.0628, -0.4689]","[-0.0102, -0.0622, -0.4683]","[-0.0203, -0.0723, -0.4783]","[-0.0203, -0.0723, -0.4784]","[-0.0202, -0.0722, -0.4783]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVIV.TA,"[None, None, None]","[0.7269, 0.6303, 0.4326]","[None, None, None]","[0.9714, 0.8749, 0.6772]","[0.9188, 0.9847, 0.787]","[0.9262, 0.9772, 0.7795]","[0.6909, 0.7874, 0.9851]","[0.9985, 0.905, 0.7073]","[0.7931, 0.8897, 0.9126]","[0.9989, 0.9024, 0.7047]","[0.5846, 0.488, 0.2903]","[None, None, None]","[-0.5766, -0.4801, -0.2824]","[-1.0, -1.0, -1.0]","[None, None, None]"
AVRT.TA,"[0.4652, 0.4201, 0.9325]","[0.9357, 0.8906, 0.597]","[0.9255, 0.9706, 0.4582]","[0.4205, 0.3754, 0.8878]","[-0.0633, -0.1084, 0.404]","[0.9754, 0.9303, 0.5573]","[0.7385, 0.6933, 0.7943]","[0.8593, 0.9044, 0.392]","[0.8247, 0.8698, 0.3574]","[0.984, 0.9389, 0.5487]","[0.8254, 0.7803, 0.7073]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
