,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Short-Term Debt,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,"[0.3872, 0.3214, 0.2383]","[-0.6107, -0.6765, -0.7595]","[0.9995, 0.9337, 0.8507]","[0.7608, 0.6951, 0.612]","[0.9417, 0.8759, 0.7929]","[-1.0, -1.0, -1.0]","[0.0213, 0.087, 0.1701]","[0.9463, 0.8805, 0.7975]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[-0.1668, -0.1834, -0.1973]","[0.9937, 0.9771, 0.9631]","[0.9937, 0.9771, 0.9631]","[-0.0367, -0.0534, -0.0673]","[0.9872, 0.9961, 0.9822]","[0.9858, 0.9692, 0.9553]","[0.2651, 0.2484, 0.2345]","[0.9821, 0.9655, 0.9516]","[-1.0, -1.0, -1.0]","[0.7731, 0.7897, 0.8037]","[0.9525, 0.9691, 0.9831]","[0.4653, 0.482, 0.4959]","[0.5834, 0.6001, 0.614]","[-1.0, -1.0, -1.0]","[0.9503, 0.9336, 0.9197]"
ADGR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFPR.TA,"[None, None, None]","[0.1905, 0.1619, -0.0131]","[None, None, None]","[None, None, None]","[0.0206, -0.0079, -0.183]","[0.1347, 0.1061, -0.0689]","[None, None, None]","[0.0168, -0.0118, -0.1868]","[0.1626, 0.1341, -0.0409]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[-0.0056, -0.029, -0.1448]","[-0.0053, -0.0287, -0.1445]","[-1.0, -1.0, -1.0]","[-0.0054, -0.0288, -0.1447]","[-0.0062, -0.0297, -0.1455]","[-0.0063, -0.0297, -0.1455]","[0.2096, 0.1861, 0.0703]","[-0.0061, -0.0296, -0.1454]","[-0.0054, -0.0288, -0.1446]","[-0.9107, -0.8873, -0.7715]","[0.2828, 0.3062, 0.422]","[-0.4973, -0.5207, -0.6365]","[0.0482, 0.0247, -0.0911]","[-0.0059, -0.0293, -0.1452]","[0.9928, 0.9694, 0.8536]"
ARPT.TA,"[0.994, 0.9785, 0.8581]","[0.994, 0.9785, 0.8581]","[0.994, 0.9785, 0.8581]","[0.994, 0.9785, 0.8581]","[0.994, 0.9785, 0.8581]","[0.9808, 0.9917, 0.8713]","[None, None, None]","[0.994, 0.9785, 0.8581]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.5103, 0.4476, 0.2273]","[-0.0725, -0.0099, 0.2105]","[-0.0732, -0.0106, 0.2098]","[0.8005, 0.7379, 0.5175]","[0.9396, 0.9978, 0.7774]","[0.9584, 0.9789, 0.7586]","[None, None, None]","[0.8936, 0.9563, 0.8234]","[0.806, 0.8686, 0.911]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.927, 0.867, 0.6816]","[0.7805, 0.7205, 0.5352]","[0.7355, 0.6755, 0.4901]","[0.9238, 0.8638, 0.6785]","[0.9562, 0.9838, 0.7985]","[0.9054, 0.9654, 0.8492]","[None, None, None]","[0.9887, 0.9513, 0.766]","[0.5964, 0.5364, 0.351]","[-1.0, -1.0, -1.0]","[-0.3417, -0.4017, -0.5871]","[0.2043, 0.2643, 0.4497]","[None, None, None]","[None, None, None]","[0.9986, 0.9386, 0.7533]"
AMDA.TA,"[1.0, 0.8758, 0.8063]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9787, 0.8971, 0.8276]","[0.8929, 0.9829, 0.9133]","[None, None, None]","[0.9806, 0.8952, 0.8257]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9387, 0.9372, 0.8676]","[None, None, None]","[None, None, None]"
ALMA.TA,"[0.4618, 0.503, 0.8135]","[-1.0, -1.0, -1.0]","[0.5674, 0.5263, 0.2157]","[0.4908, 0.532, 0.8426]","[0.8975, 0.9387, 0.7508]","[0.8878, 0.929, 0.7605]","[0.6802, 0.7213, 0.9681]","[0.9321, 0.9733, 0.7162]","[0.5558, 0.5146, 0.204]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7391, 0.7802, 0.9092]","[0.5952, 0.554, 0.2435]","[None, None, None]"
