,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Total Assets,Total Liabilities,Shareholders’ Equity,Dividends Paid,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Number of Outstanding Shares
ACRO.TA,"[0.1612, 0.1963, 0.026]","[-1.0, -1.0, -1.0]","[-0.9474, -0.9122, -1.0]","[-0.5132, -0.478, -0.6484]","[-0.8902, -0.8551, -1.0]","[0.8469, 0.882, 0.7117]","[0.7944, 0.8295, 0.6592]","[0.7374, 0.7725, 0.6022]","[1.0, 0.9649, 0.8648]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9135, 0.8947, 0.9706]","[0.9846, 0.9658, 0.8995]","[0.9592, 0.9404, 0.9249]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.9305, 0.9696, 0.7832]","[1.0, 0.9002, 0.7138]","[-1.0, -1.0, -1.0]","[0.858, 0.7582, 0.5717]","[-1.0, -1.0, -1.0]","[1.0, 0.9002, 0.7138]","[0.5731, 0.673, 0.8594]","[0.9649, 0.8651, 0.6786]","[None, None, None]","[0.0539, 0.1537, 0.3401]","[0.8, 0.8998, 0.9138]","[-0.0951, -0.1949, -0.3813]","[0.9139, 0.9863, 0.7999]","[0.8852, 0.9851, 0.8285]","[None, None, None]"
ALMA.TA,"[0.571, 0.5027, 0.4624]","[0.6151, 0.5468, 0.5065]","[None, None, None]","[0.6166, 0.5483, 0.508]","[None, None, None]","[0.7218, 0.6535, 0.6132]","[0.6717, 0.6034, 0.5631]","[0.9226, 0.8544, 0.8141]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.001, 0.0126, 0.2127]","[0.001, 0.0125, 0.2127]","[1.0, 0.9884, 0.7883]","[0.001, 0.0126, 0.2127]","[0.0012, 0.0127, 0.2129]","[0.001, 0.0125, 0.2127]","[0.0009, 0.0125, 0.2127]","[0.001, 0.0126, 0.2127]","[0.001, 0.0126, 0.2127]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0012, 0.0127, 0.2129]","[None, None, None]","[None, None, None]"
AURA.TA,"[0.466, 0.4655, 0.3902]","[0.6335, 0.6329, 0.5576]","[0.5159, 0.5153, 0.44]","[0.4446, 0.444, 0.3687]","[0.6073, 0.6067, 0.5314]","[0.9313, 0.9308, 0.8555]","[0.9433, 0.9428, 0.8675]","[0.9643, 0.9637, 0.8884]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.795, 0.7956, 0.8709]","[0.4185, 0.4179, 0.3426]","[None, None, None]"
AZRG.TA,"[None, None, None]","[0.0005, -0.0951, 0.0161]","[0.1142, 0.0186, 0.1298]","[None, None, None]","[None, None, None]","[0.0011, -0.0945, 0.0167]","[None, None, None]","[0.001, -0.0945, 0.0166]","[0.001, -0.0946, 0.0166]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9044, 0.9844]"
BKFR.TA,"[1.0, 0.9885, 0.8385]","[1.0, 0.9885, 0.8385]","[1.0, 0.9885, 0.8385]","[1.0, 0.9885, 0.8385]","[None, None, None]","[0.8699, 0.8584, 0.7084]","[1.0, 0.9885, 0.8385]","[1.0, 0.9885, 0.8385]","[-1.0, -1.0, -1.0]","[1.0, 0.9885, 0.8385]","[1.0, 0.9885, 0.8385]","[1.0, 0.9885, 0.8385]","[1.0, 0.9885, 0.8385]","[1.0, 0.9885, 0.8385]","[None, None, None]"
BIOV.TA,"[-0.442, -0.4904, -0.4386]","[-1.0, -1.0, -1.0]","[-0.2857, -0.3341, -0.2823]","[-0.5076, -0.556, -0.5042]","[None, None, None]","[0.9813, 0.9703, 0.9779]","[0.9898, 0.9617, 0.9864]","[0.9773, 0.9743, 0.9739]","[None, None, None]","[-0.1132, -0.0647, -0.1165]","[0.6514, 0.6029, 0.6547]","[0.435, 0.4834, 0.4316]","[None, None, None]","[None, None, None]","[None, None, None]"
BRIL.TA,"[0.512, 0.4755, 0.2902]","[0.821, 0.7845, 0.5992]","[0.8149, 0.7784, 0.5931]","[0.5496, 0.5131, 0.3278]","[0.7604, 0.7239, 0.5386]","[0.9546, 0.918, 0.7328]","[0.9475, 0.911, 0.7257]","[0.9698, 0.9332, 0.748]","[1.0, 0.9635, 0.7782]","[0.7817, 0.7452, 0.56]","[-0.3743, -0.3378, -0.1526]","[0.8564, 0.8199, 0.6346]","[0.6968, 0.7334, 0.9186]","[0.6891, 0.7256, 0.9108]","[None, None, None]"
CEL.TA,"[-1.0, -1.0, -0.9968]","[-0.7692, -0.7798, -0.7361]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.7684, -0.779, -0.7353]","[0.9657, 0.9764, 0.9326]","[0.9205, 0.9311, 0.8874]","[0.9135, 0.9029, 0.9466]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.4778, 0.4672, 0.5109]","[0.9735, 0.9841, 0.9404]","[None, None, None]"
CLIS.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DANH.TA,"[0.4536, 0.4712, 0.3725]","[0.6906, 0.7082, 0.6095]","[0.7143, 0.7319, 0.6332]","[0.6343, 0.6519, 0.5532]","[1.0, 0.9824, 0.9189]","[1.0, 0.9824, 0.9189]","[1.0, 0.9824, 0.9189]","[1.0, 0.9824, 0.9189]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9824, 0.9189]","[1.0, 0.9824, 0.9189]","[None, None, None]"
DLEA.TA,"[0.5474, 0.5821, 0.6413]","[0.4114, 0.4462, 0.5054]","[None, None, None]","[0.4946, 0.5294, 0.5885]","[0.4718, 0.5066, 0.5658]","[0.9804, 0.9456, 0.8864]","[0.9398, 0.905, 0.8459]","[0.9467, 0.9815, 0.9594]","[0.4968, 0.5316, 0.5908]","[-1.0, -1.0, -1.0]","[0.8983, 0.9331, 0.9923]","[-1.0, -1.0, -1.0]","[0.7925, 0.7577, 0.6985]","[0.9152, 0.8804, 0.8212]","[None, None, None]"
DLEKG.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DIMRI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8455, 0.8615, 0.9451]","[None, None, None]","[0.9726, 0.9887, 0.9278]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DSCT.TA,"[None, None, None]","[0.463, 0.5371, 0.4785]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9598, 0.9661, 0.9753]","[0.9588, 0.9671, 0.9743]","[0.9992, 0.9267, 0.9853]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9789, 0.947, 0.9944]","[None, None, None]"
DISI.TA,"[None, None, None]","[0.005, 0.1055, 0.2098]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6883, 0.7888, 0.8932]","[0.8768, 0.7763, 0.6719]","[0.0423, 0.1428, 0.2471]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
DRAL.TA,"[-1.0, -1.0, -1.0]","[-0.8686, -0.8886, -0.7268]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELAL.TA,"[0.7871, 0.839, 0.7684]","[0.6649, 0.613, 0.6836]","[None, None, None]","[-0.072, -0.0202, -0.0908]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9395, 0.8876, 0.9582]","[0.742, 0.7939, 0.7233]","[None, None, None]","[0.3497, 0.2978, 0.3684]","[None, None, None]","[-0.8182, -0.8701, -0.7995]","[0.2516, 0.1997, 0.2703]","[None, None, None]","[None, None, None]"
ECP.TA,"[0.4333, 0.4524, 0.283]","[0.7015, 0.7205, 0.5512]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9723, 0.9913, 0.822]","[None, None, None]","[0.9931, 0.974, 0.8566]","[1.0, 0.981, 0.8497]","[0.9403, 0.9593, 0.79]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELCP.TA,"[-1.0, -1.0, -1.0]","[-0.4732, -0.4456, -0.5136]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.5024, 0.4748, 0.5429]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
ELLO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENRG.TA,"[0.3645, 0.4972, 0.425]","[0.4217, 0.5543, 0.4822]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7782, 0.9109, 0.8387]","[0.6988, 0.8314, 0.7593]","[0.5435, 0.6761, 0.6039]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLV.TA,"[None, None, None]","[0.6839, 0.7161, 0.7557]","[0.6869, 0.7191, 0.7587]","[None, None, None]","[0.5375, 0.5697, 0.6093]","[0.9363, 0.9685, 0.9919]","[0.9678, 0.9356, 0.896]","[0.9239, 0.9561, 0.9957]","[None, None, None]","[0.4743, 0.5065, 0.5461]","[-1.0, -1.0, -1.0]","[0.5, 0.4678, 0.4282]","[None, None, None]","[None, None, None]","[0.9983, 0.9661, 0.9265]"
EVGN.TA,"[0.1512, 0.1694, 0.1286]","[0.6202, 0.602, 0.6428]","[0.6429, 0.6246, 0.6654]","[-1.0, -1.0, -1.0]","[0.5581, 0.5399, 0.5807]","[0.9519, 0.9701, 0.9293]","[0.6234, 0.6417, 0.6009]","[0.6735, 0.6553, 0.6961]","[None, None, None]","[None, None, None]","[0.9984, 0.9802, 0.979]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9995, 0.9823, 0.9769]"
FRSX.TA,"[0.1815, 0.1816, 0.0787]","[0.5292, 0.529, 0.6319]","[None, None, None]","[0.145, 0.1452, 0.0423]","[0.5017, 0.5015, 0.6044]","[0.8612, 0.8611, 0.9639]","[0.8823, 0.8821, 0.985]","[0.8589, 0.8588, 0.9616]","[None, None, None]","[None, None, None]","[-0.2628, -0.2629, -0.1601]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
