,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Long-Term Debt,Dividends Paid,Number of Outstanding Shares,Short-Term Debt
ACCL.TA,"[0.5292, 0.5932, 0.7122]","[0.9121, 0.8482, 0.7291]","[0.899, 0.9629, 0.918]","[0.7215, 0.7854, 0.9044]","[0.9741, 0.9101, 0.7911]","[0.9841, 0.9202, 0.8011]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.6774, 0.7413, 0.8604]","[-0.3593, -0.2954, -0.1763]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ARPT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.7633, 0.768, 0.908]","[None, None, None]","[-0.0879, -0.0832, 0.0568]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9606, 0.9654, 0.8946]","[0.9121, 0.9168, 0.9431]","[0.9944, 0.9897, 0.8497]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.017, -0.1372, 0.0422]","[0.0155, -0.1387, 0.0407]","[-0.4672, -0.313, -0.4924]","[0.0167, -0.1375, 0.0419]","[0.016, -0.1382, 0.0412]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0142, -0.14, 0.0394]","[0.0137, -0.1404, 0.039]","[0.0141, -0.1401, 0.0393]","[0.0139, -0.1403, 0.0391]","[0.0141, -0.1401, 0.0393]","[None, None, None]","[None, None, None]"
ALLT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9976, 0.862, 0.6813]","[0.8764, 0.7361, 0.5554]","[0.9916, 0.8681, 0.6874]","[None, None, None]","[None, None, None]","[0.9954, 0.855, 0.6744]","[None, None, None]"
ALHE.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.9602, 0.9885, 0.9071]","[0.8832, 0.9115, 0.9841]","[-1.0, -1.0, -1.0]","[0.8803, 0.9087, 0.9869]","[0.6876, 0.716, 0.8204]","[-0.0399, -0.0682, -0.1726]","[0.0595, 0.0879, 0.1923]","[0.0398, 0.0681, 0.1725]","[0.0764, 0.0481, -0.0563]","[0.0992, 0.0708, -0.0336]","[0.0806, 0.0523, -0.0521]","[None, None, None]","[0.7924, 0.764, 0.6597]","[0.2173, 0.189, 0.0846]","[None, None, None]"
AMOT.TA,"[0.6191, 0.6372, 0.6832]","[0.6716, 0.6898, 0.7357]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9455, 0.9637, 0.9904]","[0.8134, 0.8316, 0.8776]","[0.9274, 0.9455, 0.9915]","[None, None, None]","[0.7341, 0.7523, 0.7983]","[0.9707, 0.9889, 0.9652]","[None, None, None]"
ASHG.TA,"[0.5278, 0.5613, 0.7696]","[-0.5475, -0.514, -0.3057]","[None, None, None]","[0.8541, 0.8876, 0.9041]","[0.066, 0.0995, 0.3078]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9951, 0.9714, 0.7631]","[0.7583, 0.7248, 0.5165]","[0.974, 0.9925, 0.7842]","[0.8552, 0.8216, 0.6133]","[0.9951, 0.9714, 0.7631]","[None, None, None]","[None, None, None]"
AURA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AVIV.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9407, 0.974, 0.749]","[-1.0, -1.0, -1.0]","[0.1759, 0.1426, -0.1343]","[-1.0, -1.0, -1.0]","[0.6128, 0.6462, 0.9231]","[0.2211, 0.1877, -0.0892]","[0.2182, 0.1849, -0.0921]","[0.2732, 0.2398, -0.0371]","[0.4557, 0.4223, 0.1454]","[-0.0089, 0.0245, 0.3014]","[-0.8339, -0.8006, -0.5237]","[None, None, None]"
