,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Total Assets,Total Liabilities,Shareholders’ Equity,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Short-Term Debt,Long-Term Debt,Dividends Paid,Number of Outstanding Shares
ACCL.TA,"[0.5749, 0.5698, 0.5077]","[-1.0, -1.0, -1.0]","[-0.6618, -0.6668, -0.729]","[0.5208, 0.5157, 0.4536]","[0.9804, 0.9855, 0.9524]","[-0.0831, -0.0882, -0.1503]","[0.8517, 0.8466, 0.7845]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.143, -0.0567, -0.0066]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.2726, -0.1862, -0.1361]","[-1.0, -1.0, -1.0]","[-0.4571, -0.5435, -0.5936]","[-0.4642, -0.3779, -0.3277]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9137, 0.8635]"
ARPT.TA,"[0.0009, -0.0654, -0.1267]","[0.0074, -0.0589, -0.1202]","[-1.0, -1.0, -1.0]","[0.9857, 0.948, 0.8867]","[0.0011, -0.0652, -0.1264]","[0.0012, -0.0651, -0.1264]","[0.8361, 0.9023, 0.9636]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALBA.TA,"[0.0013, 0.0246, 0.1587]","[0.0072, -0.016, -0.1501]","[-1.0, -1.0, -1.0]","[0.0014, 0.0247, 0.1587]","[0.0009, 0.0242, 0.1583]","[0.0007, 0.024, 0.1581]","[0.0009, 0.0242, 0.1583]","[0.0009, 0.0242, 0.1582]","[None, None, None]","[0.0011, -0.0222, -0.1562]","[0.0008, 0.0241, 0.1581]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.9254, 0.7975, 0.6668]","[0.6886, 0.8165, 0.9472]","[0.625, 0.753, 0.8837]","[0.9274, 0.7994, 0.6687]","[0.9909, 0.863, 0.7323]","[0.3093, 0.1813, 0.0506]","[None, None, None]","[0.3391, 0.4671, 0.5978]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9961, 0.8682, 0.7375]"
AMDA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.5004, 0.4153, 0.4108]","[0.9619, 0.8767, 0.8722]","[0.5001, 0.415, 0.4105]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.7475, 0.8326, 0.8372]","[0.4686, 0.3835, 0.379]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALMA.TA,"[0.5097, 0.4438, 0.604]","[0.5613, 0.4953, 0.6556]","[-1.0, -1.0, -1.0]","[0.4456, 0.3797, 0.54]","[0.9724, 0.9064, 0.9333]","[0.4553, 0.5213, 0.361]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.2513, 0.1854, 0.3456]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.8412, 0.8711, 0.8847]","[-0.9983, -0.9684, -0.9549]","[-0.9933, -0.9634, -0.9499]","[None, None, None]","[0.9178, 0.9477, 0.9613]","[0.8906, 0.8607, 0.8471]","[-0.3561, -0.3262, -0.3126]","[None, None, None]","[0.0575, 0.0276, 0.014]","[0.4201, 0.45, 0.4636]","[0.0025, -0.0274, -0.041]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9994, 0.9707, 0.9571]"
AMRK.TA,"[0.0012, -0.0136, -0.1016]","[0.0013, -0.0135, -0.1015]","[-0.0256, -0.0109, 0.0771]","[0.0011, -0.0137, -0.1016]","[0.0005, -0.0143, -0.1022]","[0.0001, -0.0147, -0.1027]","[0.0001, -0.0147, -0.1026]","[0.0012, -0.0136, -0.1016]","[None, None, None]","[0.0037, 0.0185, 0.1065]","[0.0011, -0.0137, -0.1017]","[None, None, None]","[None, None, None]","[-0.001, 0.0138, 0.1018]","[None, None, None]"
AMOT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9455, 0.9976, 0.9754]","[0.6488, 0.701, 0.6787]","[0.9272, 0.9793, 0.9571]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6744, 0.7265, 0.7043]","[0.1394, 0.1915, 0.1693]","[0.9815, 0.9664, 0.9886]"
ASHO.TA,"[0.0011, -0.1689, -0.187]","[0.0062, -0.1638, -0.1819]","[-1.0, -1.0, -1.0]","[0.0014, -0.1686, -0.1867]","[0.0009, -0.1691, -0.1872]","[0.0008, -0.1692, -0.1873]","[0.0011, -0.1689, -0.187]","[0.0028, -0.1672, -0.1853]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASHG.TA,"[0.0014, -0.0115, -0.1309]","[0.0016, -0.0113, -0.1307]","[None, None, None]","[0.0014, -0.0115, -0.1309]","[0.0011, -0.0118, -0.1312]","[None, None, None]","[0.0019, -0.0109, -0.1303]","[0.0015, -0.0114, -0.1307]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASGR.TA,"[0.0014, -0.046, -0.1789]","[0.0044, -0.043, -0.1759]","[None, None, None]","[None, None, None]","[0.0015, -0.0458, -0.1787]","[0.0014, -0.0459, -0.1788]","[0.0022, -0.0452, -0.178]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0012, -0.0461, -0.179]","[None, None, None]","[0.9003, 0.9477, 0.9194]"
AUDC.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9977, 0.9503, 0.9041]","[0.9808, 0.9671, 0.9209]","[0.9902, 0.9381, 0.8919]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.6948, -0.6428, -0.5966]","[0.0167, 0.0687, 0.1149]","[-1.0, -1.0, -1.0]","[0.9643, 0.9122, 0.866]","[0.9999, 0.9478, 0.9017]"
AVGL.TA,"[0.7692, 0.8608, 0.7413]","[0.2214, 0.1299, 0.2493]","[0.2177, 0.1262, 0.2457]","[0.6767, 0.5852, 0.7046]","[0.9457, 0.9628, 0.9178]","[0.9451, 0.9634, 0.9172]","[0.9469, 0.9616, 0.919]","[0.4388, 0.3472, 0.4667]","[None, None, None]","[0.1814, 0.0899, 0.2094]","[-1.0, -1.0, -1.0]","[0.2107, 0.3022, 0.1827]","[0.139, 0.2305, 0.1111]","[None, None, None]","[1.0, 0.9085, 0.9721]"
AVIV.TA,"[0.9207, 0.8917, 0.8271]","[0.7939, 0.765, 0.7004]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9845, 0.9866, 0.922]","[0.7637, 0.7926, 0.8572]","[0.9897, 0.9608, 0.8962]","[0.479, 0.5079, 0.5725]","[None, None, None]","[0.2371, 0.2661, 0.3306]","[-0.1975, -0.2265, -0.291]","[0.9976, 0.9734, 0.9089]","[0.3139, 0.2849, 0.2204]","[-1.0, -1.0, -1.0]","[1.0, 0.971, 0.9065]"
AVRT.TA,"[0.6479, 0.6021, 0.6175]","[-0.774, -0.8199, -0.8045]","[-1.0, -1.0, -1.0]","[0.8318, 0.786, 0.8014]","[0.5984, 0.5526, 0.568]","[0.8999, 0.854, 0.8695]","[-0.1838, -0.2297, -0.2143]","[0.1728, 0.127, 0.1424]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9542, 0.9696]"
AYAL.TA,"[None, None, None]","[-0.3613, -0.4316, -0.368]","[None, None, None]","[None, None, None]","[-0.2552, -0.185, -0.2486]","[-0.3747, -0.3045, -0.3681]","[0.7089, 0.7791, 0.7155]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.3987, -0.3285, -0.3921]","[None, None, None]","[None, None, None]"
AZRM.TA,"[0.0012, -0.0249, -0.1393]","[0.0029, -0.0232, -0.1376]","[-0.8868, -0.8607, -0.7463]","[0.0012, -0.0249, -0.1393]","[0.0014, -0.0247, -0.1391]","[0.0009, -0.0252, -0.1396]","[0.0011, -0.025, -0.1394]","[None, None, None]","[0.0005, -0.0256, -0.14]","[0.0012, 0.0273, 0.1417]","[0.0016, -0.0245, -0.1389]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9272, 0.9158, 0.9193]","[None, None, None]","[0.8794, 0.8679, 0.8715]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9167, 0.9052, 0.9088]","[1.0, 0.9885, 0.9921]"
BCOM.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BSEN.TA,"[0.5831, 0.6419, 0.6614]","[-1.0, -1.0, -1.0]","[0.931, 0.9899, 0.9906]","[-1.0, -1.0, -1.0]","[0.973, 0.9141, 0.8946]","[0.4894, 0.4305, 0.411]","[0.9909, 0.9503, 0.9308]","[-1.0, -1.0, -1.0]","[0.068, 0.1268, 0.1463]","[0.2582, 0.317, 0.3365]","[-0.5841, -0.6429, -0.6624]","[None, None, None]","[0.7712, 0.7123, 0.6928]","[None, None, None]","[None, None, None]"
BEZQ.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BIG.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.0067, 0.0241, -0.0081]","[None, None, None]","[0.0049, 0.0224, -0.0099]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BKRY.TA,"[0.0014, 0.0062, -0.0002]","[0.0005, 0.0052, -0.0011]","[0.3214, 0.3262, 0.3199]","[0.0015, 0.0062, -0.0001]","[0.001, 0.0058, -0.0006]","[0.0018, 0.0066, 0.0003]","[0.0033, 0.0081, 0.0018]","[0.0021, 0.0069, 0.0005]","[0.0012, 0.006, -0.0004]","[0.0007, -0.0041, 0.0022]","[-0.0011, 0.0037, -0.0027]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BOLT.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9963, 0.9707, 0.966]"
BONS.TA,"[None, None, None]","[0.0041, -0.2077, -0.3369]","[-0.6667, -0.4549, -0.3257]","[None, None, None]","[0.002, 0.2138, 0.343]","[0.001, 0.2128, 0.3419]","[0.0028, 0.2146, 0.3437]","[0.0043, -0.2075, -0.3366]","[None, None, None]","[0.0018, -0.21, -0.3391]","[0.001, 0.2128, 0.3419]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
BCNV-M.TA,"[0.8176, 0.8757, 0.9319]","[0.784, 0.726, 0.5336]","[0.784, 0.7259, 0.5335]","[None, None, None]","[1.0, 0.942, 0.7495]","[0.7066, 0.7646, 0.9571]","[0.9219, 0.98, 0.8276]","[0.917, 0.975, 0.8326]","[1.0, 0.942, 0.7495]","[-0.1912, -0.2492, -0.4416]","[0.0767, 0.1347, 0.3271]","[0.4887, 0.5467, 0.7391]","[0.6158, 0.6739, 0.8663]","[None, None, None]","[None, None, None]"
BRIL.TA,"[0.0014, -0.0371, -0.0345]","[0.0015, -0.0371, -0.0345]","[-1.0, -1.0, -1.0]","[0.0013, -0.0373, -0.0347]","[0.001, -0.0375, -0.035]","[0.0006, -0.0379, -0.0353]","[0.0011, -0.0374, -0.0348]","[0.0014, -0.0371, -0.0345]","[None, None, None]","[None, None, None]","[0.0009, 0.0394, 0.0368]","[0.0009, -0.0377, -0.0351]","[None, None, None]","[None, None, None]","[None, None, None]"
CISY.TA,"[0.9333, 0.9224, 0.9658]","[0.8312, 0.8204, 0.8638]","[0.7778, 0.7669, 0.8103]","[0.8992, 0.8883, 0.9317]","[1.0, 0.9891, 0.9675]","[0.9442, 0.9333, 0.9767]","[1.0, 0.9891, 0.9675]","[0.9529, 0.9638, 0.9204]","[None, None, None]","[0.3683, 0.3791, 0.3357]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -0.9928]","[0.9488, 0.9597, 0.9163]"
CAMT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.4034, 0.2566, 0.2796]","[-1.0, -1.0, -1.0]","[0.9485, 0.8016, 0.8246]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9728, 0.8259, 0.8489]"
CAST.TA,"[0.0014, 0.0315, -0.0953]","[0.0016, 0.0317, -0.0951]","[0.7642, 0.7341, 0.8609]","[0.0014, 0.0315, -0.0954]","[0.001, 0.0311, -0.0957]","[0.0006, 0.0306, -0.0962]","[0.001, 0.0311, -0.0957]","[0.0013, 0.0314, -0.0954]","[0.0014, 0.0314, -0.0954]","[0.0019, -0.0282, 0.0986]","[0.0003, -0.0298, 0.097]","[0.0081, 0.0382, -0.0886]","[0.001, 0.0311, -0.0958]","[None, None, None]","[None, None, None]"
CEL.TA,"[0.6469, 0.7036, 0.9545]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8034, 0.7467, 0.4957]","[0.9499, 0.8932, 0.6422]","[0.9295, 0.8728, 0.6219]","[0.999, 0.9443, 0.6934]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CBI.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.881, 0.7757, 0.9511]","[0.1447, 0.2501, 0.0746]","[0.4388, 0.3334, 0.5089]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLIS.TA,"[None, None, None]","[-0.8976, -0.93, -0.9477]","[None, None, None]","[None, None, None]","[0.9897, 0.9779, 0.9602]","[0.9393, 0.9069, 0.8892]","[0.9897, 0.9573, 0.9396]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
