,Total Assets,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Number of Outstanding Shares,Long-Term Debt
ADGR.TA,"[0.8915, 0.8534, 0.6642]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.9855, 0.9893, 0.9418]","[0.663, 0.6668, 0.6193]","[0.6691, 0.6729, 0.6253]","[0.9873, 0.9835, 0.9689]","[0.7339, 0.7377, 0.6902]","[0.8828, 0.879, 0.9265]","[0.9991, 0.9971, 0.9554]","[None, None, None]"
ALBA.TA,"[0.9858, 0.9665, 0.8418]","[0.9485, 0.9292, 0.8045]","[-1.0, -1.0, -1.0]","[-0.276, -0.2953, -0.4199]","[0.7602, 0.7795, 0.9041]","[0.106, 0.1253, 0.2499]","[None, None, None]","[0.9883, 0.9924, 0.8677]"
ALLT.TA,"[0.9792, 0.9956, 0.8374]","[-1.0, -1.0, -1.0]","[-0.4768, -0.4516, -0.2934]","[0.3143, 0.3395, 0.4977]","[-1.0, -1.0, -1.0]","[-0.4663, -0.4411, -0.2829]","[0.9329, 0.9077, 0.7495]","[0.9987, 0.9735, 0.8153]"
ALMA.TA,"[None, None, None]","[0.7585, 0.7017, 0.5907]","[0.6523, 0.5955, 0.4846]","[0.0323, 0.0891, 0.2]","[0.7762, 0.7194, 0.6085]","[None, None, None]","[None, None, None]","[None, None, None]"
AMD.TA,"[0.9179, 0.8553, 0.9478]","[0.7369, 0.7994, 0.7069]","[0.7149, 0.6524, 0.7449]","[0.0559, -0.0067, 0.0858]","[0.7519, 0.8144, 0.722]","[0.8918, 0.8292, 0.9217]","[None, None, None]","[0.0, -0.0625, 0.0299]"
AMRK.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9038, 0.9339, 0.951]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
AMOT.TA,"[0.9417, 0.9632, 0.8935]","[0.4516, 0.4731, 0.4034]","[-1.0, -1.0, -1.0]","[0.0164, -0.0051, 0.0646]","[None, None, None]","[None, None, None]","[0.9962, 0.9823, 0.948]","[0.7697, 0.7912, 0.7215]"
APLP.TA,"[0.6372, 0.7163, 0.3583]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.3011, 0.2221, 0.58]","[-0.8378, -0.7588, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
ARD.TA,"[0.9451, 0.9385, 0.8911]","[0.6546, 0.648, 0.6006]","[0.5506, 0.5441, 0.4967]","[-1.0, -1.0, -1.0]","[0.6705, 0.6639, 0.6165]","[None, None, None]","[None, None, None]","[0.9054, 0.912, 0.9594]"
