,Earnings Per Share (EPS),Revenue,Net Income,Operating Income (EBIT),Total Assets,Long-Term Debt,Gross Profit,Number of Outstanding Shares
ACCL.TA,"[0.6844, 0.7117, 0.5357]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[None, None, None]","[0.7924, 0.6805, 0.8575]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9842, 0.8723, 0.9507]","[0.9019, 0.9862, 0.8368]","[None, None, None]","[None, None, None]"
AFHL.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
AFPR.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[0.2436, 0.1259, 0.3454]","[0.7633, 0.6457, 0.8651]","[0.9921, 0.8745, 0.9061]","[None, None, None]","[0.7562, 0.6385, 0.858]","[None, None, None]"
ARPT.TA,"[0.2947, 0.2171, 0.2821]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.6059, 0.5283, 0.5933]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
ALAR.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -0.7365]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8459, 0.8812, -0.048]","[0.9257, 0.8015, -0.1277]","[-1.0, -1.0, -0.3906]","[None, None, None]"
ALBA.TA,"[-0.4288, -0.3635, -0.273]","[0.6785, 0.7437, 0.8342]","[0.3693, 0.4345, 0.525]","[0.6164, 0.6816, 0.7721]","[0.9642, 0.8989, 0.8084]","[0.8825, 0.8173, 0.7267]","[0.6423, 0.7075, 0.798]","[None, None, None]"
ALLT.TA,"[0.1422, 0.1664, 0.1207]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8613, 0.8855, 0.8398]","[0.9872, 0.9886, 0.9657]","[-1.0, -1.0, -1.0]","[0.9743, 0.9501, 0.9958]"
ALMA.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8721, 0.7805, 0.9855]"
ALHE.TA,"[0.7224, 0.511, 0.7083]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
AMOT.TA,"[0.0089, 0.0984, 0.0497]","[0.9621, 0.8726, 0.9213]","[0.4875, 0.3981, 0.4467]","[0.6889, 0.5995, 0.6481]","[0.9948, 0.9053, 0.954]","[0.8624, 0.773, 0.8216]","[None, None, None]","[0.9976, 0.913, 0.9616]"
ASGR.TA,"[None, None, None]","[0.7244, 0.9215, 0.7519]","[0.7834, 0.5864, 0.7559]","[None, None, None]","[0.944, 0.859, 0.9715]","[0.8773, 0.9257, 0.9048]","[0.8402, 0.6431, 0.8127]","[None, None, None]"
AUDC.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.0352, -0.1614, 0.0815]","[-0.4892, -0.6155, -0.3725]","[0.9823, 0.856, 0.901]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9327, 0.941, 0.816]"
AZRG.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.9674, 0.9604, 0.8494]"
BCOM.TA,"[0.7169, 0.8166, 0.8175]","[0.687, 0.5873, 0.5865]","[0.6784, 0.7781, 0.7789]","[-0.0381, -0.1378, -0.1386]","[0.9332, 0.9671, 0.9663]","[None, None, None]","[None, None, None]","[None, None, None]"
BONS.TA,"[0.803, 0.8195, 0.9592]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[0.647, 0.5096, 0.6898]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
CRML.TA,"[0.204, 0.1759, 0.0697]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.9029, -0.9311, -1.0]","[0.9587, 0.9306, 0.8244]","[0.6356, 0.6638, 0.77]","[-1.0, -1.0, -1.0]","[None, None, None]"
CAST.TA,"[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]"
DANH.TA,"[0.6598, 0.7207, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
DIPL.TA,"[-0.1449, -0.1923, -0.1245]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
DISI.TA,"[0.0079, -0.024, -0.0771]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
ELAL.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9885, 0.9721, 0.9903]","[0.9606, 0.9443, 0.9625]","[-1.0, -1.0, -1.0]","[1.0, 0.9837, 0.9981]"
ELCO.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ECP.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
ELCRE.TA,"[None, None, None]","[-0.1461, 0.0141, -0.1578]","[None, None, None]","[None, None, None]","[0.9705, 0.8693, 0.9588]","[None, None, None]","[None, None, None]","[None, None, None]"
ELWS.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[0.8619, 0.9934, 0.4872]","[None, None, None]","[-1.0, -1.0, -0.9832]","[None, None, None]"
ELLO.TA,"[-1.0, -1.0, -1.0]","[0.8502, 0.7065, 0.8305]","[0.1742, 0.318, 0.1939]","[-0.0156, 0.1281, 0.0041]","[0.9626, 0.8937, 0.9823]","[0.5047, 0.361, 0.485]","[0.8411, 0.9849, 0.8609]","[None, None, None]"
ENLV.TA,"[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.761, 0.8413, 0.3162]","[None, None, None]","[None, None, None]","[0.752, 0.6717, 0.8031]"
FRSX.TA,"[-1.0, -1.0, -1.0]","[0.3725, 0.4094, 0.1121]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9803, 0.9828, 0.7199]","[None, None, None]","[0.4056, 0.4425, 0.1452]","[None, None, None]"
FORTY.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9591, 0.8393, 0.9838]","[0.6716, 0.5518, 0.6963]","[-1.0, -1.0, -1.0]","[0.9688, 0.9114, 0.9441]"
GNRS.TA,"[0.3487, 0.5847, 0.2914]","[0.2874, 0.5234, 0.2301]","[0.4498, 0.2137, 0.507]","[-0.721, -0.9571, -0.6638]","[0.9885, 0.7754, 0.9313]","[None, None, None]","[0.4741, 0.7102, 0.4169]","[None, None, None]"
GLTL.TA,"[-1.0, -1.0, -1.0]","[0.5091, 0.4149, 0.8383]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9855, 0.8913, 0.6853]","[None, None, None]","[0.5623, 0.4681, 0.8915]","[0.6259, 0.5317, 0.9551]"
GOHO.TA,"[None, None, None]","[-1.0, -1.0, -1.0]","[-0.8133, -0.7056, -0.5791]","[0.4234, 0.5311, 0.6576]","[0.7884, 0.6807, 0.5542]","[0.5787, 0.4709, 0.3445]","[-1.0, -1.0, -0.996]","[None, None, None]"
