,Earnings Per Share (EPS),Number of Outstanding Shares,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Total Assets,Long-Term Debt
ACCL.TA,"[0.993, 0.7722, 0.7504]","[0.993, 0.7722, 0.7504]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ACKR.TA,"[0.9682, 0.9448, 0.8475]","[0.9682, 0.9448, 0.8475]","[-1.0, -1.0, -1.0]","[-0.1186, -0.0952, 0.0021]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -0.9123]","[0.9923, 0.9689, 0.8717]","[0.8907, 0.8673, 0.77]"
ADGR.TA,"[0.9938, 0.9715, 0.9874]","[0.9938, 0.9715, 0.9874]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9502, 0.9849, 0.9437]","[0.9554, 0.9207, 0.9618]"
ARDM.TA,"[0.9889, 0.0663, 0.6737]","[0.9889, 0.0663, 0.6737]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.9918, 0.951, 0.5437]","[0.9918, 0.951, 0.5437]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.8973, -0.8565, -0.4492]","[0.9463, 0.9871, 0.6057]","[0.9921, 0.9671, 0.5599]"
AFPR.TA,"[0.9991, 0.9736, 0.9956]","[0.9991, 0.9736, 0.9956]","[-1.0, -1.0, -1.0]","[0.0872, 0.1127, 0.0819]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9787, 0.9532, 0.984]","[0.9904, 0.9841, 0.9851]"
AFRE.TA,"[0.9871, 0.9705, 0.9701]","[0.9871, 0.9705, 0.9701]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9533, 0.9699, 0.9105]","[0.8097, 0.7931, 0.8525]"
ARPT.TA,"[0.995, 0.9694, 0.9652]","[0.995, 0.9694, 0.9652]","[-1.0, -1.0, -1.0]","[-0.4645, -0.4289, -0.4943]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9935, 0.9709, 0.9637]","[0.9959, 0.9685, 0.9661]"
ARTS.TA,"[0.9878, 0.8115, 0.6528]","[0.9878, 0.8115, 0.6528]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALAR.TA,"[0.972, 0.8961, 0.7892]","[0.972, 0.8961, 0.7892]","[-1.0, -1.0, -1.0]","[0.6116, 0.7436, 0.4288]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9257, 0.9423, 0.7429]","[0.4183, 0.2863, 0.6011]"
ALBA.TA,"[0.997, 0.9026, 0.9437]","[0.997, 0.9026, 0.9437]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9621, 0.8616, 0.9027]","[0.959, 0.8585, 0.8996]"
ALLT.TA,"[0.9902, 0.7709, 0.6084]","[0.9902, 0.7709, 0.6084]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9889, 0.7722, 0.6097]","[0.989, 0.7722, 0.6096]"
ALMA.TA,"[0.9968, 0.9923, 0.9548]","[0.9968, 0.9923, 0.9548]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.999, 0.9381, 0.9951]","[0.999, 0.9381, 0.9951]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9809, 0.9582, 0.975]","[0.9753, 0.9638, 0.9694]"
ALRPR.TA,"[0.9938, 0.9311, 0.7992]","[0.9938, 0.9311, 0.7992]","[-1.0, -1.0, -1.0]","[-0.5618, -0.4992, -0.3673]","[-1.0, -1.0, -1.0]","[-1.0, -0.9485, -0.8166]","[0.9664, 0.9037, 0.7718]","[0.9366, 0.9992, 0.8688]"
ALUMA.TA,"[None, None, None]","[0.9872, 0.9416, 0.7589]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[0.9898, 0.964, 0.9066]","[0.9898, 0.964, 0.9066]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9996, 0.9746, 0.9171]","[None, None, None]"
AMOT.TA,"[0.9945, 0.9369, 0.9246]","[0.9945, 0.9369, 0.9246]","[-1.0, -1.0, -1.0]","[-0.6229, -0.5543, -0.542]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9843, 0.9471, 0.9348]","[0.9901, 0.9413, 0.929]"
APLP.TA,"[0.9865, 0.8155, 0.7294]","[0.9865, 0.8155, 0.7294]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9779, 0.8069, 0.7208]","[None, None, None]"
ARD.TA,"[0.986, 0.9609, 0.9833]","[0.986, 0.9609, 0.9833]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9561, 0.931, 0.9534]","[0.8616, 0.8365, 0.8589]"
ARF.TA,"[0.9992, 0.8904, 0.9517]","[0.9992, 0.8904, 0.9517]","[-1.0, -1.0, -1.0]","[-0.4278, -0.5382, -0.3802]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9454, 0.9442, 0.8978]","[0.531, 0.6414, 0.4835]"
ASHG.TA,"[0.9938, 0.9706, 0.9871]","[0.9938, 0.9706, 0.9871]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9846, 0.9798, 0.9963]","[0.9951, 0.9693, 0.9858]"
ASGR.TA,"[0.9677, 0.937, 0.899]","[0.9677, 0.937, 0.899]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8856, 0.8549, 0.8169]","[0.992, 0.9613, 0.9233]"
AUDC.TA,"[0.989, 0.9973, 0.9554]","[0.989, 0.9973, 0.9554]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.96, 0.9683, 0.9264]","[None, None, None]"
AUSA-M.TA,"[None, None, None]","[1.0, 0.5049, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMX.TA,"[0.9864, 0.7607, 0.9413]","[0.9864, 0.7607, 0.9413]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8656, 0.8816, 0.9378]","[0.9561, 0.7032, 0.8838]"
AVGL.TA,"[0.9939, 0.9699, 0.9313]","[0.9939, 0.9699, 0.9313]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9665, 0.9972, 0.9587]","[0.9766, 0.9872, 0.9486]"
AVIA.TA,"[0.9959, 0.8842, 0.8608]","[0.9959, 0.8842, 0.8608]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AILN.TA,"[0.9757, 0.9396, 0.823]","[0.9757, 0.9396, 0.823]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[0.9932, 0.9571, 0.9956]","[0.9932, 0.9571, 0.9956]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9467, 0.9963, 0.9491]","[0.8924, 0.9421, 0.8949]"
BCOM.TA,"[0.9932, 0.8663, 0.7517]","[0.9932, 0.8663, 0.7517]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.9788, 0.8519, 0.7373]","[0.956, 0.8291, 0.7145]"
BIG.TA,"[0.9933, 0.9374, 0.871]","[0.9933, 0.9374, 0.871]","[-1.0, -1.0, -1.0]","[-0.1915, -0.1221, -0.0557]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9702, 0.9605, 0.8941]","[0.989, 0.9417, 0.8752]"
BLSR.TA,"[0.9891, 0.9746, 0.9862]","[0.9891, 0.9746, 0.9862]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9757, 0.9612, 0.9996]","[0.9408, 0.9553, 0.9161]"
BONS.TA,"[0.9034, 0.8356, 0.8634]","[0.9034, 0.8356, 0.8634]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.7895, 0.7218, 0.7496]","[None, None, None]"
BWAY.TA,"[0.9926, 0.9047, 0.9839]","[0.9926, 0.9047, 0.9839]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CLAB.TA,"[0.9672, 0.8698, 0.9074]","[0.9672, 0.8698, 0.9074]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[0.9805, 0.9603, 0.8576]","[0.9805, 0.9603, 0.8576]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9203, 0.9795, 0.7974]","[0.9791, 0.9617, 0.8562]"
CPTP.TA,"[1.0, 0.9607, 0.961]","[1.0, 0.9607, 0.961]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CRSM.TA,"[0.9652, 0.9313, 0.8039]","[0.9652, 0.9313, 0.8039]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.7819, 0.8854, 0.9871]","[0.9888, 0.8853, 0.7579]"
CRSR.TA,"[0.9971, 0.9054, 0.8981]","[0.9971, 0.9054, 0.8981]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9352, 0.9732, 0.9658]","[0.9684, 0.8768, 0.8694]"
CRML.TA,"[0.993, 0.9798, 0.9769]","[0.993, 0.9798, 0.9769]","[-1.0, -1.0, -1.0]","[-0.4628, -0.4496, -0.4467]","[-1.0, -1.0, -1.0]","[-0.1432, -0.13, -0.1271]","[0.9751, 0.9619, 0.959]","[None, None, None]"
CRMT.TA,"[1.0, 0.9039, 0.9627]","[1.0, 0.9039, 0.9627]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAST.TA,"[0.9833, 0.939, 0.6895]","[0.9833, 0.939, 0.6895]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9824, 0.9733, 0.7238]","[None, None, None]"
CEL.TA,"[0.9377, 0.9038, 0.8571]","[0.9377, 0.9038, 0.8571]","[-1.0, -1.0, -1.0]","[-1.0, -0.9931, -0.9463]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.963, 0.9292, 0.8824]","[0.9857, 0.9804, 0.9337]"
CPIA.TA,"[None, None, None]","[0.9757, 0.9501, 0.9181]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CFX.TA,"[0.9929, 0.9549, 0.8588]","[0.9929, 0.9549, 0.8588]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.7848, -0.7467, -0.6507]","[0.9452, 0.9072, 0.8111]","[0.9312, 0.9693, 0.9347]"
CGEN.TA,"[0.9936, 0.8017, 0.9148]","[0.9936, 0.8017, 0.9148]","[0.38, 0.5719, 0.2884]","[-1.0, -1.0, -1.0]","[0.5332, 0.7251, 0.4416]","[-1.0, -1.0, -1.0]","[0.9246, 0.7327, 0.9838]","[None, None, None]"
DANH.TA,"[0.9499, 0.9758, 0.9919]","[0.9499, 0.9758, 0.9919]","[-1.0, -1.0, -1.0]","[-0.1398, -0.1657, -0.198]","[-1.0, -1.0, -1.0]","[0.2328, 0.2069, 0.1746]","[0.9531, 0.979, 0.9886]","[0.8239, 0.8499, 0.8822]"
DLEKG.TA,"[0.9897, 0.9434, 0.8592]","[0.9897, 0.9434, 0.8592]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.872, 0.9388, 0.9769]","[0.9905, 0.9237, 0.8394]"
DELG.TA,"[0.9982, 0.9904, 0.9781]","[0.9982, 0.9904, 0.9781]","[-1.0, -1.0, -1.0]","[-0.8327, -0.8405, -0.809]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9889, 0.9967, 0.9652]","[0.9206, 0.9284, 0.8969]"
DIPL.TA,"[0.9864, 0.9482, 0.8311]","[0.9864, 0.9482, 0.8311]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.8278, -0.7897, -0.6725]","[0.9469, 0.9088, 0.7916]","[0.9229, 0.8848, 0.7676]"
DISI.TA,"[0.9955, 0.9135, 0.8384]","[0.9955, 0.9135, 0.8384]","[-1.0, -1.0, -1.0]","[-0.2799, -0.1979, -0.1228]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9515, 0.8695, 0.7945]","[0.9256, 0.8436, 0.7685]"
DRSH.TA,"[0.9884, 0.9443, 0.8677]","[0.9884, 0.9443, 0.8677]","[-1.0, -1.0, -1.0]","[-0.4424, -0.3983, -0.3217]","[None, None, None]","[-1.0, -1.0, -1.0]","[0.8933, 0.9374, 0.986]","[0.8712, 0.9153, 0.992]"
ELAL.TA,"[0.9756, 0.877, 0.6831]","[0.9756, 0.877, 0.6831]","[-1.0, -1.0, -1.0]","[-0.899, -0.8003, -0.6064]","[-0.98, -0.8814, -0.6874]","[-0.8304, -0.7317, -0.5378]","[0.9678, 0.9335, 0.7396]","[0.8885, 0.7898, 0.5959]"
EMITF-M.TA,"[0.994, 0.8787, 0.729]","[0.994, 0.8787, 0.729]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.989, 0.8588, 0.6155]","[0.989, 0.8588, 0.6155]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9995, 0.8703, 0.627]","[0.9938, 0.8635, 0.6203]"
ELCO.TA,"[0.9924, 0.9409, 0.8696]","[0.9924, 0.9409, 0.8696]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9913, 0.9419, 0.8707]","[0.9814, 0.9146, 0.8434]"
ECP.TA,"[0.9872, 0.944, 0.8194]","[0.9872, 0.944, 0.8194]","[-1.0, -1.0, -1.0]","[0.2964, 0.3396, 0.4642]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9755, 0.9323, 0.8077]","[0.862, 0.8189, 0.6943]"
ELCRE.TA,"[0.9935, 0.9907, 0.9992]","[0.9935, 0.9907, 0.9992]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9844, 0.9686, 0.9786]","[0.933, 0.9172, 0.9272]"
ELWS.TA,"[0.9847, 0.8264, 0.8125]","[0.9847, 0.8264, 0.8125]","[-0.8735, -0.6845, -1.0]","[-1.0, -1.0, -1.0]","[-0.6869, -0.4979, -0.8591]","[-1.0, -1.0, -1.0]","[0.9226, 0.7336, 0.9052]","[None, None, None]"
ELLO.TA,"[0.9838, 0.9316, 0.877]","[0.9838, 0.9316, 0.877]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELSPC.TA,"[0.9836, 0.9068, 0.9443]","[0.9836, 0.9068, 0.9443]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENOG.TA,"[0.9899, 0.9932, 0.9618]","[0.9899, 0.9932, 0.9618]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ENLV.TA,"[0.9397, 0.9217, 0.8198]","[0.9397, 0.9217, 0.8198]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
EQTL.TA,"[0.976, 0.9714, 0.9854]","[0.976, 0.9714, 0.9854]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9827, 0.9646, 0.9786]","[0.97, 0.9774, 0.9914]"
FTAL.TA,"[0.9838, 0.9633, 0.9197]","[0.9838, 0.9633, 0.9197]","[-1.0, -1.0, -1.0]","[0.821, 0.7682, 0.7246]","[-1.0, -1.0, -1.0]","[-0.7382, -0.6853, -0.6417]","[0.9503, 0.8975, 0.8538]","[0.9793, 0.9679, 0.9242]"
FLYS.TA,"[0.9825, 0.902, 0.7991]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
FBRT.TA,"[0.98, 0.8986, 0.8233]","[0.98, 0.8986, 0.8233]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9756, 0.903, 0.8277]","[None, None, None]"
FRSX.TA,"[0.952, 0.8062, 0.6093]","[0.952, 0.8062, 0.6093]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8552, 0.9989, 0.4165]","[None, None, None]"
FORTY.TA,"[0.9971, 0.9167, 0.9576]","[0.9971, 0.9167, 0.9576]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GCT.TA,"[0.9934, 0.9971, 0.9088]","[0.9934, 0.9971, 0.9088]","[-1.0, -1.0, -1.0]","[-0.4035, -0.3941, -0.4882]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9254, 0.9159, 0.9899]","[0.9666, 0.976, 0.8819]"
GVYM.TA,"[0.9943, 0.9691, 0.9629]","[0.9943, 0.9691, 0.9629]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9966, 0.9668, 0.9652]","[0.9953, 0.9681, 0.9639]"
GEFR.TA,"[0.992, 0.961, 0.9689]","[0.992, 0.961, 0.9689]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9901, 0.9591, 0.9709]","[0.9896, 0.9586, 0.9714]"
GNCL.TA,"[0.9832, 0.9432, 0.8088]","[0.9832, 0.9432, 0.8088]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
GNRS.TA,"[0.9938, 0.8875, 0.8612]","[0.9938, 0.8875, 0.8612]","[0.2433, 0.3496, 0.3759]","[0.3477, 0.454, 0.4803]","[0.4832, 0.5895, 0.6158]","[-0.1303, -0.024, 0.0024]","[0.9957, 0.8894, 0.8631]","[0.9956, 0.8981, 0.8717]"
GILT.TA,"[0.9953, 0.9397, 0.9255]","[0.9953, 0.9397, 0.9255]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.6846, -0.6196, -0.6055]","[0.9968, 0.9318, 0.9176]","[0.9953, 0.9397, 0.9255]"
GLTL.TA,"[0.9923, 0.8723, 0.8641]","[0.9923, 0.8723, 0.8641]","[-1.0, -1.0, -1.0]","[0.3153, 0.4507, 0.4589]","[-1.0, -1.0, -1.0]","[-1.0, -0.9443, -0.9361]","[0.9665, 0.8981, 0.8899]","[-1.0, -1.0, -1.0]"
GKL.TA,"[0.9272, 0.846, 0.8946]","[0.9272, 0.846, 0.8946]","[-1.0, -1.0, -1.0]","[0.1714, 0.2526, 0.2039]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.911, 0.8298, 0.8784]","[0.8935, 0.8123, 0.8609]"
GLRS.TA,"[0.9953, 0.9726, 0.8606]","[0.9953, 0.9726, 0.8606]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -0.9776]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.7477, 0.7704, 0.8824]","[0.9394, 0.9168, 0.8047]"
GOHO.TA,"[0.9871, 0.9558, 0.7924]","[0.9871, 0.9558, 0.7924]","[-1.0, -1.0, -1.0]","[0.9265, 0.9836, 0.853]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9378, 0.8807, 0.7173]","[0.9872, 0.9557, 0.7923]"
GRAC.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
G107.TA,"[0.9929, 0.9444, 0.8892]","[0.9929, 0.9444, 0.8892]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
HGG.TA,"[0.9873, 0.868, 0.9539]","[0.9873, 0.868, 0.9539]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.9293, 0.9515, 0.9627]","[0.6404, 0.5211, 0.607]"
MSBI.TA,"[0.985, 0.9435, 0.9647]","[0.985, 0.9435, 0.9647]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
