,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Operating Income (EBIT),Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Number of Outstanding Shares,Dividends Paid
ACCL.TA,"[0.3027, 0.2803, 0.4295]","[-0.0324, -0.01, -0.1592]","[0.0018, 0.0242, -0.125]","[0.2937, 0.2713, 0.4204]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.8075, 0.7851, 0.9343]","[0.2906, 0.313, 0.1638]","[0.2539, 0.2763, 0.1271]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ARPT.TA,"[None, None, None]","[0.9818, 0.9283, 0.9275]","[0.9901, 0.9366, 0.9358]","[0.9901, 0.9366, 0.9358]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9901, 0.9366, 0.9358]","[0.9771, 0.9236, 0.9228]","[0.9901, 0.9366, 0.9358]","[-0.5178, -0.4642, -0.4635]","[0.9866, 0.933, 0.9323]","[0.9765, 0.923, 0.9223]","[None, None, None]","[None, None, None]"
ALBA.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.3183, 0.1711, 0.362]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.2166, 0.0362, -0.1664]","[0.4363, 0.6167, 0.8193]","[0.4203, 0.6007, 0.8033]","[0.2124, 0.032, -0.1706]","[-0.4552, -0.2749, -0.0723]","[-1.0, -1.0, -1.0]","[0.8367, 0.6563, 0.4537]","[0.9694, 0.8503, 0.6476]","[0.62, 0.4396, 0.237]","[0.4302, 0.6106, 0.8132]","[None, None, None]","[None, None, None]","[0.9706, 0.7902, 0.5876]","[0.9978, 0.8218, 0.6192]","[None, None, None]"
ALHE.TA,"[None, None, None]","[0.525, 0.5061, 0.5108]","[0.2198, 0.2008, 0.2056]","[None, None, None]","[0.9781, 0.997, 0.9922]","[-0.3731, -0.392, -0.3872]","[-1.0, -1.0, -1.0]","[0.9699, 0.9888, 0.984]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.6942, 0.6753, 0.6801]","[-1.0, -1.0, -1.0]","[None, None, None]"
AMOT.TA,"[None, None, None]","[0.3476, 0.248, 0.2531]","[-0.0039, -0.1035, -0.0984]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9991, 0.8995, 0.9046]","[0.9031, 0.8035, 0.8086]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9973, 0.8977, 0.9028]","[0.9507, 0.9497, 0.9548]","[None, None, None]"
ASHG.TA,"[-1.0, -1.0, -1.0]","[0.1315, 0.0727, 0.0428]","[None, None, None]","[0.6943, 0.7531, 0.783]","[None, None, None]","[None, None, None]","[None, None, None]","[-0.4978, -0.439, -0.409]","[None, None, None]","[0.639, 0.5802, 0.5503]","[None, None, None]","[None, None, None]","[0.2521, 0.3109, 0.3409]","[None, None, None]","[None, None, None]"
AUDC.TA,"[0.2618, 0.1536, 0.121]","[0.3627, 0.2545, 0.2219]","[0.3447, 0.2365, 0.2039]","[0.2641, 0.1559, 0.1233]","[0.3335, 0.2253, 0.1927]","[-0.496, -0.3877, -0.3551]","[-0.205, -0.3132, -0.3459]","[0.9699, 0.8617, 0.8291]","[0.9651, 0.8569, 0.8243]","[0.2593, 0.1511, 0.1184]","[0.7453, 0.6371, 0.6045]","[-0.2527, -0.1445, -0.1118]","[0.9733, 0.8651, 0.8325]","[None, None, None]","[None, None, None]"
AVGL.TA,"[0.2304, 0.2249, 0.2719]","[-0.0159, -0.0213, 0.0256]","[-0.0121, -0.0176, 0.0294]","[0.0895, 0.084, 0.131]","[None, None, None]","[0.6456, 0.6511, 0.6041]","[0.0729, 0.0784, 0.0314]","[0.9716, 0.9662, 0.9869]","[0.9733, 0.9678, 0.9852]","[None, None, None]","[0.0879, 0.0824, 0.1294]","[0.5058, 0.5113, 0.4643]","[0.9689, 0.9634, 0.9896]","[0.9556, 0.9502, 0.9971]","[None, None, None]"
AVIV.TA,"[-0.0452, 0.0281, 0.0925]","[-0.1005, -0.0272, 0.0371]","[None, None, None]","[0.4395, 0.3662, 0.3019]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-0.4221, -0.3488, -0.2845]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]"
