,Revenue,Net Income,Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Shareholders’ Equity,Earnings Per Share (EPS),Dividends Paid,Number of Outstanding Shares,Short-Term Debt,Long-Term Debt
AFHL.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AFRE.TA,"[0.1576, 0.0394, 0.1977]","[0.0849, -0.0333, 0.125]","[0.182, 0.0639, 0.2222]","[0.1044, -0.0137, 0.1446]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9903, 0.8721, 0.9696]","[0.99, 0.8718, 0.9699]","[0.9909, 0.8727, 0.969]","[0.0852, -0.033, 0.1253]","[0.3333, 0.2152, 0.3735]","[1.0, 0.8818, 0.9599]","[None, None, None]","[None, None, None]"
ALLT.TA,"[0.778, 0.9716, 0.9008]","[0.4797, 0.73, 0.8008]","[0.7767, 0.9729, 0.9021]","[0.4794, 0.7297, 0.8006]","[None, None, None]","[None, None, None]","[None, None, None]","[0.8381, 0.5878, 0.5169]","[0.9635, 0.7862, 0.7154]","[None, None, None]","[0.4545, 0.7049, 0.7757]","[None, None, None]","[0.9969, 0.7466, 0.6757]","[None, None, None]","[None, None, None]"
AMDA.TA,"[None, None, None]","[0.76, 0.7799, 0.8919]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.9801, 0.8681]","[0.5696, 0.5496, 0.4377]","[1.0, 0.9801, 0.8681]","[-0.0588, -0.0788, -0.1907]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALMA.TA,"[0.3338, 0.4046, 0.4631]","[1.0, 0.9292, 0.8707]","[0.3866, 0.4575, 0.5159]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[0.7057, 0.6349, 0.5764]","[-1.0, -1.0, -1.0]","[None, None, None]","[1.0, 0.9292, 0.8707]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ALHE.TA,"[0.8082, 0.8356, 0.6964]","[0.1707, 0.1433, 0.2825]","[None, None, None]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.9726, 0.8882]","[None, None, None]","[None, None, None]","[0.0713, 0.0438, 0.1831]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMD.TA,"[0.2676, 0.3224, 0.319]","[0.5181, 0.5729, 0.5695]","[0.2702, 0.325, 0.3216]","[0.4639, 0.5187, 0.5153]","[None, None, None]","[0.221, 0.1662, 0.1697]","[0.036, -0.0188, -0.0154]","[0.996, 0.9492, 0.9526]","[0.9876, 0.9328, 0.9362]","[0.9631, 0.9821, 0.9855]","[0.6231, 0.6779, 0.6745]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AMRK.TA,"[-1.0, -1.0, -1.0]","[0.1981, 0.1848, 0.207]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[0.2304, 0.2171, 0.2393]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]"
AQUA.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[1.0, 0.8843, 0.7455]","[1.0, 0.8843, 0.7455]","[0.8234, 0.9391, 0.9221]","[0.7141, 0.5984, 0.4597]","[0.7269, 0.8426, 0.9814]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ASHO.TA,"[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[None, None, None]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[-1.0, -1.0, -1.0]","[1.0, 0.992, 0.9841]","[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]"
