,Revenue,Net Income,Earnings Per Share (EPS),Total Assets,Long-Term Debt,Gross Profit,Operating Income (EBIT),Number of Outstanding Shares
ACCL.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ADGR.TA,"[0.9431, 0.9384, 0.9829]","[1.0, 0.9954, 0.926]","[0.75, 0.7546, 0.676]","[0.9648, 0.9694, 0.8908]","[0.6071, 0.6025, 0.6811]","[None, None, None]","[None, None, None]","[None, None, None]"
AFHL.TA,"[0.2396, 0.3642, 0.4891]","[-0.1033, -0.2279, -0.3528]","[0.0809, 0.2056, 0.3304]","[0.9812, 0.8566, 0.7317]","[0.3574, 0.482, 0.6069]","[0.3867, 0.5114, 0.6363]","[-1.0, -1.0, -1.0]","[None, None, None]"
AFRE.TA,"[0.24, 0.245, 0.1535]","[0.1141, 0.1192, 0.0276]","[None, None, None]","[0.9687, 0.9737, 0.8822]","[0.8882, 0.8932, 0.8017]","[0.2324, 0.2374, 0.1459]","[0.2317, 0.2367, 0.1452]","[0.9991, 0.9959, 0.9126]"
ARPT.TA,"[0.2509, 0.2784, 0.3103]","[0.1185, 0.146, 0.1779]","[0.1647, 0.1922, 0.2242]","[0.9774, 0.9951, 0.9631]","[None, None, None]","[0.2693, 0.2967, 0.3287]","[0.2655, 0.293, 0.3249]","[None, None, None]"
ALBA.TA,"[0.244, 0.1815, 0.0812]","[-0.0098, 0.0527, 0.1529]","[0.0173, -0.0452, -0.1454]","[0.9707, 0.9668, 0.8666]","[-0.4728, -0.4103, -0.31]","[0.2887, 0.2262, 0.1259]","[0.7205, 0.783, 0.8832]","[None, None, None]"
ALLT.TA,"[0.1719, 0.1819, 0.2002]","[0.3547, 0.3447, 0.3265]","[0.5085, 0.4984, 0.4802]","[0.941, 0.951, 0.9693]","[0.9988, 0.9887, 0.9705]","[0.1625, 0.1726, 0.1908]","[0.3677, 0.3577, 0.3395]","[0.9428, 0.9528, 0.971]"
ALMA.TA,"[0.2062, 0.2581, 0.2793]","[1.0, 0.948, 0.9269]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[0.9398, 0.8879, 0.8667]","[0.9323, 0.8803, 0.8591]","[None, None, None]"
AMD.TA,"[0.2424, 0.2184, 0.3001]","[0.0492, 0.0252, 0.1069]","[-1.0, -1.0, -1.0]","[0.9228, 0.9468, 0.8651]","[None, None, None]","[0.2415, 0.2175, 0.2992]","[0.1514, 0.1274, 0.2091]","[0.998, 0.974, 0.9443]"
AMRK.TA,"[1.0, 0.9652, 0.9867]","[-0.1267, -0.1614, -0.14]","[0.0364, 0.0712, 0.0497]","[0.9748, 0.9905, 0.9881]","[None, None, None]","[1.0, 0.9652, 0.9867]","[0.2514, 0.2862, 0.2647]","[None, None, None]"
AMOT.TA,"[0.2747, 0.2581, 0.297]","[0.0944, 0.0778, 0.1167]","[-1.0, -1.0, -1.0]","[0.9964, 0.987, 0.9741]","[0.9151, 0.8985, 0.9374]","[None, None, None]","[0.2788, 0.2623, 0.3011]","[None, None, None]"
ASHG.TA,"[0.0131, -0.0052, 0.1233]","[0.019, 0.0007, 0.1292]","[None, None, None]","[0.3807, 0.3624, 0.4909]","[0.2109, 0.1926, 0.3211]","[0.0586, 0.0403, 0.1688]","[0.0585, 0.0402, 0.1687]","[None, None, None]"
AVGL.TA,"[0.1875, 0.1763, 0.2783]","[0.0294, 0.0182, 0.1203]","[-1.0, -1.0, -1.0]","[0.9922, 0.9809, 0.917]","[0.8516, 0.8629, 0.7608]","[0.1543, 0.143, 0.2451]","[0.0946, 0.0834, 0.1855]","[None, None, None]"
AVIA.TA,"[None, None, None]","[None, None, None]","[-1.0, -1.0, -1.0]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
AZRG.TA,"[0.2628, 0.266, 0.3012]","[0.2098, 0.213, 0.2482]","[0.2564, 0.2596, 0.2948]","[0.9891, 0.9859, 0.9507]","[0.9814, 0.9782, 0.943]","[0.4218, 0.425, 0.4602]","[0.3059, 0.309, 0.3442]","[1.0, 0.9968, 0.9616]"
BCOM.TA,"[0.2568, 0.3471, 0.4838]","[0.1899, 0.0996, -0.0371]","[None, None, None]","[0.9482, 0.858, 0.7213]","[None, None, None]","[None, None, None]","[0.2593, 0.3496, 0.4863]","[None, None, None]"
BONS.TA,"[None, None, None]","[None, None, None]","[None, None, None]","[0.8918, 0.9166, 0.9886]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
CAMT.TA,"[0.2259, 0.1563, -0.0413]","[0.2151, 0.1455, -0.0521]","[0.0382, -0.0315, -0.229]","[0.9907, 0.9396, 0.7421]","[0.0, -0.0696, -0.2672]","[0.2118, 0.1422, -0.0554]","[0.1742, 0.1045, -0.093]","[0.0011, -0.0686, -0.2661]"
CLIS.TA,"[0.0248, -0.0311, 0.0248]","[0.0008, -0.0551, 0.0008]","[None, None, None]","[0.0315, -0.0244, 0.0315]","[0.9379, 0.882, 0.9379]","[None, None, None]","[None, None, None]","[None, None, None]"
CGEN.TA,"[None, None, None]","[0.2772, 0.3135, 0.5774]","[0.1774, 0.2137, 0.4777]","[0.8953, 0.859, 0.5951]","[None, None, None]","[None, None, None]","[None, None, None]","[0.9263, 0.89, 0.6261]"
DANH.TA,"[0.001, -0.0462, -0.0634]","[0.001, -0.0462, -0.0634]","[0.5, 0.5472, 0.5644]","[0.001, -0.0462, -0.0634]","[None, None, None]","[0.001, -0.0462, -0.0634]","[0.0011, -0.0461, -0.0633]","[None, None, None]"
DELG.TA,"[0.2178, 0.2195, 0.2308]","[0.0275, 0.0293, 0.0406]","[0.0203, 0.022, 0.0333]","[0.9745, 0.9762, 0.9875]","[0.7878, 0.7895, 0.8008]","[0.2202, 0.222, 0.2333]","[0.0791, 0.0809, 0.0922]","[None, None, None]"
DIPL.TA,"[0.2721, 0.3883, 0.3891]","[0.3697, 0.4859, 0.4868]","[0.1847, 0.3009, 0.3018]","[0.9993, 0.8831, 0.8822]","[None, None, None]","[0.2663, 0.3825, 0.3834]","[0.2559, 0.3721, 0.373]","[None, None, None]"
DISI.TA,"[None, None, None]","[0.0022, -0.0471, 0.1722]","[None, None, None]","[0.3345, 0.2852, 0.5045]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ESLT.TA,"[0.2528, 0.2123, 0.1004]","[0.2253, 0.1848, 0.0729]","[0.0502, 0.0096, -0.1022]","[0.973, 0.9865, 0.8746]","[0.9343, 0.8938, 0.7819]","[0.2632, 0.2227, 0.1108]","[0.2587, 0.2181, 0.1063]","[0.9921, 0.9515, 0.8396]"
ELCRE.TA,"[0.4961, 0.3665, 0.3672]","[0.0319, -0.0977, -0.097]","[-0.5321, -0.4025, -0.4032]","[1.0, 0.8704, 0.8711]","[None, None, None]","[None, None, None]","[None, None, None]","[None, None, None]"
ELWS.TA,"[0.3528, 0.3504, -0.4859]","[-0.1969, -0.1945, 0.6418]","[-1.0, -1.0, -0.3892]","[0.982, 0.9796, 0.1433]","[None, None, None]","[0.5007, 0.4982, -0.3381]","[-0.2071, -0.2046, 0.6316]","[None, None, None]"
