,Company Name,Report Date,Revenue,Net Income,Earnings Per Share (EPS),Gross Profit,Operating Income (EBIT),Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Total Assets,Total Liabilities,Short-Term Debt,Long-Term Debt,Shareholders’ Equity,Dividends Paid,Number of Outstanding Shares,Guidance/Forecast,Key Performance Indicators (KPIs)
0,ACCEL,2020-03-31,13033000.0,936000.0,0.018,2943000.0,1218000.0,3571000.0,-514000.0,4417000.0,22507000.0,13763000.0,2007000.0,3359000.0,5385000.0,,,,
1,AIRPORT CITY,31.3.2020,185000000.0,9000000.0,0.08,157199.0,,,,,14746430.0,6992215.0,1685967.0,5306248.0,7754215.0,,,,
2,ASPEN GROUP,31/03/2020,53000000.0,13000000.0,,39000000.0,46000000.0,,,,3376000000.0,,,,649000000.0,,,,
3,AFRICA ISRAEL RESIDENCES,31 במרץ 2020,256000.0,1000.0,,37174.0,24965.0,,,,3673485.0,2658026.0,955349.0,1091244.0,1015459.0,0.0,,,
4,BRILL,31 במרס 2020,100900000.0,-11100000.0,,50789000.0,-7700000.0,4600000.0,-3800000.0,8900000.0,534616000.0,265785000.0,,,120997000.0,,,,
5,BRIMAG,"31 במרץ, 2020",116393000.0,1225000.0,0.12,28194000.0,2032000.0,26701000.0,71000.0,-21700000.0,473319000.0,199264000.0,102952000.0,69959000.0,186361000.0,15000000.0,10113000.0,,
6,BONUS BIOGROUP,,,-22240000.0,-0.07,,-20909000.0,-4705000.0,-187000.0,4918000.0,43176000.0,20340000.0,,,20387000.0,,,,
7,CAN FITE BIOFARMA,"June 1, 2020",,,,,,,,,,,,,,,,,
8,CLAL BIOTECH,31 במרס 2020,,-154112.0,-0.02,,,8803000.0,10300000.0,-728000.0,577459000.0,255791000.0,,,206360000.0,,33674506.0,,
9,DELEK GROUP,31.03.2020,381859000.0,84267000.0,,,,,-171913000.0,27180000.0,4567030000.0,1205613000.0,466571000.0,740000000.0,855602000.0,,1173815000.0,,
10,DISCOUNT INVESTMENTS,"March 31, 2020",3092000.0,-198000.0,-1.4,860000.0,48000.0,520000.0,-342000.0,-1898000.0,259773000.0,259773000.0,49871000.0,209902000.0,1868000.0,,,,
11,EMET,31.3.2020,391525.0,12784.0,0.281,64278.0,20378.0,,-2170.0,25754.0,900415.0,493087.0,,,288249.0,9529.0,,,
