Ticker,Sector,Industry,Company Name,HebrewIndustryName
ABRA,Technology,Software Application,ABRA,אפליקציות תוכנה
ACCL,Technology,Electronics & Computer Distribution,ACCEL,אלקטרוניקה
ACKR,Basic Materials,Building Materials,ACKERSTEIN GROUP,חומרי בנייה
ACRO,Real Estate Diversified,Real Estate Diversified Development,ACRO GROUP,"פיתוח נדל""ן מגוון"
ADGR,Real Estate Diversified,Real Estate Diversified Services,ADGAR INVESTMENTS,"שירותי נדל""ן מגוונים"
ARDM,Consumer Defensive,Education & Training Services,AERODROME GROUP,שירותי הכשרה
AFHL,Technology,Electronic Components,AFCON HOLDINGS,רכיבים אלקטרוניים
AFPR,Real Estate Diversified,Real Estate Diversified Services,AFI PROPERTIES,"שירותי נדל""ן מגוונים"
AFRE,Real Estate Diversified,Real Estate Diversified Development,AFRICA ISRAEL RESIDENCES,"פיתוח נדל""ן מגוון"
AICS-M,,,AI SYSTEMS,תרגום חסר
ARPT,Real Estate Diversified,Real Estate Diversified Services,AIRPORT CITY,"שירותי נדל""ן מגוונים"
ARTS,Industrials,Pollution & Treatment Controls,AIRTOUCH,בקרת זיהום וטיפול
ALAR,Technology,Software Infrastructure,ALARUM,תשתיות תוכנה
ALBA,Consumer Defensive,Household & Personal Products,ALBAAD,מוצרי בית ואישיים
ALMD,Healthcare,Medical Devices,ALLMED SOLUTION,מכשור רפואי
ALLT,Technology,Software Infrastructure,ALLOT,תשתיות תוכנה
ALMY,Industrials,Engineering & Construction,ALMA YESODOT,הנדסה ובנייה
AMDA,Healthcare,Health Information Services,ALMEDA PARTICIPATION UNIT,שירותי מידע רפואיים
ALMA,Consumer Cyclical,Residential Construction,ALMOGIM,בנייה למגורים
ALHE,Real Estate Diversified,Real Estate Diversified Services,ALONY HETZ,"שירותי נדל""ן מגוונים"
ALRPR,Real Estate Diversified,Real Estate Diversified,ALROV PROPERTIES,"נדל""ן מגוון"
ALUMA,Financial Services,Asset Management,ALUMA INFRASTRUCTURES,ניהול נכסים
AMAN,Industrials,Conglomerates,AMANET,קונגלומרטים
AMD,Industrials,Pollution & Treatment Controls,AMIAD,בקרת זיהום וטיפול
AMRK,Basic Materials,Agricultural Inputs,AMIR MARKETING,תשומות חקלאיות
AMOT,Real Estate Diversified,Real Estate Diversified Services,AMOT,"שירותי נדל""ן מגוונים"
AMRM,Real Estate Diversified,Real Estate Diversified Services,AMRM,"שירותי נדל""ן מגוונים"
